temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_nitrogen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.3890763129750385,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.02872521718137596,5.190915112081617,2.3654220920544935,1220.0757199703341,6.560358148343003,0.9890634647166097,5.3161748448802024e-08,1.6473346783821084e-05,2.4050431164846722e-06,1.9706554193807406e-05,0.010897897177548029,0.9903341448017687,5.295164033194547e-05,0.0018439981285055971,0.0006796080136623614,0.004635345726371922,0.0024539516893593316,20.02491304171985,0.6042181343166974,1.000000000420997,2.0375750110890882,4.681137855231026,6.17882012430264,6.814570326108451,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.4839014732504094,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.029865353772398816,5.190915112081617,2.3654220920544935,1221.1883085308446,6.756887494508564,0.9945683702255809,3.116447721405743e-07,9.18588418692957e-05,1.3891551329590617e-05,0.0001132854201193345,0.0052122823163285445,0.9594817702932313,0.0002973863788320869,0.009844840593057402,0.0037542317398351933,0.02548906512008224,0.0011327058749614545,19.9385671332298,0.6052677727564735,1.0000000004723162,2.033295593542094,4.646122606768975,6.1586711544838515,6.7917708581451715,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.578726633525781,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.031005490363421675,5.190915112081617,2.3654220920544935,1221.1535297790701,6.941302597376907,0.9946354328932138,6.204180926964502e-07,0.00017259192947843092,2.7116652808619464e-05,0.000219965009670888,0.0049442730967356,0.9258306625513275,0.0005701749425506064,0.017823452803337966,0.007059564114811661,0.04767892917135105,0.001037216416621233,19.90770016860396,0.6062458992756945,1.0000000004735292,2.0303387469649703,4.636759371953396,6.144470258518492,6.775928563021168,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.6735517938011517,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.032145626954444534,5.190915112081617,2.3654220920544935,1221.0801422568834,7.124589944746574,0.9945243659123871,9.510365086883283e-07,0.000249540816025372,4.071599744300642e-05,0.0003284931556527621,0.00485593308198315,0.8943800530299264,0.0008429584882334367,0.024867786623372655,0.010226605438430266,0.06869796593031015,0.0009846304897268862,19.878760900398177,0.6072131025074732,1.0000000004769232,2.0274494207723475,4.628268582554681,6.130557866900063,6.760416380977137,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.768376954076523,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.03328576354546739,5.190915112081617,2.3654220920544935,1220.9968325288216,7.307066921786491,0.9943711623948611,1.3044279647394366e-06,0.0003226814346371007,5.464950293134187e-05,0.0004384774128083081,0.0048117248267973926,0.8650246784867872,0.0011164953494869436,0.031070014512227573,0.013259542055363772,0.08858506828011958,0.0009442013160149374,19.850362419522128,0.6081710606447701,1.0000000004805645,2.024592418479102,4.620011173978303,6.116779318712516,6.745054140029043,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.863202114351894,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.034425900136490245,5.190915112081617,2.3654220920544935,1220.9092721933255,7.48882070588945,0.994202474149536,1.6823543440300014e-06,0.0003921762264617579,6.890545800125093e-05,0.0005497598716591035,0.004785001939997802,0.8375814393211898,0.0013921360290358792,0.036527750202415415,0.0161687253810218,0.10742023285099014,0.00090971621534693,19.822231766154296,0.6091474175963548,1.0000000004844178,2.0217585831520273,4.6119048388951285,6.103098997472274,6.729800902336391,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.9580272746272653,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.03556603672751311,5.190915112081617,2.3654220920544935,1220.8193589301304,7.669898666676173,0.9940270294396375,2.086920505230716e-06,0.00045821119982316093,8.34768592492858e-05,0.0006622233307867327,0.00476697224999814,0.8118758239441664,0.0016713327935813076,0.04132841400875051,0.01896428250349226,0.12528114025186457,0.0008790064981451319,19.794278571943757,0.6101233785250088,1.0000000004882788,2.018943444172069,4.603920706605895,6.0895018306244335,6.714639654941397,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.0528524349026362,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.03670617331853596,5.190915112081617,2.3654220920544935,1220.7279227051654,7.8503349176328365,0.9938484925259433,2.520538818241089e-06,0.0005209725937960646,9.835808680630015e-05,0.0007757641072170569,0.004753892147419148,0.7877507103729163,0.0019555955189375224,0.04554873965600734,0.021655411929308543,0.14223848005831588,0.0008510624645142091,19.766464278343516,0.611090247263445,1.0000000004919738,2.0161441401036275,4.5959847497300474,6.075979258952421,6.699560905657548,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.147677595178007,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.03784630990955882,5.190915112081617,2.3654220920544935,1220.6353953284224,8.030156688783066,0.9936686455369047,2.985956252576922e-06,0.0005806408984783577,0.00011354407433250139,0.0008902852786101325,0.0047438982554217825,0.7650662160010164,0.002246502758401379,0.04925585015113446,0.024250342006742774,0.1583557718278093,0.0008253172548956112,19.738769786045513,0.6120481748954318,1.0000000004955307,2.0133586089085287,4.588088559975231,6.062525649488176,6.684558500221391,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.2425027554533785,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,309.07,83.17,0.6471025981169315,0.03898644650058168,5.190915112081617,2.3654220920544935,1220.542032123484,8.209386255632046,0.9934884417521482,3.486302442345694e-06,0.0006373888119489916,0.0001290300176208158,0.0010056943417308098,0.004735958774108729,0.7436979947035336,0.0025457262085569654,0.0525084742187227,0.02675640939291028,0.17368998736853897,0.0008014081077375395,19.711184777428986,0.6129972926275251,1.000000000499213,2.010585287395939,4.580227728571678,6.049294700648652,6.6696281595907685,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
