index,complexity,loss,equation_raw,equation_math,equation_latex
1,1,0.007203399852614729,delta_rho,delta_rho,delta_rho
2,2,0.0018545298107296305,-0.052635108607711235,-0.052635,-0.052635
3,3,0.0005697529719093939,safe_log(delta_rho_norm),safe_log(delta_rho_norm),safe_log(delta_rho_norm)
4,4,0.0002890242122534412,delta_rho_norm - 1.0182626298165576,delta_rho_norm - 1.0183,delta_rho_norm - 1.0183
5,5,0.0001982615986842556,safe_log(delta_rho_norm) - x_total_impurity,safe_log(delta_rho_norm) - x_total_impurity,safe_log(delta_rho_norm) - x_total_impurity
6,6,0.00016241013209570553,delta_rho_norm - (x_total_impurity + 0.9978849179721592),delta_rho_norm - (x_total_impurity + 0.99788),delta_rho_norm - (x_total_impurity + 0.99788)
7,7,0.00015263370979003399,(safe_log(delta_rho_norm) - x_total_impurity) * delta_rho_norm,(safe_log(delta_rho_norm) - x_total_impurity) * delta_rho_norm,(safe_log(delta_rho_norm) - x_total_impurity) delta_rho_norm
8,9,0.00015104528937597998,(delta_rho_norm - delta_rho) * safe_log(delta_rho_norm - x_total_impurity),(delta_rho_norm - delta_rho) * safe_log(delta_rho_norm - x_total_impurity),(delta_rho_norm - delta_rho) safe_log(delta_rho_norm - x_total_impurity)
9,10,0.00012345086159795118,"safe_div(safe_log(delta_rho_norm), safe_sqrt(Pr * gamma_base_ratio))",((safe_log(delta_rho_norm)) / (safe_sqrt(Pr * gamma_base_ratio))),((safe_log(delta_rho_norm)) / (safe_sqrt(Pr gamma_base_ratio)))
10,12,0.00010823128954443998,"safe_div(safe_log(delta_rho_norm), safe_sqrt(Pr) + (gamma_base_ratio - delta_rho_norm))",((safe_log(delta_rho_norm)) / (safe_sqrt(Pr) + (gamma_base_ratio - delta_rho_norm))),((safe_log(delta_rho_norm)) / (safe_sqrt(Pr) + (gamma_base_ratio - delta_rho_norm)))
11,15,9.49679624449144e-5,"(safepow(Pr, oneMinusTr - y_total_impurity) * Tr) * (safe_log(delta_rho_norm) - x_total_impurity)",((Pr)^(oneMinusTr - y_total_impurity) * Tr) * (safe_log(delta_rho_norm) - x_total_impurity),(\left(Pr\right)^{oneMinusT_r - y_total_impurity} T_r) (safe_log(delta_rho_norm) - x_total_impurity)
12,16,9.410064899393892e-5,"(safepow(Pr, y_total_impurity * -0.5020439670847436) * Tr) * (safe_log(delta_rho_norm) - x_total_impurity)",((Pr)^(y_total_impurity * -0.50204) * Tr) * (safe_log(delta_rho_norm) - x_total_impurity),(\left(Pr\right)^{y_total_impurity -0.50204} T_r) (safe_log(delta_rho_norm) - x_total_impurity)
13,17,9.355546291427607e-5,"(Tr * safe_log(delta_rho_norm - x_total_impurity)) * safe_sqrt(safepow(Pr, delta_total_impurity) - z_total_impurity)",(Tr * safe_log(delta_rho_norm - x_total_impurity)) * safe_sqrt((Pr)^(delta_total_impurity) - z_total_impurity),(T_r safe_log(delta_rho_norm - x_total_impurity)) safe_sqrt(\left(Pr\right)^{delta_total_impurity} - z_total_impurity)
14,18,8.892853971374009e-5,"(safepow(Pr, (1.4913627527326487 - gamma_base_ratio) * delta_total_impurity) * Tr) * (safe_log(delta_rho_norm) - x_total_impurity)",((Pr)^((1.4914 - gamma_base_ratio) * delta_total_impurity) * Tr) * (safe_log(delta_rho_norm) - x_total_impurity),(\left(Pr\right)^{(1.4914 - gamma_base_ratio) delta_total_impurity} T_r) (safe_log(delta_rho_norm) - x_total_impurity)
15,19,8.569268782698574e-5,"safe_div(safe_log(delta_rho_norm), safepow(Pr, 0.2657825588527784) + (logK_total_impurity * ((gamma_base_ratio - delta_rho_norm) - z_total_impurity)))",((safe_log(delta_rho_norm)) / ((Pr)^(0.26578) + (logK_total_impurity * ((gamma_base_ratio - delta_rho_norm) - z_total_impurity)))),((safe_log(delta_rho_norm)) / (\left(Pr\right)^{0.26578} + (logK_total_impurity ((gamma_base_ratio - delta_rho_norm) - z_total_impurity))))
16,21,8.047404630624634e-5,"safe_div(safe_log(delta_rho_norm), (logK_total_impurity * ((gamma_base_ratio * (gamma_base_ratio - delta_rho_norm)) - z_total_impurity)) + safepow(Pr, 0.2785729465729035))",((safe_log(delta_rho_norm)) / ((logK_total_impurity * ((gamma_base_ratio * (gamma_base_ratio - delta_rho_norm)) - z_total_impurity)) + (Pr)^(0.27857))),((safe_log(delta_rho_norm)) / ((logK_total_impurity ((gamma_base_ratio (gamma_base_ratio - delta_rho_norm)) - z_total_impurity)) + \left(Pr\right)^{0.27857}))
17,23,7.877500483053879e-5,"safe_div(safe_log(delta_rho_norm), (((logK_total_impurity - delta_rho_norm) * (gamma_base_ratio - delta_rho_norm)) + (safepow(Pr, 0.3516245234470245) - z_total_impurity)) - z_total_impurity)",((safe_log(delta_rho_norm)) / ((((logK_total_impurity - delta_rho_norm) * (gamma_base_ratio - delta_rho_norm)) + ((Pr)^(0.35162) - z_total_impurity)) - z_total_impurity)),((safe_log(delta_rho_norm)) / ((((logK_total_impurity - delta_rho_norm) (gamma_base_ratio - delta_rho_norm)) + (\left(Pr\right)^{0.35162} - z_total_impurity)) - z_total_impurity))
18,24,7.742296137300684e-5,"safe_div(safe_log(delta_rho_norm), safepow(Pr, 0.2785729465729035) + (logK_total_impurity * (gamma_base_ratio * ((gamma_base_ratio - delta_rho_norm) - z_total_impurity)))) + -0.002076997733858743",((safe_log(delta_rho_norm)) / ((Pr)^(0.27857) + (logK_total_impurity * (gamma_base_ratio * ((gamma_base_ratio - delta_rho_norm) - z_total_impurity))))) - 0.002077,((safe_log(delta_rho_norm)) / (\left(Pr\right)^{0.27857} + (logK_total_impurity (gamma_base_ratio ((gamma_base_ratio - delta_rho_norm) - z_total_impurity))))) - 0.002077
