T,P,z_carbon dioxide,z_hydrogen,z_methane,z_oxygen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_methane,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_methane,y_oxygen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_methane,rhoL4_oxygen,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_methane,rhoV4_oxygen,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.3691591651,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.02784176288335739,0.00014807791399804537,0.9515205271217834,4.50775425868963e-06,0.0006055913227763403,2.7487389154359588e-05,0.047841886412027156,0.9605576787696958,0.004640057815060327,0.02121265297625732,0.002801162294140052,0.010788448144846623,0.026492008894771928,1.2550382520688114e-07,1.6860730012957617e-05,7.652973711182493e-07,0.0013320024573761778,0.0001422373773470211,6.870900820844613e-07,3.1411254030886126e-06,4.1479026928623805e-07,1.5975308965649703e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.427786043612134,-0.04117870652562061,-0.0542114959714084
200.0,2.8023761589,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.027771370988115655,0.0001754550778131588,0.9810230069066267,3.3487707019624114e-05,0.0038383935919645376,0.00019243073966209188,0.014912681054726857,0.8435816791326861,0.028279539703685887,0.10911180263241575,0.01612843633437933,0.0028985421968330673,0.027244353872680677,9.299995351833061e-07,0.000106597452440853,5.3440654606734554e-06,0.0004141455979982634,0.00014801068915398061,4.961788839230521e-06,1.914421982120453e-05,2.8298160520531032e-06,5.085639466900701e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.803907198181967,-0.002354317674658546,-0.08317204457283012
200.0,3.2355931526,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.027747099958277066,0.00020273550572493022,0.9783779180911433,7.847639967271979e-05,0.007185741416717733,0.0004130142924155557,0.013944849800050731,0.7340008618890358,0.05693148151096163,0.1767964953780918,0.029892982489832277,0.002378178732078571,0.027147149890245963,2.1774925060846576e-06,0.0001993834853639984,1.1459948855851497e-05,0.0003869291413051676,0.00014880803593760833,1.1542032695794322e-05,3.584292690087273e-05,6.060368922702631e-06,4.821412679522224e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.544509427361273,0.008118389056328112,-0.14309020978038944
200.0,3.6688101464,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.02772749778760001,0.00022999951782826886,0.9755510560643843,0.00013905706570922899,0.010024839350501986,0.000658254964173677,0.013626792555230796,0.6499598358560915,0.08838698102677475,0.21763870379060427,0.041940523479984164,0.0020739558465452195,0.027049589748716067,3.855704481802796e-06,0.00027796371091208934,1.8251763062802352e-05,0.00037783686042724615,0.00014949044885464183,2.032896301845454e-05,5.005679693260841e-05,9.646300177861546e-06,4.770088447025196e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.327663308891537,0.014865171422080437,-0.19659012799634468
200.0,4.1020271402,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.02771221134895825,0.00025720616449391356,0.973095919662258,0.0002178174182010779,0.01230787259449991,0.0009128406715406142,0.013465549653500582,0.5836958787100464,0.12320495450183229,0.23927476006414494,0.05197163837863307,0.0018527683453432775,0.026966639788489392,6.036202328672697e-06,0.00034107836659483265,2.529683361765848e-05,0.00037316015792769966,0.0001501301781939156,3.168907379406341e-05,6.154294329630016e-05,1.3367425769832889e-05,4.765434398014791e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.150863063694324,0.017244335010168754,-0.24362076961393697
200.0,4.535244134,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.02770093664651566,0.0002843283378266829,0.9710951333919063,0.00031545875556682554,0.014061947238964265,0.0011583289234926586,0.013369131690069959,0.5301589482993281,0.1608127602984591,0.24770376161319388,0.0596446045963571,0.0016799251926619507,0.02690024476782887,8.738503002545303e-06,0.00038952910959319493,3.2086796125496816e-05,0.00037033746996555274,0.00015073921255389025,4.572362483698166e-05,7.042919881289632e-05,1.6958651285211945e-05,4.776503377027424e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.01151397078704,0.015093121609421445,-0.28492573323022796
200.0,4.9684611278,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.027693037381910725,0.00031135900279757786,0.969512664973443,0.0004305001136492719,0.015370212350498598,0.0013801142315542755,0.01330650833085479,0.48600924965178915,0.19985154567351188,0.2476911702959004,0.06490847768097212,0.0015395566978264488,0.026848750473345447,1.1921855740206103e-05,0.0004256478651902636,3.821955500573955e-05,0.0003684976326290682,0.00015132335532198015,6.222557796845925e-05,7.712087578509659e-05,2.0209838883856317e-05,4.793548381855751e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.903988792515413,0.00892677073121817,-0.32153702578767707
200.0,5.4016781216,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.02768774243896825,0.0003383063741885577,0.9682693657332191,0.0005600768585890126,0.016335639918867655,0.0015713630915803552,0.013263554397743897,0.448966420283042,0.2388123837110711,0.24274648809545232,0.06805206819525751,0.0014226397151769978,0.026809192809964518,1.5507263806639022e-05,0.0004522969906493358,4.350749655777775e-05,0.00036723787798997767,0.00015188820177837207,8.079175164461904e-05,8.212268423457836e-05,2.3022448447170034e-05,4.812880838181725e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.821332570680838,-0.0004085326323561844,-0.3545230454477739
200.0,5.8348951153,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.02768435112457909,0.0003651852221723492,0.9672827291536048,0.0007010211572768588,0.017051587233679867,0.0017319255795035379,0.013232736875934924,0.4174295453247837,0.27650450152375744,0.23520508099231638,0.0695374239043694,0.0013234482547730562,0.02677859471062953,1.940731586381134e-05,0.00047206212820858365,4.794723586461606e-05,0.0003663397340125482,0.00015243910125073385,0.00010097535782060804,8.589341975824445e-05,2.5394039597809967e-05,4.833037449529064e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.75710301448895,-0.012075102198966903,-0.38481110028899934
200.0,6.2681121091,0.9600000000000001,0.004354000000000001,0.019941000000000004,0.0026300000000000004,0.013075000000000002,0.027682318699221723,0.00039201056986432964,0.9664842769654706,0.0008505444538108323,0.017590242175086764,0.0018652224979122034,0.01320971390771961,0.3902459008982423,0.31219220140495807,0.22649508673504187,0.0698287206955621,0.0012380902661956246,0.026754525772745032,2.354504263824693e-05,0.0004869386898872429,5.163368363216404e-05,0.0003656755103190358,0.00015298051799833868,0.0001223826427799572,8.878846802247454e-05,2.737359659276441e-05,4.853444707948264e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.70620001002564,-0.025400058324468233,-0.41312139954955285
