temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_water,z_carbon monoxide,z_nitrogen dioxide,z_nitrogen oxide,z_sulfur dioxide,z_hydrogen sulfide,z_propane,z_ethane,Tc,Pc,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_argon,x_methane,x_oxygen,x_water,x_carbon monoxide,x_nitrogen dioxide,x_nitrogen oxide,x_sulfur dioxide,x_hydrogen sulfide,x_propane,x_ethane,y_carbon dioxide,y_hydrogen,y_nitrogen,y_argon,y_methane,y_oxygen,y_water,y_carbon monoxide,y_nitrogen dioxide,y_nitrogen oxide,y_sulfur dioxide,y_hydrogen sulfide,y_propane,y_ethane,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_argon,E_methane,E_oxygen,E_water,E_carbon monoxide,E_nitrogen dioxide,E_nitrogen oxide,E_sulfur dioxide,E_hydrogen sulfide,E_propane,E_ethane
200.0,2.4175407784100544,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.543031807666942,2.4174407784100542,1222.3690275727474,6.63259655630979,0.9999563375871565,2.11694713088275e-06,0.0,4.15454657125254e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899606946543068,0.0033461495651599268,0.0,0.006693155780533243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.907614828961233,0.6045556128570247,1.000000000705468,1.7714897156028189,0.0,5.802792230909981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,4.209250892771931,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.543031807666942,2.4174407784100542,1221.9107274578098,9.292304349307116,0.9972570001976625,0.0001965720597556803,0.0,0.0025464277425817994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5825004022523426,0.17945165635965502,0.0,0.23804794138800242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.594837511333647,0.6154850771243638,1.0000000007676564,1.7311800014418668,0.0,5.696229571238046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,6.0009610071338075,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.543031807666942,2.4174407784100542,1221.5475951080784,11.123781328306308,0.9953547048099333,0.00048075522161782937,0.0,0.0041645399684488845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41675277389005594,0.30867969331557843,0.0,0.2745675327943658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.366511411833333,0.6238189306820864,1.0000000007472947,1.7050522229962934,0.0,5.610501786743123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,7.792671121495684,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.543031807666942,2.4174407784100542,1221.2573066508796,12.323097469884303,0.99405331783688,0.0008319818770432611,0.0,0.005114700286076689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326674216439244,0.4126248129970532,0.0,0.26070097056370284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.200557934634023,0.6302240476944605,1.0000000007347445,1.6876885860606912,0.0,5.540154546578678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,9.58438123585756,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.543031807666942,2.4174407784100542,1221.0098284975518,13.155856352512073,0.9930991251820008,0.00122118060117154,0.0,0.005679694216827572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26995563729690747,0.4939887702169745,0.0,0.23605559248611802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.070376520348802,0.6355293048584173,1.000000000749914,1.6749652159308748,0.0,5.478835527460819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,11.376091350219436,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.543031807666942,2.4174407784100542,1220.786158182683,13.789838878980692,0.9923333414836918,0.001630224688036243,0.0,0.00603643382827192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23091463021897485,0.5572818481947016,0.0,0.21180352158632357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.959632173358,0.6402473111435093,1.000000000794309,1.6647097907083175,0.0,5.422556860397357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,13.167801464581313,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.543031807666942,2.4174407784100542,1220.5764418351464,14.311999404854284,0.9916740118477696,0.0020497722789430666,0.0,0.006276215873287476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20238700738450408,0.6070842977793478,0.0,0.19052869483614804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.859975097724313,0.6446317003799863,1.0000000008548133,1.6556835986117915,0.0,5.36928475820582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,14.95951157894319,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.543031807666942,2.4174407784100542,1220.3755938016538,14.767232713205773,0.991078941044141,0.0024750167420546213,0.0,0.006446042213804429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18062706841000603,0.6469533613806233,0.0,0.17241957020937065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.767132348512934,0.6488091764563549,1.0000000009179002,1.6473829725434628,0.0,5.3179930455398035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,16.751221693305066,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.543031807666942,2.4174407784100542,1220.180849966115,15.179962060478767,0.9905252307789271,0.0029033508034897407,0.0,0.006571418417583153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163482831966686,0.6794404396150955,0.0,0.15707672841821843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.678795707439207,0.6528465476457164,1.0000000009851695,1.6396377700006197,0.0,5.2681396768877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201.0,2.544361217213768,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.419643368025795,2.544261217213768,1219.278733286298,6.956935244416867,0.9999539312105654,2.2731189450161363e-06,0.0,4.379567048952332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899627151563372,0.0033454760387043553,0.0,0.00669180880495841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67112035391788,0.6089233092239553,1.0000000006513785,1.7555272945067117,0.0,5.652341593404669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
