T,P,z_carbon dioxide,z_methane,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_methane,x_carbon monoxide,y_carbon dioxide,y_methane,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_methane,rhoL3_carbon monoxide,rhoV1_carbon dioxide,rhoV2_methane,rhoV3_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_methane,parachor_carbon monoxide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.5470821979,0.95,0.02468,0.02532,0.027767917534080266,0.00015946176914770707,0.9989138149638263,0.0009483481728219112,0.00013783686335186717,0.9408595108976724,0.029114716553329097,0.0300257725489986,0.027737756437569042,2.633365385651453e-05,3.827442654710938e-06,0.0001500311221271892,4.64268420982789e-06,4.7879628106899745e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,19.863354590629562,-0.0355712116079161
200.0,3.0860636152,0.95,0.02468,0.02532,0.027743868238312413,0.0001934590504128078,0.9953383652545043,0.004006797653656144,0.000654837091839624,0.7811193855336757,0.10168549183101303,0.11719512263531139,0.02761453645815824,0.0001111640661606154,1.8167713993558213e-05,0.0001511146145843808,1.9671978690387103e-05,2.2672457138039898e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,19.696961292573576,-0.15122278650376586
200.0,3.6250450326,0.95,0.02468,0.02532,0.02772206465172652,0.0002276106834601217,0.9920765032089576,0.006695304608258853,0.0012281921827835846,0.6688406977611248,0.14485549039683923,0.18630381184203593,0.027502408961417497,0.00018560766721315442,3.404802309587165e-05,0.0001522352883433543,3.297065717217567e-05,4.2404737944591714e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,19.538389952824318,-0.25513326435343586
200.0,4.1640264499,0.95,0.02468,0.02532,0.027702388526494814,0.0002619063668198888,0.9891106139242962,0.009034917064070965,0.0018544690116329052,0.5856782434850474,0.17041650280899695,0.24390525370595564,0.027400726522610667,0.0002502887828135517,5.1373221070599575e-05,0.00015339286087662297,4.4633167096855766e-05,6.388033884641007e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,19.387161158008926,-0.34863929665809223
200.0,4.7030078672,0.95,0.02468,0.02532,0.027684657478346312,0.00029633891569500094,0.9864145548782648,0.01105664100768242,0.0025288041140528123,0.5216515410793975,0.18493308696453423,0.29341537195606826,0.027308549083460202,0.0003060993191587256,7.000907572738511e-05,0.00015458565205409488,5.480287046719939e-05,8.695039317370666e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,19.242601958610745,-0.43308296781112077
200.0,5.2419892846,0.95,0.02468,0.02532,0.02766865390783428,0.000330903632375007,0.9839576282240116,0.012796759587224796,0.003245612188763711,0.4708666794847939,0.19234943792109369,0.3367838825941125,0.027224783075303648,0.0003540691121606832,8.980172036995163e-05,0.00015581149460587647,6.364912769338081e-05,0.00011144301007574972,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,19.103941931667254,-0.5097324415468094
200.0,5.7809707019,0.95,0.02468,0.02532,0.027654151114744664,0.0003655977435401823,0.9817081310614342,0.014292667667720891,0.003999201270844813,0.42962012203059874,0.19515232210016323,0.37522755586923806,0.027148305006946462,0.00039525159151597867,0.00011059451628222135,0.00015706814719384466,7.134724860644652e-05,0.00013718234773989112,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,18.97039702191376,-0.5797267925782599
200.0,6.3199521193,0.95,0.02468,0.02532,0.027640932108705454,0.0004004198843097767,0.9796358869068491,0.01557991310016365,0.004784199992987307,0.395468647415346,0.19495610859312312,0.4095752439915309,0.02707804904124367,0.0004306433202611542,0.00013223974720063126,0.00015835351004619673,7.806430244834263e-05,0.00016400207181523738,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,18.84122809004869,-0.6440514433067541
200.0,6.8589335366,0.95,0.02468,0.02532,0.027628800451254803,0.0004353696652256806,0.9777136829248142,0.016690522874184092,0.00559579420100172,0.36673599696002074,0.19282706378946496,0.4404369392505142,0.027013056243991102,0.0004611391259179361,0.00015460508134576532,0.00015966572822269045,8.395105420847031e-05,0.00019175288279451978,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,18.71577315535217,-0.7035354119263637
200.0,7.3979149539,0.95,0.02468,0.02532,0.027617584764678953,0.00047044734038246405,0.9759178456236988,0.017652339757672365,0.006429814618628884,0.34223432226826067,0.1894765171202804,0.46828916061145887,0.02695249382487537,0.00048751498955242886,0.00017757595025115507,0.00016100322669869834,8.913872354416833e-05,0.00022030539013959737,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,63.65845399182276,3.87,18.593459320818624,-0.7588638109039181
