T,P,z_carbon dioxide,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoL3_methane,rhoL4_oxygen,rhoL5_carbon monoxide,rhoL6_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_nitrogen,rhoV3_methane,rhoV4_oxygen,rhoV5_carbon monoxide,rhoV6_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_nitrogen,parachor_methane,parachor_oxygen,parachor_carbon monoxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.3419854525,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.02785818633181165,0.00014632549383173732,0.9414649776833178,3.0824525417341466e-05,0.00032828677255155025,4.1470617909685815e-05,1.1537802239906542e-06,0.05813328662057957,0.9610522017636395,0.009334798101316997,0.011785465661917531,0.0043103172280824715,0.0002905457851893138,0.013226671459854372,0.026227506773176767,8.587153726659628e-07,9.145474080010158e-06,1.1552962010233928e-06,3.214222446589103e-08,0.001619487930756719,0.000140626438021143,1.3659189419947734e-06,1.7245140830170657e-06,6.307092969706128e-07,4.251425549855621e-08,1.935399233113337e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.599579575813873,-0.0881566065133157
200.0,2.6208060252,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.02779363585331364,0.00016398881830513996,0.9790564291092174,0.00014420729658366356,0.0014137837470515789,0.00018728889579722343,5.378882881325305e-06,0.019192912068468664,0.8973732475601253,0.03739628606381246,0.04323267745764312,0.016877231654825037,0.0011610786487110674,0.003959478614883116,0.027211537870507167,4.0080450886371455e-06,3.929419064088486e-05,5.2054393691572315e-06,1.4949871210117797e-07,0.0005334408089956867,0.00014715917844603077,6.132572760605579e-06,7.0896756884461585e-06,2.7676772753368595e-06,1.9040391556145666e-07,6.493102191591546e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.064947879325192,-0.0814802167420865
200.0,2.8996265978,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.027781093393107192,0.00018152845025721392,0.9792897170734046,0.00031189039873661924,0.0027063396820913143,0.0003909203249865518,1.15874631455987e-05,0.017289545057635306,0.8152043890357661,0.07281255121725276,0.07470130333958964,0.03178007609411967,0.002252270017197819,0.0032494102960739443,0.027205739088925773,8.664656295715461e-06,7.518507546165084e-05,1.086019405771521e-05,3.219123958370651e-07,0.0004803224659705013,0.00014798278938454152,1.3217549581741909e-05,1.3560411827429747e-05,5.768987962421875e-06,4.088510857827086e-07,5.898604152961378e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.96254653994792,-0.13202714909256485
200.0,3.1784471705,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.027771574700468916,0.00019909118173086252,0.9783094904415948,0.0004991990155694066,0.003838250483745087,0.0006025579953149778,1.846593454642479e-05,0.0167320361292294,0.746437937463558,0.1060638582692665,0.09668759283998864,0.04465357908425048,0.003267215665634463,0.0028898166773018963,0.02716919509397643,1.3863542751286322e-05,0.00010659426002843764,1.6733984378254705e-05,5.128280806700057e-07,0.00046467499125383904,0.0001486092110583674,2.1116378881762982e-05,1.924964711722582e-05,8.890133828395954e-06,6.504738278407518e-07,5.753370172695891e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.879477816808688,-0.18006474458337607
200.0,3.4572677431,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.027763479224122777,0.00021667992022768364,0.9771754091302459,0.0007043340719603687,0.004814953449874367,0.0008172845702725446,2.593149951099175e-05,0.016462087278135758,0.6885855109076129,0.13731988918692514,0.11159565504440964,0.055655879479434685,0.004210906230622817,0.0026321591509947603,0.027129789169711257,1.9554764373713494e-05,0.0001336798600707053,2.2690663186957903e-05,7.199486479237694e-07,0.000457044818132218,0.00014920265357340034,2.9754462634697295e-05,2.4180537632778783e-05,1.2059511525805482e-05,9.124188261376081e-07,5.703360348641121e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.803191462892787,-0.22431546641059796
200.0,3.7360883158,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.027756430386897367,0.00023429449370022766,0.9760548132454804,0.0009260416261317899,0.005653205937146792,0.0010315978332132959,3.392218415950986e-05,0.016300419173868236,0.6393256631371186,0.16680631632971757,0.12136089731315025,0.06498890361188664,0.005090220678369709,0.002427998929757132,0.027091797477644286,2.5703609931096265e-05,0.00015691281705720983,2.8633473444859006e-05,9.41558743194948e-07,0.0004524414500767208,0.0001497904825542735,3.9081801430471195e-05,2.843418999098986e-05,1.5226542267879877e-05,1.1926106766610603e-06,5.68866779952142e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.73123506059227,-0.2650198184547925
200.0,4.0149088884,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.027750224864349877,0.00025193472353900604,0.9749893316179836,0.0011630104807813294,0.006371279951998478,0.0012426436836600384,4.23748966135762e-05,0.016191359368962953,0.5969034809345963,0.19467868934718982,0.12741257770828526,0.07283638713773406,0.005910032130819082,0.0022588327413754113,0.027056173192741236,3.227380236127755e-05,0.00017680445134168204,3.448364164783012e-05,1.1759129096303176e-06,0.0004493138633482201,0.0001503807134487279,4.904632177962031e-05,3.2099652540328974e-05,1.8350015057125047e-05,1.4889423109845483e-06,5.690784022192694e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.6625756348389,-0.30260199129331156
200.0,4.2937294611,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.027744713128733292,0.00026960064107488707,0.9739880508301714,0.001413898427293381,0.006986692814543714,0.0014481969422091854,5.1226782338790444e-05,0.016111934203443572,0.5599995342276691,0.22104784664076818,0.13079530326541244,0.07936829071613202,0.006673989564635465,0.0021150355853827543,0.027023019061097206,3.922820625842202e-05,0.00019384378785809752,4.0179808715502594e-05,1.421272380497802e-06,0.00044702099242356787,0.00015097623342941776,5.959464116257442e-05,3.526249760993946e-05,2.13977420580872e-05,1.7993118651528279e-06,5.702149497153896e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.59657800195054,-0.33748919471651107
200.0,4.5725500337,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.027739774663417077,0.00028729243979279574,0.9730493964641198,0.0016773928672036708,0.007515257499979929,0.0016466347603996934,6.041767275893916e-05,0.01605090073553787,0.527609147972662,0.24600181879781385,0.13226964072815697,0.08474352435434014,0.007385170616770284,0.001990697530256782,0.026992170994288668,4.653050015825291e-05,0.0002084715495869984,4.5677277206437265e-05,1.6759726280210447e-06,0.00044524836954869593,0.00015157811937806427,7.067446271588919e-05,3.8000067795308764e-05,2.4346173868398584e-05,2.1217036847780012e-06,5.719123503569637e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.532778214310206,-0.3700671422899475
200.0,4.8513706064,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,0.027735310313546584,0.0003050104064923069,0.9721681597377864,0.0019522540884478609,0.00797073876612716,0.001836867824239419,6.989174248482032e-05,0.016002087840914322,0.498955779207378,0.26961808422029526,0.13238807524457039,0.08910981229577013,0.008046427956403635,0.0018818210755826427,0.02696338558727703,5.414637295399144e-05,0.00022107091310675218,5.094609911024943e-05,1.938469166170979e-06,0.0004438228719323894,0.0001521867050377281,8.22363214657093e-05,4.0379740645080525e-05,2.7179420070786016e-05,2.454244261793735e-06,5.739750112092521e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.470812803990043,-0.40066856702523523
