T_K,P_bubble_bar,P_dew_bar
200,5.180619976696297,1.9431135314475079
205,6.013442341206595,2.605354153672016
210,6.982186505189985,3.4167891267315835
215,8.104358198240847,4.394133040342506
220,9.398316068821773,5.5548054298848015
225,10.883149065764174,6.917167649445674
230,12.578551386459395,8.500582626765427
235,14.504702958282381,10.325362930887621
240,16.6821634383516,12.41268190892153
245,19.131786604993344,14.784496726052224
250,21.87465987037137,17.46350729203705
255,24.932070591627806,20.473162566551473
260,28.325496866835056,23.837724005699847
265,32.076615097742604,27.58240176073364
270,36.20730831302427,31.733592127719913
275,40.73964429410696,36.31926826848689
280,45.69576129330493,41.36962131543196
285,51.09752521246396,46.918144948299656
290,56.96562421793506,53.00359038764143
295,63.31714676937632,59.67389989455231
300,70.15822792193197,66.99579794357791
