feature,importance_mean,importance_std
z_hydrogen,17.694382918349476,0.41194408033385704
pressure,11.255697830115555,0.2635218960692485
temperature,7.086322514947163,0.15755537884648108
z_carbon dioxide,2.1707569892294503,0.06050734836187429
z_hydrogen sulfide,-1.055266437959371,0.02668210184597834
z_nitrogen,-1.1695287903031797,0.04018576114275763
z_methane,-2.0313957144719508,0.01452994089245159
z_argon,-2.478258000420701,0.02060608229433506
z_carbon monoxide,-2.646851250213501,0.015927260162903228
z_oxygen,-2.8150198580817456,0.011419782394207486
