T,P,z_carbon dioxide,z_hydrogen,z_argon,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,y_carbon dioxide,y_hydrogen,y_argon,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.5486070954,0.95,0.02,0.03,0.027775355272349336,0.00015937656909418074,0.9996342333659486,2.5494621882637014e-05,0.00034027201216878364,0.940956490464238,0.023639416136989472,0.03540409339877257,0.027765195974141788,7.081221803244547e-07,9.451176027225141e-06,0.00014996641711709146,3.7675690393029936e-06,5.642582937786304e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,19.887892723504525,-0.009223743693993924
200.0,8.8722037847,0.95,0.02,0.03,0.02778406356341295,0.0005530146393353851,0.9869736266187743,0.0013382263563599904,0.011688147024865701,0.28948744135154386,0.35338184499380354,0.35713071365465254,0.027422137977388225,3.718136614734048e-05,0.0003247442198773846,0.00016009079297114748,0.00019542533355692123,0.00019749851280731636,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,18.979684055682874,-0.27204259304341605
200.0,15.1958004739,0.95,0.02,0.03,0.02780112150343912,0.0009488699166280426,0.9781403510877412,0.003152961076301408,0.01870668783595742,0.1793719843488523,0.4813588556477965,0.33926916000335117,0.02719339874800689,8.765585397786962e-05,0.0005200669014543589,0.00017020067983450205,0.0004567469372266947,0.00032192229956684587,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,18.238834575574476,-0.3669968068372853
200.0,21.5193971632,0.95,0.02,0.03,0.027824091034775265,0.0013443208544659498,0.9718868218859843,0.005293370221265246,0.02281980789275052,0.13398595420555603,0.5683124287419459,0.297701617052498,0.02704186740765404,0.0001472832149172527,0.0006349404122039736,0.0001801201124440487,0.0007639942498099919,0.00040020649221190905,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,17.61289428888185,-0.36513272672551267
200.0,27.8429938525,0.95,0.02,0.03,0.027850423351881533,0.001738795544426318,0.9670747628009475,0.007603574260548141,0.025321662938504425,0.10929915144533797,0.6303561003859895,0.2603447481686725,0.026933441556926802,0.00021176276214373533,0.0007052190328109969,0.00019004887754273103,0.0010960603787531075,0.00045268628813047954,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,17.054875084203267,-0.31394050558274245
200.0,34.1665905417,0.95,0.02,0.03,0.027878611027454626,0.002132242420450319,0.963058794145353,0.009996405520530114,0.0269448003341169,0.09386541266811142,0.6758356871384014,0.23029890019348725,0.026848741518547794,0.0002786859011795591,0.0007511836077272744,0.00020014381470402192,0.0014410455213706894,0.0004910530843756077,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,16.538382610611816,-0.23728244450304103
200.0,40.490187231,0.95,0.02,0.03,0.027907867486704065,0.00252465428080822,0.9595088954959964,0.01242765238718481,0.028063452116818807,0.08337716127259864,0.7101295094484505,0.20649332927895078,0.026777847107816045,0.0003468292759923751,0.000783191102895644,0.0002104985071285035,0.001792831505957272,0.0005213242677224445,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,16.04996633201472,-0.14674570676300824
200.0,46.8137839203,0.95,0.02,0.03,0.027937775276746235,0.0029159909784952144,0.956251953087024,0.014874286998473958,0.028873759914501987,0.07584686610161658,0.7366813348371567,0.1874717990612267,0.026715552173294962,0.00041555448756519373,0.0008066686158860801,0.00022116877729944843,0.002148156126410961,0.0005466660747848047,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,15.582566996078663,-0.0482934135313382
200.0,53.1373806095,0.95,0.02,0.03,0.027968100596715686,0.003306181372873395,0.9531917433483778,0.01732361584202791,0.029484640809594335,0.07022905870171162,0.757717527047309,0.17205341425097934,0.02665896256592623,0.0004845086305686941,0.000824629400220763,0.00023219000571403115,0.002505151573823506,0.0005688397933358577,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,15.132242525362502,0.05473856608810124
200.0,59.4609772988,0.95,0.02,0.03,0.02799870477362548,0.003695133276242596,0.9502714919569375,0.019768235430919785,0.029960272612142652,0.06592080605801706,0.7747119838392587,0.15936721010272445,0.026606370958094913,0.0005534849877258461,0.0008388488278047192,0.00024358616406171333,0.0028626640309883608,0.0005888830811925223,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,14.696643910360073,0.16033148787486162
