Complexity,Loss,Equation
1,338.4676,"23.364891"
3,128.64496,"temperature + -224.63538"
5,30.424416,"(temperature * 0.6390837) + -135.1267"
6,0.86357445,"exp((-2069.8777 / temperature) + 11.211218)"
8,0.7785407,"exp((-2146.0752 / temperature) + 11.460656) + 0.9061765"
9,0.5649785,"exp(exp((-510.7676 / temperature) + 3.1837127)) + -4.0825014"
11,0.5594163,"exp(exp((-511.63434 / temperature) + 3.169791) + 0.0745708) + -4.4960704"
13,0.55461687,"((-513.7719 / temperature) + exp(exp((-513.7719 / temperature) + 3.1911101))) - 1.6226376"
15,0.5537983,"((exp(exp((-513.7719 / temperature) + 3.1913512)) + (-513.7719 / temperature)) - 1.6269329) - z_argon"
16,0.5508683,"((-512.34735 / temperature) - 1.6980795) + exp(exp(square(z_hydrogen) + ((-512.34735 / temperature) + 3.1857386)))"
18,0.5506273,"exp(exp((3.1871333 - square(z_argon)) + (-512.34015 / temperature))) + (z_argon + ((-512.3473 / temperature) - 1.68251))"
19,0.55045813,"exp(exp(((-512.34735 / temperature) + 3.1857386) + square(z_hydrogen))) + (((-512.34735 / temperature) - exp(0.5406567)) + z_argon)"
20,0.5503152,"(((-512.34735 / temperature) - 1.6980795) + (z_argon + exp(exp(3.1857386 + ((-512.34735 / temperature) + square(z_hydrogen)))))) - z_hydrogen"
