timestamp,index,sm_pct,mem_pct,power_w,power_limit_w,temp_c,vram_used_mib,vram_total_mib,pid_count
2026/05/08 15:35:00.811, 0, 0, 0, 68.87, 700.00, 33, 1, 95830,0
2026/05/08 15:35:10.908, 0, 0, 0, 68.73, 700.00, 33, 1, 95830,0
2026/05/08 15:35:21.004, 0, 100, 50, 479.57, 700.00, 56, 15005, 95830,8
2026/05/08 15:35:31.080, 0, 100, 46, 696.65, 700.00, 64, 36621, 95830,8
2026/05/08 15:35:41.154, 0, 100, 43, 690.49, 700.00, 65, 40493, 95830,8
2026/05/08 15:35:51.231, 0, 100, 46, 656.50, 700.00, 67, 42739, 95830,8
2026/05/08 15:36:01.310, 0, 100, 50, 697.57, 700.00, 67, 45335, 95830,8
2026/05/08 15:36:11.385, 0, 100, 50, 691.15, 700.00, 66, 45337, 95830,8
2026/05/08 15:36:21.458, 0, 100, 51, 691.98, 700.00, 67, 45337, 95830,8
2026/05/08 15:36:31.533, 0, 100, 48, 698.28, 700.00, 68, 42992, 95830,7
2026/05/08 15:36:41.947, 0, 53, 33, 177.40, 700.00, 45, 3596, 95830,4
2026/05/08 15:36:52.023, 0, 100, 47, 692.81, 700.00, 64, 27589, 95830,8
2026/05/08 15:37:02.100, 0, 100, 50, 692.22, 700.00, 67, 38331, 95830,8
2026/05/08 15:37:12.176, 0, 100, 46, 689.99, 700.00, 65, 41687, 95830,8
2026/05/08 15:37:22.251, 0, 100, 43, 693.31, 700.00, 67, 44041, 95830,8
2026/05/08 15:37:32.326, 0, 100, 45, 690.79, 700.00, 65, 42990, 95830,7
2026/05/08 15:37:42.401, 0, 100, 40, 694.08, 700.00, 66, 42990, 95830,7
2026/05/08 15:37:52.603, 0, 100, 43, 697.06, 700.00, 67, 39485, 95830,6
2026/05/08 15:38:02.676, 0, 0, 0, 134.93, 700.00, 44, 10219, 95830,2
