T_K,gamma,rhoL,rhoV,Tc,Pc,Psat
80,15.949422773430644,0.037238641601772184,4.555408265596786e-05,154.66746041553884,50.58238770041803,0.2992901057372242
81,15.70914918726736,0.03709600235443099,5.149289635596928e-05,154.66746041553884,50.58238770041803,0.34207923111919314
82,15.468293883121394,0.036952890140198105,5.8016656300630264e-05,154.66746041553884,50.58238770041803,0.3896162038857862
83,15.226898353697958,0.036809269076527894,6.516323527332311e-05,154.66746041553884,50.58238770041803,0.44226496228065343
84,14.985002979398663,0.036665101914159656,7.297154922588152e-05,154.66746041553884,50.58238770041803,0.5004027906434984
85,14.742647341441728,0.036520350007165935,8.148154615118125e-05,154.66746041553884,50.58238770041803,0.5644199522935227
86,14.499870093006203,0.036374973276872107,9.073419985252884e-05,154.66746041553884,50.58238770041803,0.6347193014791236
87,14.25670931484191,0.0362289301694345,0.0001007715090439039,154.66746041553884,50.58238770041803,0.7117158786808326
88,14.01320247272493,0.036082177606819095,0.00011163650218115579,154.66746041553884,50.58238770041803,0.7958364932190254
89,13.769386720580034,0.03593467093087676,0.00012337324839701745,154.66746041553884,50.58238770041803,0.8875192967631668
90,13.525298673448026,0.03578636384016218,0.00013602687489292525,154.66746041553884,50.58238770041803,0.9872133512640372
91,13.280974861790494,0.03563720831908854,0.00014964359112874353,154.66746041553884,50.58238770041803,1.0953781946307422
92,13.036451582545668,0.035487154558951184,0.00016427072014777417,154.66746041553884,50.58238770041803,1.2124834069385753
93,12.791765028375758,0.03533615087028747,0.0001799567373795855,154.66746041553884,50.58238770041803,1.3390081799972802
94,12.546951425993026,0.03518414358596821,0.0001967513172771918,154.66746041553884,50.58238770041803,1.475440892583728
95,12.302047072202093,0.035031076954335764,0.00021470538816870325,154.66746041553884,50.58238770041803,1.6222786935863645
96,12.057088468324608,0.03487689302161282,0.00023387119573684811,154.66746041553884,50.58238770041803,1.7800270949218049
97,11.812112269707086,0.03472153150270642,0.00025430237558349446,154.66746041553884,50.58238770041803,1.949199575762488
98,11.567155498729644,0.034564929639418894,0.0002760540353909951,154.66746041553884,50.58238770041803,2.1303171997280046
