T,P,z_carbon dioxide,z_argon,z_oxygen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_argon,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_argon,y_oxygen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_oxygen,rhoL4_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_oxygen,rhoV4_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_argon,parachor_oxygen,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.2967074141,0.96,0.01,0.01,0.02,0.027884774828072362,0.00014339839160627403,0.924428998964244,8.478039815238972e-05,9.73798339148841e-05,0.07538884080368867,0.9616559424427337,0.010461584787878769,0.010460998244351004,0.017421474525036503,0.025777494480658282,2.3640823123137094e-06,2.7154147415116277e-06,0.0021022008503602525,0.00013789991542490363,1.5001744322344789e-06,1.5000903228359903e-06,2.4982114262999113e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,20.818058774776695,-0.10038479268470368
200.0,2.4758452519,0.96,0.01,0.01,0.02,0.027817068777761102,0.00015479096016212141,0.9714517882403426,0.00024528661550330343,0.00027939122669311023,0.028023533917461034,0.9401333816369273,0.02692252458600792,0.026863359739373573,0.006080734037691218,0.027022941207760626,6.823154653719634e-06,7.771844968825292e-06,0.0007795325703779347,0.0001455241488240421,4.167363430656486e-06,4.158205247238111e-06,9.412426601847171e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,20.222930230396027,-0.051711297608957096
200.0,2.6549830898,0.96,0.01,0.01,0.02,0.02780977754677845,0.00016599258210482233,0.9756950936813419,0.0005509825198975737,0.0006245166154908517,0.023129407183269696,0.8832852531437866,0.056185068961246164,0.05582564775336606,0.004704030141601211,0.027133863508761277,1.5322701310514954e-05,1.736766815106756e-05,0.0006432236685555897,0.00014661879990444877,9.326304672614759e-06,9.266643418255506e-06,7.80834109503298e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,20.12725842441409,-0.06388565269724467
200.0,2.8341209277,0.96,0.01,0.01,0.02,0.027807980404810594,0.0001771917030295109,0.9761753046355633,0.0008709013382712763,0.0009825903011894137,0.021971203724976008,0.8303807899679357,0.08315513268519314,0.0822601241849563,0.004203953161914891,0.027145463742965757,2.4218007349170976e-05,2.7323851841432156e-05,0.0006109748026542343,0.00014713658633740912,1.473439957613432e-05,1.4575811495751464e-05,7.449056202159967e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,20.075405355925795,-0.08150667679317891
200.0,3.0132587656,0.96,0.01,0.01,0.02,0.027807133791403694,0.00018840369660276665,0.9760044379651749,0.0011945642852045845,0.0013416253409017072,0.02145937240871885,0.7831917571171323,0.10727761886663768,0.10565296907194409,0.0038776549442860347,0.027139885987501385,3.32174089011164e-05,3.7306755352391365e-05,0.0005967236396488021,0.0001475562221896839,2.021149995721724e-05,1.9905409930212042e-05,7.305645256534841e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,20.031138099107444,-0.09995795816068664
200.0,3.1923966035,0.96,0.01,0.01,0.02,0.02780660844215954,0.0001996305000933534,0.9756116844420402,0.0015205345781062606,0.0016999734592374927,0.021167807520616148,0.7410884805288392,0.12890149757391298,0.12638535408750842,0.0036246678097393843,0.027128452100875524,4.2280909636165045e-05,4.7270496343080426e-05,0.0005886049353047733,0.00014794386398139559,2.573267042346243e-05,2.5230371440964853e-05,7.235942475305532e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.98946143095644,-0.11860132578725668
200.0,3.3715344414,0.96,0.01,0.01,0.02,0.02780622756674355,0.00021087254276233827,0.9751174522919979,0.0018484152922752994,0.0020571751635766102,0.020976957252150197,0.7033541901869421,0.14838774008773542,0.14484366763480264,0.003414402090519854,0.02711433778273449,5.1397456254855765e-05,5.720228074306411e-05,0.0005832900470111399,0.00014831808654726576,3.1290900067057724e-05,3.0543552497173834e-05,7.200036508409651e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.948974093189726,-0.13725839457202937
200.0,3.5506722793,0.96,0.01,0.01,0.02,0.02780592252951548,0.00022212992184246426,0.9745684433852364,0.002178056826618796,0.002413053854544376,0.0208404459336004,0.6693653941980875,0.16604463089751806,0.16135653438852623,0.0032334405158682697,0.027098774636480378,6.0562879385844566e-05,6.709718853900964e-05,0.0005794878251102486,0.00014868608269727145,3.688348088362651e-05,3.584211437249423e-05,7.182438890720761e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.90913262658174,-0.15586053848885584
200.0,3.7298101172,0.96,0.01,0.01,0.02,0.027805661170999276,0.00023340264069823284,0.973986520707775,0.002509392326175504,0.002767527728899985,0.0207365592371495,0.6386011747111164,0.18212804795182502,0.17619630717550733,0.0030744701615513493,0.027082339179920863,6.977531276674176e-05,7.695293831113813e-05,0.0005765937400005342,0.00014905120053056812,4.250916733717034e-05,4.11246833760404e-05,7.175894544540074e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.869682642541466,-0.17437605858588867
200.0,3.9089479551,0.96,0.01,0.01,0.02,0.027805426428682826,0.0002446906757274389,0.9733832725696003,0.0028423887539231604,0.0031205538612365026,0.020653784815239978,0.6106288862837149,0.19684986049452818,0.18958834408785946,0.0029329091338974687,0.027065336972344544,7.90338313789259e-05,8.676833080535368e-05,0.0005742872941540018,0.00014941519480345564,4.816732538125818e-05,4.6390500024904526e-05,7.176555178205491e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.83048932863112,-0.19278848071726884
200.0,4.088085793,0.96,0.01,0.01,0.02,0.027805208410248774,0.0002559939986467369,0.9727654103635961,0.003177028665257391,0.0034721073965143048,0.02058545357463231,0.5850881892575147,0.2103862363130358,0.201719965641267,0.002805608788182499,0.027047944969440962,8.833794416281624e-05,9.654266978284652e-05,0.000572382826862152,0.00014977906512900996,5.385761389401136e-05,5.1639100611390324e-05,7.182190123252638e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.791474642187115,-0.21109061896242665
200.0,4.2672236309,0.96,0.01,0.01,0.02,0.027805000983177536,0.0002673125839720082,0.9721370874135967,0.0035133031255733496,0.003822173376694611,0.020527436084135302,0.5616773007846723,0.2228845677685997,0.21274786627330428,0.0026902651734237275,0.0270302726713184,9.768739686076769e-05,0.00010627553449686866,0.0005707653805014961,0.0001501434106311736,5.9579849737708555e-05,5.687018186804822e-05,7.191417350777994e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.75259028236314,-0.22927299946687896
200.0,4.4463614688,0.96,0.01,0.01,0.02,0.027804800143531663,0.00027864641214231703,0.9715010118654879,0.0038512071934184585,0.004170741683283467,0.02047703925781012,0.5401419337763217,0.23446896738958015,0.22280398220605252,0.0025851166280456968,0.027012391474158674,0.00010708204632433173,0.00011596663895399363,0.0005693599840946623,0.00015050861189438506,6.533393652182044e-05,6.208353025273718e-05,7.203334733743781e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.71380479397958,-0.24733401276404265
200.0,4.6254993067,0.96,0.01,0.01,0.02,0.02780460316425942,0.0002899954697775733,0.9708590240475746,0.004190738567530089,0.004517805425972525,0.020432431958922796,0.5202664572733852,0.24524463148192838,0.23200013844634293,0.002488772798343428,0.026994349892083006,0.0001165218228353311,0.00012561578704250404,0.00056811566229858,0.0001508749156865091,7.111983211702967e-05,6.727898913720926e-05,7.217328368252481e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.67509681340138,-0.2652714821369919
200.0,4.8046371446,0.96,0.01,0.01,0.02,0.027804408122759878,0.00030135974954331827,0.9702124181153946,0.004531896436263217,0.004863359641206124,0.020392325807136024,0.501866910730211,0.2553012743696375,0.24043170475900366,0.0024001101411479935,0.02697618203905018,0.00012600669808394353,0.00013522283631185413,0.0005669965493138988,0.00015124248652173523,7.693752810212393e-05,7.245643832844639e-05,7.232965910127375e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,86.02971371321541,3.87,19.636451332698158,-0.2830840139469437
