CO2,H2,Ar,N2,CH4,O2,CO,H2S,feed_source,template_name,mixture_size,active_components
0.95,0.0022727111324178837,0.00731024322893131,0.03383251732788081,0.0065649585541318655,1.3848118772191565e-06,1.068663886400215e-05,7.498305896951746e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.022396978294955603,0.00016390421450842487,0.0014043272454010605,0.025985235919815587,4.2194509383900186e-06,1.9247541425640365e-05,2.6087332955336895e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0016421580635879486,0.019118998661989912,0.0019036610894096937,0.027318995403624605,1.618424542063366e-06,5.3904119209725845e-06,9.177944924849569e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.020807418600291745,0.01693694390598072,0.010895912468991473,0.001232425665722546,8.511525107551946e-06,2.6220296036470053e-05,9.2567537869543e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.004154912886013675,0.0188695687213944,0.025527421195970994,0.0013618824465111675,8.740323733779123e-06,3.0159270641726024e-05,4.731515573430335e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.010821941592334898,0.03377439984327129,0.001170284859473152,0.004177820556684494,9.894646349232952e-06,3.220340477678479e-05,1.3455097110193993e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.016390588417488697,0.020538394742572245,0.004963479285605721,0.008057175278659527,9.375579109976067e-06,7.86824096467841e-06,3.311845559919796e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.035301959710224796,0.002310029998521307,0.0010771424742444995,0.01124150124730874,2.911664062450065e-06,3.273292785441921e-05,3.372197778383106e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.030988540522826347,0.0007086114960327414,0.016223457431076553,0.002022556035905234,8.109820667293548e-06,1.5547347552165926e-05,3.317734593971217e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.014699268620131819,0.011332440922085286,0.009580340660472855,0.01429725913625511,3.0502432600327482e-06,1.121546588132215e-05,7.642495191361914e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
