temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_argon,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_argon,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_argon,E_methane,E_oxygen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2,source_id
200.0,2.7085961801269063,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.0343905050803314,11.72169367270574,2.708496180126906,1221.8133584189484,7.417833543203639,0.9997168778547608,0.0,0.0,0.0,0.0,0.0002243630288358,5.87591164032643e-05,0.0,0.9699655976100304,0.0,0.0,0.0,0.0,0.0253568993022366,0.0046775030877328,0.0,22.51169964227268,0.6832679204491598,1.0000000097699182,0.0,0.0,0.0,0.0,4.156377116964919,4.326805455527881,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
200.0,3.710040345968999,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.0471056417720797,11.72169367270574,2.708496180126906,1220.5543487322973,9.419062595753095,0.9963740852982788,0.0,0.0,0.0,0.0,0.0028994655027814,0.0007264491989397,0.0,0.7175863614536289,0.0,0.0,0.0,0.0,0.2399789611107924,0.0424346774355787,0.0,22.18480575849206,0.6931942834817271,1.0000000036030985,0.0,0.0,0.0,0.0,4.08997526753217,4.233748090959285,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
200.0,4.711484511811092,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.0598207784638279,11.72169367270574,2.708496180126906,1219.3104644977252,11.43759616393042,0.9930447704964864,0.0,0.0,0.0,0.0,0.0056088542704272,0.0013463752330862,0.0,0.5717558195130098,0.0,0.0,0.0,0.0,0.3660980096162484,0.0621461708707417,0.0,21.863736444236824,0.7030355540266982,1.0000000022604254,0.0,0.0,0.0,0.0,4.025976703369733,4.145084199482434,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
200.0,5.712928677653184,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.0725359151555762,11.72169367270574,2.708496180126906,1218.0797907574663,13.473391151963188,0.9897272450966692,0.0,0.0,0.0,0.0,0.0083497257464717,0.001923029156859,0.0,0.4768010256965519,0.0,0.0,0.0,0.0,0.4497959968214874,0.0734029774819607,0.0,21.54810618404969,0.7127983731754064,1.0000000011711143,0.0,0.0,0.0,0.0,3.9642196559126495,4.060561353913947,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
200.0,6.714372843495276,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.0852510518473244,11.72169367270574,2.708496180126906,1216.86063829499,15.526479161332349,0.9864200762743304,0.0,0.0,0.0,0.0,0.0111194960098393,0.0024604277158302,0.0,0.4100798418147862,0.0,0.0,0.0,0.0,0.5098284456517701,0.0800917125334436,0.0,21.237576893803865,0.7224884846274691,1.0,0.0,0.0,0.0,0.0,3.904912234107181,3.979611702101965,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
200.0,7.715817009337369,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.0979661885390727,11.72169367270574,2.708496180126906,1215.6515010799594,17.596938141457326,0.9831220103698652,0.0,0.0,0.0,0.0,0.0139158232426531,0.0029621663874815,0.0,0.3606501136261067,0.0,0.0,0.0,0.0,0.5552702419935315,0.084079644380362,0.0,20.93185309891937,0.7321117830094303,1.0,0.0,0.0,0.0,0.0,3.8475549891862473,3.9019762489759136,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
200.0,8.717261175179463,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.110681325230821,11.72169367270574,2.708496180126906,1214.4510306062284,19.684879362149932,0.9798319373834442,0.0,0.0,0.0,0.0,0.016736597174819,0.0034314654417367,0.0,0.3225774047108117,0.0,0.0,0.0,0.0,0.5910518687821161,0.0863707265070722,0.0,20.630673871893727,0.7416740169478423,1.0,0.0,0.0,0.0,0.0,3.792002833278623,3.8274243028402464,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
200.0,9.718705341021554,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.1233964619225692,11.72169367270574,2.708496180126906,1213.2580171540608,21.790440867772627,0.9765488704648152,0.0,0.0,0.0,0.0,0.0195799189814607,0.0038712105537239,0.0,0.2923644864445734,0.0,0.0,0.0,0.0,0.6200859546129844,0.0875495589424422,0.0,20.33380609393055,0.7511808562618754,1.0,0.0,0.0,0.0,0.0,3.738153874590003,3.7557495438599946,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
200.0,10.720149506863644,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.1361115986143174,11.72169367270574,2.708496180126906,1212.0713734753829,23.913783709730023,0.9732719291648456,0.0,0.0,0.0,0.0,0.0224440813862179,0.0042839894489363,0.0,0.2678167160701875,0.0,0.0,0.0,0.0,0.6442059948034301,0.0879772891263823,0.0,20.04104217313788,0.7606379488887995,1.0,0.0,0.0,0.0,0.0,3.6860814358844833,3.686892262081797,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
200.0,11.72159367270574,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0,300.6,78.76,0.665335994677312,0.1488267353060657,11.72169367270574,2.708496180126906,1210.890120885081,26.055089552637696,0.9700003263962976,0.0,0.0,0.0,0.0,0.0253275489150731,0.0046721246886292,0.0,0.2474872644124331,0.0,0.0,0.0,0.0,0.6646253948624181,0.0878873407251486,0.0,19.752196540263053,0.7700509286766825,1.0,0.0,0.0,0.0,0.0,3.635614105153808,3.620603466345448,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654,0
