x_carbon dioxide,x_argon,y_carbon dioxide,y_argon,liquid_density_kg_m3,vapor_density_kg_m3,Tc_K,gamma_mN_m,interfacial_thickness_nm,E_carbon dioxide,E_argon,T_K,P_bar
0.9941829293886426,0.005817070611357459,0.5710310645123837,0.42896893548761617,1209.0208944202957,13.779982262113199,305.33,18.38094789969937,0.6422290526660468,1.000000000954575,5.070796571156503,204.0,5.275907598830975
0.9887450768607795,0.011254923139220422,0.4133517993191272,0.586648200680873,1208.1532856175886,19.29772264781632,305.33,17.843941147985802,0.6606641088785921,1.0000000009459156,4.91994537484574,204.0,7.465442000431868
0.9832842672828496,0.016715732717150447,0.32717544699866613,0.6728245530013339,1207.2721380455143,24.901424514670268,305.33,17.31840812249526,0.6788767489713053,1.000000000909132,4.772513072299568,204.0,9.654976402032762
0.9777994423160921,0.02220055768390793,0.2729859786865383,0.7270140213134617,1206.376974912216,30.592957774739588,305.33,16.8042307969832,0.696891871693679,1.000000000638147,4.63000017242922,204.0,11.844510803633653
0.9722900420540947,0.027709957945905212,0.23585455567909272,0.7641454443209073,1205.467423880057,36.374881426993426,305.33,16.30123407782642,0.7147497656034147,1.000000000683958,4.492160080131886,204.0,14.034045205234548
0.9667556885154228,0.03324431148457714,0.20889402811829078,0.7911059718817092,1204.543146110367,42.25010973748467,305.33,15.809197649969294,0.7325465451612169,1.0000000007348664,4.3601885552281185,204.0,16.22357960683544
0.9611960904562246,0.03880390954377542,0.1884878154775928,0.8115121845224073,1203.6038149127949,48.22181609567339,305.33,15.327873079041218,0.7502946816137787,1.0000000006648293,4.2332702638170545,204.0,18.413114008436335
0.9556110119866885,0.04438898801331162,0.17255498416488402,0.827445015835116,1202.649108784735,54.29340314949268,305.33,14.85699674411767,0.7680704661633626,1.0000000003575762,4.111702679681663,204.0,20.602648410037226
0.9500002562986083,0.04999974370139172,0.15981368992064932,0.8401863100793507,1201.6787077840552,60.468496458309794,305.33,14.396299681879828,0.7859188550024847,1.0000000001089056,3.9955239458048952,204.0,22.792182811638117
0.9995802687708236,0.0004197312291761712,0.9499720580530826,0.05002794194691743,1206.7286212482627,8.740207592722873,305.33,18.694094125606817,0.6282330623028961,1.0000000006690533,5.0943015491067225,205.0,3.2412222711317686
0.9941637951991097,0.005836204800890302,0.5825283195565177,0.4174716804434822,1205.8641748437533,14.152509113462665,305.33,18.15603656415904,0.646612040409267,1.000000000962363,4.94769342787389,205.0,5.430096658344665
0.988727785421078,0.011272214578921937,0.42516957535247135,0.5748304246475286,1204.9870263599896,19.650163280568126,305.33,17.629237373574686,0.6647920007030379,1.0000000009371004,4.803257892227618,205.0,7.61897104555756
0.9832690343625168,0.016730965637483157,0.3380192778160612,0.6619807221839387,1204.0962135322804,25.23270260913361,305.33,17.113529369103254,0.6827649324017614,1.0000000008948347,4.662202055087483,205.0,9.807845432770456
0.9777864406741347,0.022213559325865315,0.2827925148900202,0.7172074851099797,1203.1912439073446,30.901893160810054,305.33,16.608795982000057,0.7005917134146763,1.0000000008677887,4.525668944445625,205.0,11.996719819983351
0.9722794176386208,0.0277205823613792,0.24475718492753415,0.7552428150724659,1202.2717342766225,36.66019846193775,305.33,16.11487197651752,0.7182720615021395,1.00000000062178,4.3935723253298145,205.0,14.185594207196246
0.9667475681929218,0.03325243180707817,0.2170396311211023,0.7829603688788976,1201.3373369657363,42.510439842632465,305.33,15.631550778203312,0.735878155589559,1.00000000072178,4.2669537336054795,205.0,16.374468594409144
0.9611905853679414,0.03880941463205855,0.19600237028135198,0.803997629718648,1200.3877172295051,48.455695844938724,305.33,15.158599834279741,0.7534644397181488,1.0000000005540155,4.145091085894803,205.0,18.56334298162204
0.9556082185788954,0.04439178142110456,0.17954060817129994,0.8204593918287002,1199.4225456623215,54.49926969924163,305.33,14.695771957707855,0.7710829210737515,1.0000000003394722,4.02824126394512,205.0,20.752217368834934
0.9500002562574272,0.049999743742572725,0.16635220324081457,0.8336477967591854,1198.4414942584108,60.644681214332664,305.33,14.242814612338192,0.7887832237254415,1.0000000000420712,3.916490271266685,205.0,22.94109175604783
0.9995587149381643,0.0004412850618356969,0.9499734263272861,0.050026573672713945,1203.5668196687952,9.145936185698167,305.33,18.4591236529503,0.6329298158690989,1.0000000007800343,4.9691310948521785,206.0,3.402017717138372
0.9941439075047056,0.005856092495294459,0.5937767947202369,0.4062232052797631,1202.6927724592188,14.53987764324049,305.33,17.931367308457986,0.6510648149957355,1.0000000009318744,4.828851137223858,206.0,5.590331668322196
0.9887098174200306,0.011290182579969372,0.43692729910395295,0.5630727008960471,1201.8059160605906,20.018209941695826,305.33,17.414513036954055,0.669018985008249,1.0000000009066587,4.690504354679218,206.0,7.778645619506019
0.9832532054904721,0.016746794509527877,0.34890782125618564,0.6510921787438144,1200.9052688945128,25.58039999059745,305.33,16.908385018858493,0.6867829960268225,1.000000000853481,4.555502349447338,206.0,9.966959570689843
