x_carbon dioxide,x_hydrogen,x_argon,y_carbon dioxide,y_hydrogen,y_argon,liquid_density_kg_m3,vapor_density_kg_m3,Tc_K,gamma_mN_m,interfacial_thickness_nm,E_carbon dioxide,E_hydrogen,E_argon,T_K,P_bar
0.9997730607714864,1.1007960318110795e-05,0.0002159312681954847,0.9499638751825298,0.016679088761729587,0.03335703605574062,1222.339112699992,6.814032476003093,305.81,19.88655918954736,0.6052662094546456,1.0000000006215144,1.768472389828059,5.795843199562318,200.0,2.523687881449839
0.9860368809192044,0.001014191118255522,0.012948927962540007,0.22823606359450632,0.3301689642687814,0.44159497213671234,1219.9827323293785,20.512547059840927,305.81,18.34924385695687,0.658874326535836,1.0000000010896641,1.5862683346803816,5.269677689947101,200.0,11.655088418116108
0.9763765429165069,0.002489601486204862,0.021133855597288306,0.14018032658235877,0.4519452800496674,0.40787439336797393,1218.093795658052,30.011535386153287,305.81,17.30526244647257,0.696181997180517,1.0000000011561403,1.4778711884004656,4.890687457086562,200.0,20.786488954782378
0.9697890197191473,0.004300187827943606,0.025910792452909087,0.10567092081293476,0.5443161348183714,0.3500129443686938,1216.590388426537,36.18968991900141,305.81,16.596783599131115,0.7222950949226565,1.0000000009912846,1.412915897122024,4.6157914079872935,200.0,29.917889491448648
0.9649919466642635,0.006285300995147589,0.028722752340588843,0.08713456828346992,0.6141884156228509,0.29867701609367914,1215.3314243806954,40.40259013727363,305.81,16.07483192141045,0.7421295242467935,1.000000000932165,1.3701969362906985,4.399456855805705,200.0,39.04929002811492
0.9611855153413001,0.008347409590022621,0.030467075068677137,0.07556159248540958,0.6670589727697239,0.2573794347448667,1214.2226880426472,43.532097824640246,305.81,15.654866004489492,0.7585540973332151,1.0000000008548233,1.3389102619346904,4.216857378458539,200.0,48.18069056478119
0.9579546968562465,0.010436705994823653,0.03160859714892997,0.0676819224005974,0.7077179764064363,0.22460010119296628,1213.2136693423884,46.04497422837503,305.81,15.294852663200684,0.7729843685802649,1.0000000007262193,1.3139344610357828,4.055797811069702,200.0,57.31209110144746
0.9550840111331927,0.012527754903386938,0.032388233963420235,0.062009367255063605,0.7396415915445075,0.19834904120042895,1212.2775067416635,48.18626370529728,305.81,14.973452969404322,0.7861135109384811,1.0000000005232714,1.2929088532100186,3.910043466547549,200.0,66.44349163811373
0.9524554682190929,0.014606953897052539,0.03293757788385448,0.05776583274835349,0.7652181336987606,0.17701603355288598,1211.3991172281978,50.09090416422128,305.81,14.679112709892053,0.7983840067922643,1.0000000002214222,1.2744730533336863,3.7761239945530702,200.0,75.57489217478
0.950000381453927,0.016666672252564407,0.03333294629350867,0.05450241522965036,0.7860837401938797,0.15941384457647007,1210.569434998294,51.837496717542884,305.81,14.405134564121814,0.8099863334088554,1.0000000000321927,1.257905122144214,3.652253364272425,200.0,84.70629271144628
0.9997605051804674,1.1822542292718682e-05,0.00022767227723972927,0.9499657354001647,0.01667846859318863,0.03335579600664674,1219.2467619742226,7.147580748525434,305.81,19.649339020123023,0.609689886234127,1.0000000008303183,1.7524529457486826,5.6454725695087555,201.0,2.6562658840467246
0.9861956295862334,0.0010120516977871604,0.012792318715979448,0.2400723017454728,0.3237173688299049,0.4362103294246224,1216.891134368526,20.60975101907359,305.81,18.160396502490627,0.6618128564381117,1.0000000010510472,1.5772130499355155,5.1477334606204055,201.0,11.63582350301541
0.9765678840417921,0.002477828420168549,0.020954287538039316,0.1481345896903786,0.44492112339641016,0.4069442869132112,1214.9881690891045,30.024447982346526,305.81,17.139520586307402,0.6984784110595769,1.0000000013993624,1.4718920254556231,4.785558633599877,201.0,20.615381121984093
0.9699506462879797,0.004279679818347522,0.025769673893672813,0.11178098128124546,0.5371156720550868,0.35110334666366777,1213.4636962040781,36.19293966952282,305.81,16.44186642372558,0.7243190044443437,1.000000000900343,1.4082692398041736,4.520728275542862,201.0,29.594938740952777
0.965115152495795,0.006260490361921372,0.028624357142283684,0.09217534563637524,0.6072637892748698,0.3005608650887552,1212.1825489294765,40.409739854183734,305.81,15.926684732435557,0.7439991662972261,1.0000000009291077,1.366286098083748,4.311524146595114,201.0,38.57449635992146
0.9612754328235776,0.008322452539460005,0.030402114636962303,0.07990035776638729,0.66059684940098,0.2595027928326328,1211.051918553005,43.539213986852324,305.81,15.512170157603865,0.7602594859047807,1.0000000010490513,1.3355230319926923,4.134631538860353,201.0,47.554053978890146
0.9580171335412705,0.010414796610164305,0.03156806984856508,0.07152243874198931,0.7017523061281862,0.2267252551298246,1210.02122626631,46.04633177905488,305.81,15.157031301397835,0.7745439307673287,1.000000001134831,1.3110326473029643,3.9784263686940964,201.0,56.53361159785883
0.9551231986165165,0.012511331159881104,0.03236547022360235,0.06547723538595976,0.7341452721544551,0.2003774924595851,1209.0633436450735,48.17747593480255,305.81,14.840130742646357,0.7875528421127748,1.0000000011146621,1.29041402025676,3.836926891568296,201.0,65.5131692168275
0.9524741876824123,0.014597946404727653,0.03292786591286006,0.06094434723456902,0.7601448726883148,0.17891078007711633,1208.16298209445,50.069062587616415,305.81,14.549972344116913,0.7996726899759843,1.0000000004972238,1.2723521420946826,3.706793157205078,201.0,74.49272683579619
0.9500003819802691,0.016666672727552113,0.033332945292178756,0.057449846881666045,0.7813847016175816,0.16116545150075234,1207.3109480991236,51.80082721148062,305.81,14.279880289126055,0.8111676627067489,1.000000000311554,1.2561285542529208,3.586362198533284,201.0,83.47228445476487
