T_K,P_bubble_bar,P_dew_bar
200,159.87271340968542,2.5238005074524756
201,156.5617207185404,2.6564022663452356
202,153.38189838803237,2.7943633548046956
203,150.32645706352025,2.937829602305527
204,147.38910103324403,3.086948592304618
205,144.56398573937543,3.2418696495088244
206,141.84567948463865,3.402743828068133
207,139.22912887468576,3.5697239007616544
208,136.7096275910764,3.742964349238674
209,134.2827881372398,3.922621355381813
210,131.94451624171555,4.108852793857513
211,129.6909876394005,4.301818225920001
212,127.5186269833441,4.501678894535012
213,125.42408866823234,4.708597720892918
214,123.40423937064894,4.922739302380252
215,121.45614213363395,5.144269912079435
216,119.5770418416077,5.373357499873571
217,117.76435194889561,5.610171695227696
218,116.01564233988955,5.854883811729561
219,114.32862821175516,6.107666853467697
220,112.70115988269404,6.368695523335643
221,111.1312134384419,6.6381462333484205
222,109.61688213933498,6.916197117069326
223,108.15636851774484,7.203028044242654
224,106.74797710348189,7.498820637739616
225,105.39010772051245,7.8037582929293
226,104.08124930436514,8.118026199592258
227,102.819974194429,8.441811366504025
228,101.60493285990522,8.775302648823532
229,100.4348490220245,9.118690778434095
230,99.30851513881989,9.472168397390252
231,98.22478822187237,9.83593009463985
232,97.18258595709882,10.210172446203158
233,96.18088310442329,10.595094059004415
234,95.21870815330729,10.990895618569139
235,94.29514021294332,11.397779940813923
236,93.40930611814358,11.815952028184498
237,92.56037773306667,12.245619130409068
238,91.74756943678841,12.686990810163282
239,90.97013577578083,13.14027901397529
240,90.22736926956959,13.605698148718853
241,89.51859835700505,14.08346516408333
242,88.84318547130681,14.57379964144554
243,88.20052523324497,15.076923889610118
244,87.59004275206857,15.59306304792719
245,87.01119202509909,16.12244519735578
246,86.4634544270143,16.66530148009411
247,85.94633728073202,17.221866228463956
248,85.4593725021553,17.79237710381223
249,85.00211531161524,18.377075246275332
250,84.57414300513513,18.976205436344895
251,84.17505377908886,19.59001626927487
252,83.80446560219623,20.21876034350664
253,83.462015128889,20.86269446439974
254,83.14735664856418,21.522079864739304
255,82.86016106525794,22.197182443645765
256,82.60011490245127,22.88827302573583
257,82.36691932789415,23.595627642597957
258,82.16028919332541,24.319527838936057
259,81.97995208387248,25.060261006025247
260,81.82564737209104,25.818120745502306
261,81.69712527109377,26.593407266911203
262,81.59414588135563,27.38642782293285
263,81.51647822510763,28.197497186776125
264,81.4638992621453,29.026938176886652
265,81.43619287991129,29.87508223491487
266,81.43314885036953,30.74227006379996
267,81.45456174497843,31.62885233394315
268,81.50022979801685,32.53519046674366
269,81.56995370723598,33.46165750633471
270,81.66353535885685,34.408639092243995
271,81.78077646184168,35.376534547984974
272,81.92147707398146,36.36575810331596
273,82.0854339985595,37.37674027129802
274,82.27243902683765,38.409929405390045
275,82.48227699631028,39.46579346690323
276,82.7147236284639,40.544822039477715
277,82.96954310193279,41.64752863510304
278,83.2464853071425,42.774453346178504
279,83.54528271588921,43.92616591066288
280,83.8656467831292,45.10326927346833
281,84.20726377789006,46.306403748002
282,84.56978991276249,47.53625190867863
283,84.95284560650997,48.79354438070747
284,85.35600866699077,50.07906674019533
285,85.77880611876435,51.3936678011216
286,86.2207043140071,52.738269650634024
287,86.68109684741222,54.113879912785684
288,87.15928963127382,55.52160688429062
289,87.65448225304753,56.96267842129923
290,88.16574440043003,58.43846579096921
291,88.69198564237192,59.95051420024546
292,89.23191610711463,61.50058245988938
293,89.7839944477066,63.09069539286984
294,90.34635766288329,64.72321441760204
295,90.91672436680969,66.40093471146935
296,91.49225806901407,68.1272223882037
299,93.20821253122047,73.64468226490445
300,93.75529732822243,93.75529732822702
