T,P,z_carbon dioxide,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_carbon monoxide,rhoL3_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_carbon monoxide,rhoV3_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_carbon monoxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.1264093284,0.95,0.01,0.04,0.027983644361253834,0.000132467487960477,0.849672702374244,3.371701330154015e-05,0.1502935806124544,0.9526867727242366,0.010266897822670058,0.03704632945309329,0.02377693872670632,9.435249091539645e-07,0.004205762109638358,0.0001262000235959535,1.3600301637159933e-06,4.9074342008075e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,21.739838727006248,-0.17756388754624197
200.0,2.3378822395,0.95,0.01,0.04,0.02786082700711941,0.00014604287020280316,0.9412646543878116,9.563668932487018e-05,0.058639708922863534,0.9624854025170799,0.024156275904714596,0.013358321578205537,0.02622441170381486,2.6645172568138318e-06,0.0016337507860477375,0.00014056413071189465,3.5278518665353352e-06,1.950887624373176e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,20.613275932440363,-0.08099196034495648
200.0,2.5493551506,0.95,0.01,0.04,0.027837912919481504,0.00015929393672946656,0.9559533745157093,0.00039908555760426087,0.04364753992668648,0.8997037637132835,0.09111195761144804,0.009184278675268406,0.026611746794852804,1.1109709000010133e-05,0.0012150564156286903,0.0001433173544122067,1.4513582411055843e-05,1.4629999062039944e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,20.395715576031833,-0.0817368674186234
200.0,2.7608280617,0.95,0.01,0.04,0.027833847617846477,0.00017250044496874338,0.9572513095818291,0.0007446797198640942,0.0420040106983068,0.8349381045013979,0.15686101632561447,0.008200879172987492,0.026643987082884617,2.07273018467978e-05,0.0011691332331150647,0.0001440271945478503,2.7058595114417815e-05,1.4146553064752425e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,20.335645767867845,-0.10139104083525652
200.0,2.9723009728,0.95,0.01,0.04,0.02783128980620844,0.00018572220857822683,0.95748941163688,0.0010935882796090225,0.04141700008351111,0.7784622309095249,0.21399279291765716,0.007544976172817929,0.02664816530164201,3.0435972338471613e-05,0.0011526885322279568,0.00014457772481925055,3.9743214120490424e-05,1.401269638485843e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,20.28804167866061,-0.12236445182761102
200.0,3.1837738839,0.95,0.01,0.04,0.027829134587466397,0.000198962710538856,0.9574446309160868,0.001443372595792063,0.041111996488121236,0.7292222588157522,0.26375507419369554,0.007022666990552161,0.02664485549381087,4.016781022815806e-05,0.0011441112834273718,0.00014508803719924925,5.247742447995473e-05,1.3972488596520085e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,20.243773878892267,-0.1435362319771123
200.0,3.395246795,0.95,0.01,0.04,0.02782714335444762,0.00021222251513589876,0.9572844410282784,0.001793512877950104,0.04092204609377142,0.6859960965961992,0.30742084877118075,0.006583054632620026,0.02663849137147616,4.990833996276546e-05,0.0011387436430086906,0.00014558381699305434,6.524162573143275e-05,1.397072411411652e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,20.200875033928504,-0.16466611037603585
200.0,3.6067197061,0.95,0.01,0.04,0.02782523457482626,0.00022550170995933516,0.9570660061552433,0.0021438352029325095,0.04079015864182413,0.6477724865272182,0.3460242122472839,0.0062033012254977885,0.026630586124861758,5.9652717411367337e-05,0.001134995732553133,0.0001460738033764981,7.802905154909444e-05,1.3988550337425907e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,20.158673862672913,-0.1856731649149097
200.0,3.8181926172,0.95,0.01,0.04,0.02782337287065391,0.00023880027350881757,0.9568141074408953,0.0024942663256108492,0.040691626233493775,0.6137419652444427,0.38038794539715526,0.0058700893584021025,0.026621795679229943,6.939890201618652e-05,0.0011321782894077796,0.0001465617491642121,9.083674540029784e-05,1.4017789443076215e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,20.116879511011106,-0.20652317153912847
200.0,4.0296655283,0.95,0.01,0.04,0.02782154041917678,0.00025211816187645876,0.9565412181832289,0.0028447706344527203,0.04061401118231844,0.5832563210718819,0.41116918096745114,0.005574497960666924,0.026612450164293297,7.914590118971353e-05,0.0011299443536937701,0.00014704951157146852,0.00010366321812576281,1.4054321792274128e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,63.65845399182276,86.02971371321541,3.87,20.075345694084206,-0.22720150864568467
