Complexity,Loss,Equation
1,22.65133024171489,"8.143352743115653"
3,14.746862527112656,"2096.743282339462 / temperature"
5,0.862100653505903,"(temperature * -0.16928468669184682) + 50.131188226815055"
6,0.8382726602222784,"(safesqrt(temperature) * -5.31706256226589) + 91.75140957471854"
7,0.7698704891096351,"((10110.46309863278 - pressure) / temperature) + -32.928582673965366"
9,0.271214942217256,"(9742.160882893428 / temperature) + ((pressure * -0.03221782948020603) + -29.98071785494898)"
10,0.1909173342714383,"((9541.36229540376 / temperature) + (safesqrt(pressure) * -0.476012047083182)) + -27.526530121595577"
11,0.16732004825766195,"((safesqrt(safesqrt(pressure)) * -2.4134547487068208) + -24.173231964917733) + (9451.539792727584 / temperature)"
12,0.14575522711980174,"(safesqrt(pressure) * (-0.4717989081582401 - z_argon)) + ((9505.40658503689 / temperature) + -27.24167031235143)"
14,0.0920888513678829,"(((9937.73367646514 / temperature) / (1.083604779958279 - z_hydrogen)) + -26.192815730163606) + (safesqrt(pressure) * -0.5768088912638987)"
15,0.08255679377484272,"(((safesqrt(safesqrt(pressure)) * -2.689162450271717) + (9407.373878601413 / temperature)) + -22.66185948654618) - (z_argon * 24.154403958252555)"
16,0.06762993617024034,"(((7890.029755205632 / temperature) + -22.107655012909568) / (z_argon + (0.8377698168974039 - z_hydrogen))) + (safesqrt(pressure) * -0.5660905809022821)"
18,0.06678383477466888,"(((9750.642400305389 / temperature) + -27.347985933093423) / ((z_argon - z_hydrogen) + 1.0338904670285993)) + ((-0.5419663185389563 - z_argon) * safesqrt(pressure))"
20,0.06496611792388249,"(safesqrt(pressure) * (-0.536601317473446 - z_argon)) + ((((9356.461943580276 / temperature) + -28.17855084950222) / (z_argon + (0.9909849233265975 - z_hydrogen))) - -1.9034479039734895)"
