target_N,u_t_absolute,u_t_over_sigma_f2,U_at_step_N,U_at_step_N_plus_1
10,0.0026037247069446087,7.1085336782053676e-06,0.003053694570951393,0.002220059076648795
20,6.955428480434324e-05,1.8989295399641502e-07,8.086676706398066e-05,5.982430991480214e-05
30,1.0119868733028159e-05,2.7628661169853293e-08,1.1170591164955113e-05,9.167978817004041e-06
40,3.4407805318875905e-06,9.393813495336107e-09,3.700240540638333e-06,3.1995137987905764e-06
50,1.4562448369707384e-06,3.975752674508611e-09,1.5330038536376378e-06,1.3833292200615688e-06
60,6.875323881178034e-07,1.877059860728334e-09,6.963689429539954e-07,6.788079645048128e-07
70,4.5571878379178494e-07,1.2441762040873126e-09,4.603926981872064e-07,4.5109231905371416e-07
80,3.192266513312632e-07,8.715335365204115e-10,3.2051934795163106e-07,3.179391683261201e-07
90,1.964435805363635e-07,5.363185302906509e-10,1.9667925243993523e-07,1.962081910278357e-07
100,1.5595034121629575e-07,4.257663069013696e-10,1.59549301770312e-07,1.524325625723577e-07
120,9.369255948459849e-08,2.557938297843624e-10,9.497603059571702e-08,9.24264327295532e-08
150,5.172295018982504e-08,1.4121090927157373e-10,5.1788845212286105e-08,5.165713901078561e-08
