temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_nitrogen,E_methane,E_oxygen,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.4414001722342604,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.029175432268573855,11.234201228023618,2.417227893301248,1222.1690325500772,6.655003076043828,0.9997510167249108,5.962882260513113e-06,6.072290352093485e-05,2.819287666387617e-06,0.0001761682794250389,2.45706306385678e-07,3.0642159098106747e-06,0.9805141966808358,0.005766025796420454,0.0065866275869145285,0.0007705168497073097,0.005641908408532845,2.3432216333395193e-05,0.0006972924612557249,19.893874304125976,0.6049627124701218,1.0000000003229719,2.033118118964582,4.6231881176597005,6.157625270022495,3.7412370086091786,3.998904385932449,6.790507670077456,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.740726346148368,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.03275246589565449,11.234201228023618,2.417227893301248,1221.1601410931282,7.04768071730566,0.9984555890208304,4.812272721480356e-05,0.0004397608445063064,2.1936705008112905e-05,0.001009229116508596,1.7522765708354558e-06,2.360930936096583e-05,0.8768893613963066,0.041418554800943176,0.04254853125293615,0.005341718024972726,0.028865308684700546,0.00014906664770210947,0.004787459192438835,19.79315382004187,0.6080893788815629,1.0000000003178622,2.023314372374642,4.590927086338018,6.109811946384708,3.7127016796105656,3.9723603489800063,6.737251884234299,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.040052520062476,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.03632949952273513,11.234201228023618,2.417227893301248,1220.4667598514673,7.419151190275885,0.9974529229161702,9.976657970223765e-05,0.00081025040355492,4.357415533156257e-05,0.001543920646794281,3.181048072018314e-06,4.6384250374829446e-05,0.7936098312507184,0.07738904648853606,0.07078460450798532,0.009572008723208741,0.03991402715849791,0.000244353704714289,0.008486128166339287,19.71058550475368,0.6107518132312499,1.0000000003117129,2.0152760606867592,4.565678613694973,6.070597929268034,3.6902669127194043,3.951481857701467,6.693546218574748,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.3393786939765833,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.039906533149815765,11.234201228023618,2.417227893301248,1219.9676214174488,7.761656417704087,0.9966511157131014,0.00016006761348316893,0.001150796608241668,6.666243132134089e-05,0.0018967550919851825,4.457718531651119e-06,7.014482333565081e-05,0.7251887175855276,0.11303347595955794,0.09167219295484434,0.013343181777752193,0.0447555450286831,0.00031224635656815935,0.0116946403370667,19.6408267059249,0.6130227060997442,1.000000000311446,2.0084878015019307,4.5451034308955505,6.0377194712527,3.6720187593898888,3.9344814637253207,6.656507483858339,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.638704867890691,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.0434835667768964,11.234201228023618,2.417227893301248,1219.5894433069361,8.072556946961406,0.995991384465222,0.00022819545464942322,0.0014525201464420051,9.030435458989195e-05,0.0021381191085258515,5.560649367329006e-06,9.391582120349454e-05,0.6679559155965393,0.14791165956418711,0.10636456560377869,0.01660575152810914,0.046417837834028884,0.00035806389831892927,0.014386205975037872,19.580466329847578,0.615061745988676,1.0000000003118332,2.0026138415305894,4.527854951546745,6.00918986945083,3.656755944579514,3.920237299691579,6.624299717120872,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.938031041804799,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.04706060040397704,11.234201228023618,2.417227893301248,1219.2893817807837,8.352447649603892,0.9954361927916521,0.00030330837968600634,0.0017141573029613986,0.00011379349572034726,0.0023090596180234614,6.49631671755631e-06,0.00011699209523922127,0.6193625158717952,0.1817068437513212,0.1161744457959578,0.01935647846971514,0.0464332846173354,0.0003871688038198937,0.01657926269005532,19.52728468596933,0.6168693463179601,1.0000000003132885,1.9974801716858854,4.513081200918231,5.983910947135922,3.6437178276462863,3.9080405921671293,6.595741107064351,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.237357215718906,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.05063763403105767,11.234201228023618,2.417227893301248,1219.0418553262534,8.603688051863596,0.9949603287284646,0.0003845605665161922,0.0019383818365927286,0.00013660976353837718,0.0024339273745619156,7.283305341719593e-06,0.00013890842498453395,0.5775817337735576,0.21418682906174522,0.12229105934271267,0.021621674582497856,0.04559670591483309,0.00040408151341982877,0.018317915811233532,19.479748189740604,0.6185376710152397,1.0000000003154161,1.9929513998101946,4.500210689250257,5.961164776506373,3.632393294685764,3.8974167973992437,6.5700246813436785,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.536683389633014,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.05421466765813831,11.234201228023618,2.417227893301248,1218.831004939389,8.829417638769543,0.9945459414523816,0.000471133574108545,0.0021295363485623626,0.00015840300834701115,0.002527644035127214,7.943637098574014e-06,0.00015939794437456092,0.5412694493354852,0.2451926403206741,0.12568939533238652,0.023445283048931405,0.044332291176479126,0.00041231492068945506,0.019658625865354464,19.436730777500085,0.6200739014696438,1.0000000003179332,1.9888426912360093,4.488836474821217,5.940431469373978,3.622417700562703,3.8880286529103407,6.5465664893891935,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.836009563547122,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.05779170128521895,11.234201228023618,2.417227893301248,1218.6466040296175,9.032948516382818,0.9941798972163868,0.0005622687328039848,0.002292356194249667,0.00017896565649161753,0.002599668808033989,8.49855716929685e-06,0.00017834483486473676,0.5094143585854009,0.27463185814408053,0.12712666870877307,0.02487982768154849,0.042871686463539144,0.00041448248239453456,0.020661117934263402,19.397372007315933,0.6214884194674127,1.0000000003206482,1.9850720895295249,4.478655900154337,5.921318807122592,3.613519399514394,3.879625761050786,6.524926254635458,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.135335737461229,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,308.49,83.68,0.6483192323900289,0.061368734912299584,11.234201228023618,2.417227893301248,1218.4818147349854,9.217428258654794,0.9938522943950141,0.0006572878756798272,0.0024313234167597864,0.0001982001056592426,0.002656188724236588,8.966792381822693e-06,0.0001957386902685875,0.48124078326720937,0.3024690234084988,0.12717220266328053,0.025979804989269766,0.04134310658803665,0.0004124799594342192,0.021382599124270776,19.360999506856018,0.6228303177712228,1.0000000003234328,1.9815758458428916,4.469437638843768,5.903523433204679,3.6054905018125902,3.8720170145797135,6.504763643726605,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
