T,P,z_carbon dioxide,z_argon,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_argon,x_carbon monoxide,y_carbon dioxide,y_argon,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_carbon monoxide,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_argon,parachor_carbon monoxide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.5211205743,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.027774239674997515,0.00015776135845174306,0.9997409340765054,6.933493010250776e-05,0.00018973099339198208,0.9508753813842056,0.007287919494815055,0.04183669912097954,0.027767044315946753,1.9257249665162507e-06,5.26963408424428e-06,0.00015001139188549153,1.149752079788964e-06,6.600214486462577e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.88751526742191,-0.013498801446690578
200.0,3.2394029792,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.027768589264273873,0.00020269305966121758,0.9983035773500997,0.00044290837338201947,0.0012535142765183395,0.7480286296763924,0.036360815117040514,0.21561055520656697,0.02772148200049018,1.229894070215295e-05,3.480832308154119e-05,0.00015162021166329585,7.370084867848795e-06,4.3702763130072924e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.747653620115287,-0.08728362870857254
200.0,3.9576853841,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.02776288559030817,0.0002478597338277592,0.9968766257235188,0.0007958072167951035,0.0023275670596861575,0.6183646536923306,0.05359723675858933,0.32803810954907997,0.02767617170761451,2.209390471182403e-05,6.461997798183678e-05,0.00015326769847267557,1.3284596836887343e-05,8.130743851819628e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.608056184235235,-0.15867942117158407
200.0,4.675967789,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.02775713017385092,0.000293254780946852,0.9954590987442729,0.001129512423277281,0.003411388832449947,0.5283902415690308,0.06449347299992558,0.4071162854310435,0.027631087786589098,3.135202336588929e-05,9.469036389593449e-05,0.00015495296454578035,1.891301929709489e-05,0.00011938879710397674,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.468727741566997,-0.22775384257832698
200.0,5.3942501939,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.027751325118024174,0.00033887592958190764,0.9940502195800596,0.0014453522183060956,0.004504428201634355,0.46233379073654995,0.0716322143550555,0.46603399490839453,0.027586210827209554,4.0110439320269915e-05,0.0001250038514943519,0.00015667379311297552,2.42744332275799e-05,0.0001579277032413522,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.329669534469815,-0.29455614269824437
200.0,6.1125325987,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.027745472663144866,0.0003847227883244175,0.9926493232959978,0.0017445400131453545,0.005606136690856865,0.4117989005836473,0.07638420971606989,0.5118168897002828,0.027541524663598355,4.840308724448682e-05,0.00015554491230202256,0.0001584284212614704,2.9386746145923472e-05,0.00019690762091702365,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.190880944892406,-0.35912782600603066
200.0,6.8308150036,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.027739575022712057,0.0004307959023505806,0.9912558197802297,0.0020281923454682515,0.006715987874302092,0.3719061719100008,0.07954261079315814,0.548551217296841,0.027497015179493624,5.6261193727606896e-05,0.00018629864949082736,0.00016021565491771894,3.426663079195959e-05,0.000236313616640902,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.05236045108867,-0.42150802004197274
200.0,7.5490974085,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.02773363432470779,0.00047709633470113756,0.9898691769030707,0.0022973396304169255,0.007833483466512369,0.33962689487925185,0.08159687302706438,0.5787762320936838,0.02745266978152925,6.371357722964234e-05,0.0002172509659488984,0.00016203474671281962,3.892956904428653e-05,0.0002761320189440314,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,18.914106172302002,-0.4817354235435758
200.0,8.2673798134,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.027727652584566317,0.0005236254600109312,0.9884889102181731,0.002552934213616543,0.008958155568210339,0.3129818644890553,0.08286442333440958,0.6041537121765351,0.02740847708622607,7.078687294641251e-05,0.00024838862539383453,0.0001638852727681605,4.338992178702075e-05,0.0003163502654557499,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,18.776116137034165,-0.5398488555154408
200.0,8.9856622182,0.9600000000000001,0.005940000000000001,0.03406000000000001,0.027721631698072843,0.00057038485443684,0.9871145766160438,0.0027958569264167486,0.010089566457539476,0.29062314729768707,0.083559378861908,0.625817473840405,0.027364426736749076,7.750571599463105e-05,0.00027969924532913885,0.00016576704156736756,4.7661004148982166e-05,0.00035695680872049033,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,18.638388438636152,-0.5958871301166475
