T,P,z_carbon dioxide,z_argon,z_oxygen,rho_l,rho_v,x_carbon dioxide,x_argon,x_oxygen,y_carbon dioxide,y_argon,y_oxygen,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_oxygen,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_oxygen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_argon,parachor_oxygen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4937073507,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027775073822001815,0.000156049908357765,0.9996223649999773,0.00031108471467733076,6.65502853454502e-05,0.9607374445880962,0.03304678461941991,0.00621577079248393,0.02776458498199841,8.640400915059233e-06,1.8484390883451647e-06,0.00014992299018384573,5.156947711379274e-06,9.699704625399895e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.89109165309533,-0.011049503939400296
200.0,2.7628352449,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027774606907648082,0.00017285124557762252,0.99862046580105,0.0011373135043372658,0.0002422206946127799,0.8703846374372103,0.10917126768642074,0.020444094876368994,0.027736290887556588,3.158843551372727e-05,6.727584577767433e-06,0.00015044706871264918,1.887038960088588e-05,3.5337872640874713e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.83395571397987,-0.04013534791237561
200.0,3.0319631391,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027774131739738195,0.00018968945776722708,0.9976183610203814,0.0019650033237834734,0.0004166356558351275,0.7959099148538286,0.17201777316921,0.032072311976961476,0.02770798378496177,5.457626118378562e-05,1.1571693592637054e-05,0.00015097572018018263,3.2629958118793304e-05,6.083779468251165e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.776838471196797,-0.06889421181152855
200.0,3.3010910332,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027773648198954157,0.00020656362417879396,0.9966159817145772,0.0027942033493189027,0.0005898149361039365,0.7334757005722587,0.2247947129310367,0.041729586496704496,0.027679661665595996,7.760522082032261e-05,1.6381312537839357e-05,0.00015150939895728567,4.643441059926654e-05,8.619814622241743e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.719740089499627,-0.09733562286712072
200.0,3.5702189274,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02777315619205175,0.00022347311906698822,0.9956132778954331,0.003624947088236915,0.0007617750163299248,0.6803870768269322,0.26975519714477925,0.04985772602828861,0.027651323073870488,0.00010067622166952704,2.1156896511733776e-05,0.0001520482222313851,6.0283035290474135e-05,1.1141861545129018e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.662660893214102,-0.12546306031173415
200.0,3.8393468216,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02777265564336653,0.00024041751435608446,0.9946102123873639,0.0044572574560725895,0.0009325301565633794,0.6346965035561344,0.30852749684544095,0.05677599959842465,0.027622966928009907,0.00012378987644133193,2.5898838915289414e-05,0.00015259215575546355,7.41754139020856e-05,1.3649944698535303e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.605601257743437,-0.15328218440207664
200.0,4.1084747158,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02777214648799858,0.00025739651833684536,0.9936067559969881,0.005291150778695133,0.001102093224316775,0.594961794182519,0.3423173835122863,0.06272082230519456,0.027594592379013416,0.000146946614516009,3.060749446915615e-05,0.00015314109436602316,8.811130268224113e-05,1.614412128858103e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.548561545424686,-0.18079253054826694
200.0,4.37760261,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027771628669880064,0.00027440993665924857,0.9926028860300045,0.006126638014246116,0.0012704759557493849,0.5600923708214701,0.3720366648791144,0.06787096429941536,0.027566198767476565,0.00017014671592641449,3.5283186477082894e-05,0.000153694912000448,0.00010209055764439588,1.862446701440469e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.491542106921525,-0.2079980176859273
200.0,4.6467305042,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027771102138546513,0.0002914576457776275,0.9915985840183309,0.006963726639759781,0.0014376893419093273,0.5292483494925575,0.39838755420640926,0.07236409630103324,0.027537785557211165,0.00019339036377768616,3.992621755766365e-05,0.00015425347797479584,0.00011611309865610701,2.109106914672467e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.434543263631582,-0.2349008430209949
200.0,4.9158583984,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027770566847747747,0.0003085395749704608,0.9905938347098869,0.007802421488993629,0.0016037438011194144,0.501772480649196,0.42191957119020645,0.07630794816059767,0.0275093523057777,0.00021667766753440107,4.453687443564777e-05,0.0001548166679113767,0.00013017888516674537,2.3544021892338765e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.37756530957097,-0.2615030030261529
200.0,5.1849862925,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02777002275434132,0.00032565569368992077,0.989588625272519,0.008642725413959612,0.0017686493135214449,0.4771431025626094,0.4430688753922454,0.07978802204514521,0.0274808986412552,0.00024000868140518244,4.911543168094068e-05,0.00015538436805438756,0.00014428790196827472,2.5983423667258453e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.32060851319363,-0.2878063505560142
200.0,5.4541141867,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027769469817504656,0.0003428060024855466,0.9885829447278167,0.009484639756169847,0.0019324155160134998,0.4549409159049973,0.4621860445565985,0.08287303953840419,0.02745242424571898,0.00026338341743886327,5.366215434681457e-05,0.00015595647674850537,0.00015844015033905428,2.840937539798699e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.263673120124917,-0.31381266286742715
200.0,5.7232420809,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027768907998159675,0.00035999052638117706,0.9875767835380493,0.010328164691058688,0.002095051770891988,0.43482506623655176,0.4795560710788416,0.0856188626846067,0.027423928843186545,0.00028680185509584997,5.817729987728112e-05,0.00015653290447822644,0.00017263564245696133,3.082197944598928e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.206759355998194,-0.3395236462764082
200.0,5.9923699751,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027768337258548083,0.0003772093099501733,0.9865701333016239,0.011173299482415022,0.0022565672159610473,0.4165156296129466,0.49541300513620057,0.08807136525085274,0.02739541219073023,0.00031026394831846105,6.266111949938927e-05,0.00015711357322976155,0.0001868743978077679,3.322133891264383e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.14986742917172,-0.36494096625985506
200.0,6.2614978693,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027767757561910685,0.0003944624136063594,0.9855629865233266,0.012020042674745168,0.0024169708019282543,0.3997805877475513,0.5099508443030264,0.09026856794942234,0.027366874071772383,0.0003337696308761443,6.711385926216062e-05,0.00015769841555586804,0.00020115644086437257,3.560755718611879e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.092997533136135,-0.3900662644692581
200.0,6.5306257635,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027767168872242804,0.0004117499107646021,0.9845553364396099,0.012868392239880705,0.0025762713205093445,0.3844260057325843,0.5233317456397494,0.09224224862766629,0.027338314290986477,0.00035731882043902636,7.153576081729893e-05,0.000158287373555984,0.00021548179956745026,3.798073764116784e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,19.036149848636388,-0.41490117148536143
200.0,6.7997536577,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.027766571154642712,0.0004290718856527722,0.9835471772149212,0.013718345410102946,0.0027344773749756633,0.3702885303233601,0.535692297576733,0.09401917209990696,0.027309732680086095,0.0003809114139535897,7.592706060302238e-05,0.00015888039794143786,0.0002298505042509148,4.034098346041959e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,18.979324553826952,-0.43944741083227257
200.0,7.0688815518,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02776596437314273,0.00044642843156876463,0.9825385025886829,0.014569899822586638,0.0028915975887304915,0.35722959280772254,0.5471483669999406,0.09562204019233674,0.027281129058118376,0.0004045473193941992,8.028799563015625e-05,0.00015947744682710002,0.00024426258731519434,4.268839742647026e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,18.92252179444249,-0.46370641955392244
200.0,7.338009446,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02776534849343834,0.00046381964955744817,0.9815293075522223,0.01542305210100077,0.003047640346776813,0.3451308831830071,0.5577988827857956,0.0970702340311973,0.027252503280710674,0.00042822641641674275,8.461879631092148e-05,0.00016007848528939493,0.0002587180823372438,4.502308193080941e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,18.86574172940672,-0.48767992232244595
200.0,7.6071373402,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02776472348100607,0.00048124564730478756,0.9805195871752947,0.016277798847939992,0.003202613976765351,0.3338907795647053,0.567728821319154,0.09838039911614073,0.027223855205632284,0.00045194858389249303,8.891969148129516e-05,0.00016068348434071674,0.00027321702410932036,4.7345138854750494e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,18.808984504112146,-0.5113695569001209
200.0,7.8762652344,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02776408930144941,0.0004987065382651596,0.9795093368142426,0.017134136469175196,0.003356526716582279,0.32342150734234193,0.5770115815950497,0.09956691106260822,0.02719518469891412,0.0004757136950334012,9.319090750189117e-05,0.00016129242032719923,0.0002877594483961719,4.965466954178837e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,55.44611770258769,3.87,18.752250257972417,-0.5347769669932667
