T,P,z_carbon dioxide,z_hydrogen,z_nitrogen,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_nitrogen,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_nitrogen,rhoL4_oxygen,rhoL5_carbon monoxide,rhoL6_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_nitrogen,rhoV4_oxygen,rhoV5_carbon monoxide,rhoV6_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4618093525,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.027799021321231597,0.00015396667980350817,0.9835788663754919,1.7450582912881473e-06,4.124804540002547e-05,2.4880565687281196e-05,0.00010433925391373504,0.016248920701216012,0.9570249905361481,0.0016935435767576653,0.01138152789080288,0.0023843468963147076,0.02396305222455796,0.003552538875418715,0.027342529877485103,4.851091264631119e-08,1.146655293534437e-06,6.916553760250332e-07,2.9005291441893176e-06,0.0004517040930201054,0.00014734996028183456,2.607492816159354e-07,1.7523760604379448e-06,3.671099751253751e-07,3.68951158897326e-06,5.469726155211083e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.09081685911892,-0.03086176632277926,-0.0343222605672473
200.0,3.2655422764,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.02777768522299447,0.0002041904665558441,0.992911345440921,1.5879532202986845e-05,0.00036728723555933034,0.00020837433046633804,0.0009227407530243126,0.005574372707826003,0.7382502265019517,0.011530644983692964,0.07576210206215542,0.015000134602612627,0.15852034000236526,0.0009365518472219547,0.02758077880799783,4.410966470229725e-07,1.0202389215790899e-05,5.788156560246165e-06,2.5631602179938237e-05,0.00015484317039364203,0.0001507436581843911,2.3544477789100697e-06,1.5469898967322993e-05,3.062884482907933e-06,3.2368342183674e-05,1.9123495863798854e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.875462522520433,-0.1470761777455465,-0.1772188744672505
200.0,4.0692752004,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.027771874118564174,0.00025461891405486036,0.9917763922366546,3.133809991471132e-05,0.0007054481929926987,0.00037797253458159873,0.0017602515859553938,0.00534859734990095,0.5991633551098774,0.018226803996336624,0.11691569110857257,0.02190158317176526,0.24305994923744514,0.000732617376002895,0.0275434891189601,8.703177659463495e-07,1.9591618412961792e-05,1.0497005650674804e-05,4.888548546215614e-05,0.00014854057231233512,0.00015255832281954365,4.6408890402380204e-06,2.976894630603824e-05,5.576557323277075e-06,6.188766032506776e-05,1.8653824069557845e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.78107628412103,-0.273463359352224,-0.33049813523279425
200.0,4.8730081244,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.02776627390428126,0.000305295547062396,0.9905092191049287,4.7862733453630265e-05,0.001047536550384392,0.0005313774992168045,0.002595982283233455,0.005268021828782992,0.5057110172582254,0.023186204165129627,0.14506796420423826,0.025774938442029896,0.2996480354088653,0.0006118405215112602,0.02750275028238319,1.3289697668811037e-06,2.9086186782718956e-05,1.4754373189825793e-05,7.208075512692156e-05,0.00014627333703172123,0.00015439132166933072,7.0786448848936545e-06,4.4288603492961e-05,7.868973932159098e-06,9.148121089632174e-05,1.8679218672972183e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.68939020102579,-0.3976208245585333,-0.481116959600854
200.0,5.6767410483,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.02776072914607782,0.00035621521432238406,0.9892175482691377,6.553617056223232e-05,0.0013931879627913227,0.0006706250162589949,0.0034289211225012302,0.00522418145874867,0.4386554961114536,0.027171287501737678,0.16566763157175357,0.027981981124716355,0.3399948831246325,0.0005287205657063282,0.027461400424046694,1.8193318802492902e-06,3.8675913684625854e-05,1.8617039434949994e-05,9.518935054502177e-05,0.00014502708648628354,0.00015625576156103315,9.678826000846602e-06,5.901333088661396e-05,9.967607403505742e-06,0.00012111135016075488,1.8833830962973187e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.599104059891115,-0.5194035024606478,-0.6289495062128907
200.0,6.4804739723,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.027755213823349188,0.0004073746028502653,0.9879226016139212,8.445233908849093e-05,0.0017421012929260981,0.0007974543387920137,0.004258266117546518,0.005195124297725722,0.3882228339733343,0.03057238516763063,0.18148275294974126,0.029202054192591843,0.3700525066775445,0.0004674670391575239,0.0274200030487138,2.3439927292830565e-06,4.835239388709693e-05,2.2133515687529886e-05,0.00011818908660922659,0.00014419178572225422,0.00015815212280729154,1.245441326584887e-05,7.393146440707366e-05,1.1896175229119027e-05,0.00015074999294150985,1.9043419942238571e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.509925674240968,-0.638774794329418,-0.7739779554755621
200.0,7.2842068962,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.02774972366548996,0.00045877122436371735,0.9866311736330221,0.00010471568507098895,0.002093985815096526,0.0009133401304951866,0.005083285931072071,0.005173498805243147,0.3489308488201028,0.033611465122106346,0.19406646964898194,0.029807575184701982,0.3931633220692556,0.00042031915485140584,0.027378742428074407,2.905831324162416e-06,5.8107527728384346e-05,2.5344936233843967e-05,0.0001410597798999228,0.0001435631622292398,0.0001600794327314697,1.541997300672711e-05,8.903211188880764e-05,1.3674857762799287e-05,0.00018037201864061893,1.9283033329470235e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.42174228151778,-0.7557203492097493,-0.9162030977184195
200.0,8.0879398202,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.02774426063365157,0.0005104028585074322,0.9853460329421492,0.00012644223208482919,0.0024485507002881732,0.00101953705851074,0.005903290844262407,0.005156146222704534,0.3174681120387231,0.03642563035590214,0.20435709863755305,0.03001716769643537,0.4113491191494278,0.0003828721219586495,0.027337697152281612,3.5080462420621616e-06,6.793322880350514e-05,2.8286301876988437e-05,0.00016378243977946522,0.00014305346466793263,0.00016203663186952202,1.859174585658755e-05,0.00010430444730089235,1.5320848196557565e-05,0.00020995376625838227,1.954190254905009e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.334499200641304,-0.8702365090268422,-1.055632980844603
200.0,8.8916727442,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.027738829089992756,0.0005622672502032759,0.984068520293598,0.000149760905021678,0.0028054992345146407,0.0011171173827615698,0.006717617373349398,0.005141484810754621,0.29171674681965465,0.03910561808604584,0.21295453828634178,0.029965902025991354,0.4259047893402951,0.00035240544167120257,0.027296908497266185,4.154192148758963e-06,7.782126377830713e-05,3.0987528153883204e-05,0.000186338840211305,0.0001426187684343162,0.00016402277307253247,2.1987808348740488e-05,0.00011973736266056963,1.6848845332014933e-05,0.00023947231475077323,1.9814603864513802e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.248168579774024,-0.9823250002962389,-1.1922780331756542
200.0,9.6954056681,0.9600000000000001,0.0015040000000000001,0.010111000000000002,0.0021200000000000004,0.021290000000000003,0.004975000000000001,0.027733434584721314,0.0006143619217948687,0.9827994085531487,0.00017481500024660703,0.003164523762023914,0.001207001471267122,0.007525615928288995,0.005128635285024565,0.2702592849871304,0.04171526293592686,0.2202597622379493,0.02974055237292294,0.43769799976026214,0.0003271377058084404,0.027256403107011547,4.848220373767317e-06,8.776311274588642e-05,3.347429634704911e-05,0.00020871117705693963,0.00014223467118612234,0.00016603701370760058,2.5628269105494283e-05,0.0001353192108225874,1.827146291106988e-05,0.00026890498429848466,2.0098094963203785e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.162738559166705,-1.0919909600233275,-1.3261494508867564
