T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_methane,rhoL6_oxygen,rhoL7_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_methane,rhoV6_oxygen,rhoV7_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,parachor_nitrogen,parachor_methane,parachor_oxygen,parachor_carbon monoxide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4414001722,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.02777402571292555,0.00015278096645668615,0.9997510167249108,5.962882260513113e-06,6.072290352093485e-05,2.819287666387617e-06,0.0001761682794250389,2.45706306385678e-07,3.0642159098106747e-06,0.9805141966808358,0.005766025796420454,0.0065866275869145285,0.0007705168497073097,0.005641908408532845,2.3432216333395193e-05,0.0006972924612557249,0.027767110445041134,1.656132452266388e-07,1.6865194837539418e-06,7.830296813838354e-08,4.892902322552883e-06,6.8242532713837844e-09,8.510561146903724e-08,0.00014980390659339934,8.809389937913004e-07,1.0063113284190723e-06,1.1772030896944396e-07,8.619762193157521e-07,3.579996657638264e-09,1.0653301613361103e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.9009256279983,-0.007051323872325099
200.0,2.7407263461,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.02776830110791362,0.00017136672189837674,0.9984555890208304,4.812272721480356e-05,0.0004397608445063064,2.1936705008112905e-05,0.001009229116508596,1.7522765708354558e-06,2.360930936096583e-05,0.8768893613963066,0.041418554800943176,0.04254853125293615,0.005341718024972726,0.028865308684700546,0.00014906664770210947,0.004787459192438835,0.027725415438809672,1.3362863794346546e-06,1.2211411545721498e-05,6.091450299807558e-07,2.8024577994084328e-05,4.865774344330127e-08,6.555904112851829e-07,0.00015026965533004605,7.097761962005906e-06,7.2914023224063005e-06,9.153927072450473e-07,4.9465533258818775e-06,2.5545062761090696e-08,8.204111880304931e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.8361480863074,-0.04299426626553071
200.0,3.0400525201,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.027764753831999375,0.00018992247019045648,0.9974529229161702,9.976657970223765e-05,0.00081025040355492,4.357415533156257e-05,0.001543920646794281,3.181048072018314e-06,4.6384250374829446e-05,0.7936098312507184,0.07738904648853606,0.07078460450798532,0.009572008723208741,0.03991402715849791,0.000244353704714289,0.008486128166339287,0.027694034863775713,2.769994526093174e-06,2.2496402996980506e-05,1.2098256962181378e-06,4.2866576694384466e-05,8.832101664734471e-08,1.2878472933389643e-06,0.00015072433951856775,1.469791887478684e-05,1.3443586939611093e-05,1.8179395413964014e-06,7.580570633190889e-06,4.6408259199527155e-08,1.6117064237039664e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.780222182665636,-0.06963667791195505
200.0,3.339378694,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.027762586972691433,0.00020845306813255376,0.9966511157131014,0.00016006761348316893,0.001150796608241668,6.666243132134089e-05,0.0018967550919851825,4.457718531651119e-06,7.014482333565081e-05,0.7251887175855276,0.11303347595955794,0.09167219295484434,0.013343181777752193,0.0447555450286831,0.00031224635656815935,0.0116946403370667,0.027669613281414932,4.443891040837633e-06,3.1949090924187615e-05,1.8507215473697958e-06,5.265882820713397e-05,1.2375779843474254e-07,1.9474017585400813e-06,0.00015116781315581526,2.3562174865457108e-05,1.9109349883876784e-05,2.7814271802228278e-06,9.329430677173656e-06,6.50887110398442e-08,2.4377836589682764e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.73062073221597,-0.08979402629107014
200.0,3.6387048679,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.027761314549082844,0.0002269617207894582,0.995991384465222,0.00022819545464942322,0.0014525201464420051,9.030435458989195e-05,0.0021381191085258515,5.560649367329006e-06,9.391582120349454e-05,0.6679559155965393,0.14791165956418711,0.10636456560377869,0.01660575152810914,0.046417837834028884,0.00035806389831892927,0.014386205975037872,0.02765003011231553,6.3350057951936075e-06,4.032386867425638e-05,2.5069675929219035e-06,5.935699711519076e-05,1.5437093618357904e-07,2.607226653565636e-06,0.00015160042401528867,3.357028477951243e-05,2.4140684840456828e-05,3.768869941821826e-06,1.0535072350137213e-05,8.126679851504577e-08,3.2651180637261807e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.685704511485817,-0.10523818163823861
200.0,3.9380310418,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.027760647832709984,0.00024545068616407085,0.9954361927916521,0.00030330837968600634,0.0017141573029613986,0.00011379349572034726,0.0023090596180234614,6.49631671755631e-06,0.00011699209523922127,0.6193625158717952,0.1817068437513212,0.1161744457959578,0.01935647846971514,0.0464332846173354,0.0003871688038198937,0.01657926269005532,0.027633953588022654,8.420037113173109e-06,4.758611721737934e-05,3.158981160345551e-06,6.410099088068115e-05,1.8034196060582721e-07,3.247776355146888e-06,0.00015202295450503738,4.46000694794694e-05,2.85150974353485e-05,4.751060922111645e-06,1.139708157017657e-05,9.503084855891545e-08,4.0693914033684574e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.644397717637812,-0.11711303166848097
200.0,4.2373572157,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.02776040987010458,0.00026392190773398127,0.9949603287284646,0.0003845605665161922,0.0019383818365927286,0.00013660976353837718,0.0024339273745619156,7.283305341719593e-06,0.00013890842498453395,0.5775817337735576,0.21418682906174522,0.12229105934271267,0.021621674582497856,0.04559670591483309,0.00040408151341982877,0.018317915811233532,0.027620506529996165,1.067555894636911e-05,5.381027426858022e-05,3.7923430280834187e-06,6.756682151190632e-05,2.0218754149525798e-07,3.856154811981338e-06,0.0001524364730498178,5.652859653746794e-05,3.227528968053824e-05,5.706433604216167e-06,1.2033969611428057e-05,1.0664596390179556e-07,4.834499286611213e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.605948228210508,-0.12620003846990357
200.0,4.5366833896,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.02776048692992188,0.00028237725104684867,0.9945459414523816,0.000471133574108545,0.0021295363485623626,0.00015840300834701115,0.002527644035127214,7.943637098574014e-06,0.00015939794437456092,0.5412694493354852,0.2451926403206741,0.12568939533238652,0.023445283048931405,0.044332291176479126,0.00041231492068945506,0.019658625865354464,0.027609079608895692,1.3078897426287645e-05,5.911696597105903e-05,4.397344642877509e-06,7.016862920064403e-05,2.2051923385100647e-07,4.4249645514664134e-06,0.00015284217917899582,6.923682375067066e-05,3.549182593969992e-05,6.620414577372529e-06,1.251843051502264e-05,1.1642835386988775e-07,5.55114873121727e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.56979827530487,-0.13306749780478455
200.0,4.8360095635,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.0277608024140845,0.0003008185222831556,0.9941798972163868,0.0005622687328039848,0.002292356194249667,0.00017896565649161753,0.002599668808033989,8.49855716929685e-06,0.00017834483486473676,0.5094143585854009,0.27463185814408053,0.12712666870877307,0.02487982768154849,0.042871686463539144,0.00041448248239453456,0.020661117934263402,0.02759923169067895,1.5609031194989096e-05,6.36376473712677e-05,4.968230228770714e-06,7.216889212189013e-05,2.3592676638165115e-07,4.950995722252486e-06,0.00015324127457948182,8.261434973877951e-05,3.8242056623753386e-05,7.484312997822966e-06,1.2896597369748609e-05,1.2468400786617794e-07,6.215246965703121e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.535518145010595,-0.13814613769466177
200.0,5.1353357375,0.9899990100009901,0.0029259970740029262,0.0033689966310033693,0.00039199960800039203,0.0029469970530029473,1.1999988000012002e-05,0.00035499964500035504,0.027761302630312252,0.000319247420289696,0.9938522943950141,0.0006572878756798272,0.0024313234167597864,0.0001982001056592426,0.002656188724236588,8.966792381822693e-06,0.0001957386902685875,0.48124078326720937,0.3024690234084988,0.12717220266328053,0.025979804989269766,0.04134310658803665,0.0004124799594342192,0.021382599124270776,0.027590634314530172,1.8247167631982737e-05,6.749670516483323e-05,5.502293114566098e-06,7.373925901675494e-05,2.489298369349582e-07,5.433961017007214e-06,0.0001536348785962493,9.65624554407069e-05,4.059939763281071e-05,8.293985722453746e-06,1.3198680124992637e-05,1.3168316297057292e-07,6.826339609512158e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.502769905399745,-0.14177039854372708
