T,P,z_carbon dioxide,z_methane,z_oxygen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_methane,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_methane,y_oxygen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_methane,rhoL3_oxygen,rhoL4_carbon monoxide,rhoV1_carbon dioxide,rhoV2_methane,rhoV3_oxygen,rhoV4_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4669077164,0.98,0.007685,0.009516,0.002799,0.02777270446096677,0.00015441023408727233,0.9994781253964852,0.0003545208243672432,0.00014893621100133542,1.8417568146154228e-05,0.9705668043756597,0.011235128293987425,0.014052439895968839,0.004145627434384139,0.027758210591837668,9.846002080409752e-06,4.136361371676277e-06,5.115056770128571e-07,0.00014986544746098146,1.734818789875135e-06,2.1698405338338734e-06,6.40127302581873e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.8775015015707,-0.0025891165579778885,-0.01296809629890916
200.0,2.6160804868,0.98,0.007685,0.009516,0.002799,0.027767906264654085,0.00016377754133427115,0.9984664863540775,0.0010202743286382779,0.00045576456330989536,5.7474753974391593e-05,0.9167640132751368,0.030507452306203206,0.04054155173806334,0.012186982680596608,0.027725323801478543,2.8330881921860578e-05,1.2655627672740177e-05,1.5959535809449606e-06,0.00015014535607794102,4.996435531082501e-06,6.639795665536161e-06,1.9959540597114576e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.80970031474627,-0.008222050829331806,-0.038647153894359576
200.0,2.7652532572,0.98,0.007685,0.009516,0.002799,0.0277634696432015,0.00017315463993458152,0.9974950169025701,0.0016315296624788381,0.0007738334496740272,9.96199852769462e-05,0.8687503717146041,0.04617860813060792,0.06510684535608002,0.019964174798707865,0.027693922621019273,4.529692425621401e-05,2.148430148891875e-05,2.7657964370926764e-06,0.00015042815780727612,7.996040263535554e-06,1.1273552364908518e-05,3.456889498861307e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.7449738203696,-0.014465061974263449,-0.06405009732893419
200.0,2.9144260276,0.98,0.007685,0.009516,0.002799,0.027759371844938083,0.00018254128772784934,0.9965617324529842,0.0021915052621824427,0.0011018130010046554,0.00014494928382873524,0.8256429319709117,0.05888494199700734,0.08793709747276914,0.027535028559311867,0.02766392769759809,6.083480947306095e-05,3.0585636798475366e-05,4.023701068459332e-06,0.00015071392400536733,1.0748933139913436e-05,1.6052151011728683e-05,5.0262795708398965e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.6831499803582,-0.02130377320066046,-0.08921319977871178
200.0,3.063598798,0.98,0.007685,0.009516,0.002799,0.027755588427768617,0.00019193731470524495,0.9956644810666103,0.0027036580710841918,0.0014383068583701674,0.00019355400393528273,0.7867291562409928,0.06914558420702019,0.10917985496401057,0.03494540458797656,0.027635253548632655,7.504162067042761e-05,3.992105319375925e-05,5.3722052717744144e-06,0.00015100268164921926,1.3271617756420849e-05,2.0955688181700297e-05,6.707327117904569e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.624046876976266,-0.028719389927971406,-0.11417029071104778
200.0,3.2127715684,0.98,0.007685,0.009516,0.002799,0.02775209419913248,0.00020134260933058523,0.9948010363864537,0.003171548163839678,0.0017818923781140578,0.00024552307159256997,0.7514277681766299,0.0773861839226776,0.12895373355726272,0.04223231434342974,0.02760781207119148,8.80171033999644e-05,4.945124513013752e-05,6.81377941089735e-06,0.00015129442756814076,1.558113619712849e-05,2.5963881197340325e-05,8.503164367975646e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.567479492525084,-0.03668963538067871,-0.13895190710084293
200.0,3.3619443388,0.98,0.007685,0.009516,0.002799,0.027748864004670103,0.0002107571060220936,0.9939691757658328,0.0035987253800558463,0.002131153944192214,0.0003009449099192139,0.7192599194130825,0.0839568997573584,0.14735701424387204,0.049426166585686916,0.027581515483160127,9.986054116132441e-05,5.913710097040605e-05,8.350879378245962e-06,0.00015158913909318555,1.769451322344787e-05,3.1056537874094895e-05,1.0416915831365278e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.513265314669543,-0.045190323334619364,-0.16358541668021687
200.0,3.5111171092,0.98,0.007685,0.009516,0.002799,0.027745873343285044,0.00022018077411628832,0.9931667411494762,0.00398864115326709,0.002484708779975664,0.0003599089172809794,0.6898276306644024,0.08914640280989346,0.16447358666784478,0.05655237985785942,0.02755627860869653,0.00011066833225036308,6.894041510415308e-05,9.985987233996907e-06,0.00015188678172649316,1.9628323980364803e-05,3.6213921634208506e-05,1.2451746775221879e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.461228620536353,-0.05419664728081841,-0.1880952236260498
200.0,3.6602898796,0.98,0.007685,0.009516,0.002799,0.027743098811282074,0.00022961360853442176,0.9923916828281675,0.004344585130130526,0.002841225607617339,0.00042250643408474727,0.6627974517709571,0.09319300755295695,0.18037701020153885,0.06363253047454712,0.02753202051619635,0.00012053225455923796,7.882440277727279e-05,1.172163774921558e-05,0.00015218731462854883,2.1398382754410066e-05,4.141701620902554e-05,1.4610894942437324e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.41120347647341,-0.06368417856239716,-0.2125030323390682
200.0,3.80946265,0.98,0.007685,0.009516,0.002799,0.02774051839553743,0.00023905562218587564,0.9916420881478607,0.004669643754635843,0.0031994369461332962,0.000488831151370288,0.6378879264630237,0.09629365546218832,0.1951332583938482,0.07068515968093984,0.02750866558805488,0.00012953833847608207,8.87540394595728e-05,1.3560429546899215e-05,0.00015249069514547623,2.301953971906577e-05,4.6647702494498623e-05,1.6897684826835046e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.363035624505688,-0.07363052950698545,-0.2368290734914602
200.0,3.9586354204,0.98,0.007685,0.009516,0.002799,0.02773811163355296,0.0002485068397644685,0.9909161957247153,0.004966677834595714,0.00355814721783509,0.0005589792228538235,0.6148598523906129,0.09861123307205039,0.20880257374558162,0.0777263407917551,0.027486144056507768,0.000137766264223909,9.869628473692561e-05,1.5505028084356036e-05,0.0001527968788156388,2.450556589601268e-05,5.1888867736201864e-05,1.9315527316615155e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.316583334688165,-0.08401217107512693,-0.2610887624524665
200.0,4.1078081908,0.98,0.007685,0.009516,0.002799,0.027735859689138068,0.00025796729333844794,0.9902124027349755,0.005238312983324125,0.003916235688414945,0.0006330485932854559,0.5935086683040421,0.10028057695268865,0.22144069804934738,0.08477005669392189,0.027464392264701556,0.0001452891139132682,0.00010862016356347196,1.7558146959771636e-05,0.00015310582473530043,2.5869109010903032e-05,5.712445751076667e-05,2.186790208147781e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.271717734344378,-0.09480984099623768,-0.28529807490243186
200.0,4.2569809612,0.98,0.007685,0.009516,0.002799,0.02773374534388155,0.00026743701875803764,0.9895292617834135,0.005486941720194282,0.004272658208547984,0.0007111382878442316,0.5736584072965994,0.10141340442118806,0.23309972590155778,0.0918284623806548,0.02744335255662029,0.00015217344438458758,0.00011849681469731493,1.9722528179355855e-05,0.00015341749423288667,2.7121698540505726e-05,6.233949576842835e-05,2.455833021621693e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.228322432298103,-0.10600539537866638,-0.30947055634808507
200.0,4.4061537316,0.98,0.007685,0.009516,0.002799,0.027731752945816104,0.00027691605320542465,0.9888654739917967,0.005714732087775437,0.004626446674945398,0.0007933472454824648,0.5551568791799578,0.10210237344845934,0.24382869393541157,0.09891205343617139,0.027422973021387846,0.0001584795384097163,0.00012829947620657817,2.2000909811963435e-05,0.0001537318518923547,2.8273786278253703e-05,6.752007958282764e-05,2.7390335451988643e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.18629287762446,-0.11758254221929576,-0.33361827474876193
200.0,4.555326502,0.98,0.007685,0.009516,0.002799,0.027729868326042798,0.00028640443347170057,0.988219878457291,0.005923640898568609,0.004976707700146697,0.0008797729439937627,0.5378717912951156,0.10242442327105422,0.25367401082093577,0.10602977461289442,0.027403207106798697,0.0001642617821280694,0.00013800344922227118,2.4395987893762067e-05,0.00015404886566628635,2.933480892061195e-05,7.265336135566415e-05,3.0367397529138126e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.145535482248523,-0.12952673218217114,-0.35775198842091527
200.0,4.7044992724,0.98,0.007685,0.009516,0.002799,0.02772807869812201,0.0002959021948428054,0.9875914397563887,0.006115429508272285,0.005322620884489303,0.0009705098508496716,0.5216876029115185,0.10244352243412565,0.26267978658120633,0.11318908807314954,0.02738401316315677,0.00016956911067819152,0.00014758605076538718,2.691037352166235e-05,0.00015436850672380026,3.0313263135685956e-05,7.772752539021866e-05,3.349289959310056e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.105966625212265,-0.14182498645815755,-0.3818812772861264
200.0,4.8536720428,0.98,0.007685,0.009516,0.002799,0.02772637255009598,0.00030540937041926577,0.9869792345443397,0.006291680671021743,0.005663437024440053,0.0010656477601984381,0.5065029566970795,0.10221292830741932,0.27088809839800615,0.12039601659749505,0.02736535395618492,0.00017444548225098672,0.00015702656485363194,2.9546546806437238e-05,0.00015469074912035166,3.121678608307848e-05,8.273176358580718e-05,3.6770071630028435e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.067511612562463,-0.1544656914095377,-0.4060146479029072
200.0,5.0028448132,0.98,0.007685,0.009516,0.002799,0.027724739535899413,0.00031492599077906315,0.9863824380002209,0.006453815475727269,0.0059984764484330485,0.0011652700756187237,0.49222856764652756,0.10177704427448382,0.2783392147379241,0.12765517334106452,0.027347196176341574,0.0001789303530772953,0.00016630619714503323,3.230680933550693e-05,0.0001550155693558418,3.2052236506706395e-05,8.765625297400717e-05,4.0201931942507794e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.030103644392405,-0.1674383796592238,-0.43015961865970453
200.0,5.1520175836,0.98,0.007685,0.009516,0.002799,0.02772317037052002,0.0003244520838847369,0.9858003106404307,0.006603109704079567,0.006327127558262873,0.0012694520972268196,0.47878547736282734,0.10117294604822746,0.2850717896322285,0.13496978695671666,0.02732950996319622,0.00018305913530143185,0.00017540803525373396,3.519323676863306e-05,0.00015534294586411787,3.282577317810546e-05,9.249213620292788e-05,4.379122863958571e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.993682823712952,-0.18073350229974494,-0.45432278095973544
200.0,5.301190354,0.98,0.007685,0.009516,0.002799,0.027721656731492243,0.0003339876751609565,0.9852321858538103,0.006740709204742754,0.006648845570909602,0.0013782593705372681,0.4661036021844723,0.1004316362494863,0.29112303275044454,0.14234172881559684,0.027312268457057098,0.0001868636267006887,0.00018431701457745855,3.8207633156996723e-05,0.0001556728584777392,3.3542928703576774e-05,9.723150489412798e-05,4.754038308551252e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.958195229378507,-0.19434220882414266,-0.47850984739150704
200.0,5.4503631244,0.98,0.007685,0.009516,0.002799,0.027720191168025803,0.00034353278769144843,0.984677458385533,0.006867644061363675,0.00696315140014864,0.001491746152954646,0.45412051915345647,0.09957907606625382,0.29652885735044976,0.14977154742984003,0.027295447385292746,0.0001903724062549582,0.00019301988794402682,4.135148853406985e-05,0.0001560052878926747,3.420867759677897e-05,0.00010186738499655985,5.1451437205434934e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.92359206623188,-0.20825613691616596,-0.502725685762595
200.0,5.5995358948,0.98,0.007685,0.009516,0.002799,0.027718767018197442,0.0003530874424902765,0.9841355739094209,0.006984841458501226,0.007269630581881637,0.001609954050196249,0.4427804457130191,0.09863703418740638,0.3013240063365236,0.15725851376305108,0.027279024687515266,0.0001936111930472419,0.00020150519640754018,4.462594122739318e-05,0.00015634021516151462,3.482749813605729e-05,0.000106393722758287,5.552600643441765e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.8898288994291,-0.22246722551116704,-0.5269743507319653
200.0,5.7487086652,0.98,0.007685,0.009516,0.002799,0.02771737833405777,0.00036265165882184237,0.9836060197627581,0.007093137235229827,0.0075679321320465546,0.0017329108699655638,0.43203337809474557,0.09762378602444478,0.3055421560042491,0.1648006798765606,0.02726298018142107,0.00019660316832425764,0.0002097632381104068,4.803174620203672e-05,0.0001566776212324637,3.5403427942233495e-05,0.00011080536971494309,5.976523993220212e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.856864975448964,-0.2369675504603741,-0.5512591118503849
