T,P,z_carbon dioxide,z_hydrogen,z_argon,z_oxygen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_oxygen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_oxygen,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_oxygen,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.3810543097,0.98,0.002501,0.001635,0.008229,0.007635,0.027810912818961836,0.00014889555426508916,0.976107117006774,2.829204625487751e-06,1.6395983231903276e-05,9.413656715371541e-05,0.023779521238214817,0.9805491519572023,0.0028534060147949,0.0018633293808959725,0.009376549562495125,0.005357563084611688,0.027146429933043573,7.868276318644342e-08,4.5598726024362214e-07,2.6180238621883256e-06,0.0006613301920326437,0.00014599940946483078,4.2485947011622583e-07,2.7744146094693125e-07,1.396126544201791e-06,7.977173249934381e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.183774070904068,-0.02346545897569996,-0.02575378643594206
200.0,2.6746315918,0.98,0.002501,0.001635,0.008229,0.007635,0.027788269432253956,0.00016719936013654275,0.9906852118448338,2.6140691404181328e-05,0.00014147802286861342,0.0008021479831490985,0.008345021457744206,0.8905362877534563,0.023222170927644635,0.014139761003926388,0.07041155298835769,0.0016902273266149223,0.02752942758929383,7.264045758847957e-07,3.931429418215616e-06,2.2290304280286255e-05,0.00023189370468573668,0.00014889709749075,3.882732120083609e-06,2.3641589923401312e-06,1.177276660587368e-05,2.8260492749531425e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.951654660459806,-0.028641883394382006,-0.04800911533912
200.0,2.968208874,0.98,0.002501,0.001635,0.008229,0.007635,0.027788178660016434,0.0001854361790639936,0.9901198170199552,5.569871281612676e-05,0.00027719898338360397,0.0015538410505492037,0.007993444233295786,0.8058925076677041,0.04457145189344746,0.024995435235455207,0.1230724979917746,0.001468107211618575,0.027513626370173298,1.5477657828674774e-06,7.702854874638515e-06,4.31784127219289e-05,0.0002221232564637014,0.0001494416273581992,8.265159734455499e-06,4.635058004104327e-06,2.2822093775455706e-05,2.722401917788424e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.892474188765288,-0.04865739311033934,-0.08626024168237478
200.0,3.2617861561,0.98,0.002501,0.001635,0.008229,0.007635,0.027788486102040086,0.0002036842823628081,0.9893575175123329,8.9753563249104e-05,0.0004088149484913408,0.002266740320507014,0.007877173655419623,0.7361600920780129,0.06533370197887926,0.03358715500918113,0.16359465647228913,0.0013243944616375563,0.027492747625340343,2.4941156449563023e-06,1.1360348514457858e-05,6.298928189334305e-05,0.00021889473064698448,0.0001499442400590488,1.3307448201673598e-05,6.841175564653454e-06,3.3321660201948335e-05,2.6975833548392326e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.838510429815745,-0.06840689961267898,-0.1234186321527524
200.0,3.5553634383,0.98,0.002501,0.001635,0.008229,0.007635,0.027788930123020365,0.0002219386127351136,0.988583394099437,0.00012885953819021906,0.0005349192810816827,0.0029354097502034566,0.007817417331087588,0.6778073668820184,0.08601614144352492,0.040365167255637435,0.19459862927504493,0.001212695143774372,0.027471674859407557,3.5808687024526714e-06,1.486483452343517e-05,8.157189643083651e-05,0.00021723766395608134,0.00015043162670743535,1.909030310480323e-05,8.958589223537005e-06,4.318894982145814e-05,2.6914387787989324e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.788050293583876,-0.08767612868511776,-0.15915431659086465
200.0,3.8489407204,0.98,0.002501,0.001635,0.008229,0.007635,0.027789466816721183,0.0002401934045356489,0.9878365100940035,0.00017355138429457284,0.0006542446413048424,0.0035555592819045334,0.0077801345984924225,0.628275752643774,0.10696333116520536,0.045654013086143315,0.2179859453006701,0.0011209578042073046,0.027451449917602972,4.822900434850057e-06,1.818110974955857e-05,9.880709667937103e-05,0.00021620579225442956,0.0001509076920147053,2.5691886673044752e-05,1.0965792833875831e-05,5.235878634268969e-05,2.6924667133335786e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.740994164127933,-0.10640896057967453,-0.193321721636881
200.0,4.1425180026,0.98,0.002501,0.001635,0.008229,0.007635,0.027790085780564536,0.0002584431189788353,0.987131960939652,0.00022426653135230895,0.0007656632005889767,0.004123881601933857,0.0077542277264728,0.5857105668836168,0.12836988182732953,0.049696159718536775,0.23517987925258613,0.0010435123179307465,0.02743248187124981,6.2323861439903315e-06,2.1277846023389254e-05,0.00011460302346663379,0.00021549065368071103,0.00015137286572426367,3.3176312642399554e-05,1.2843630518929003e-05,6.078062151510424e-05,2.696885781388562e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.697446687139543,-0.12458005024345198,-0.22582683330729836
200.0,4.4360952847,0.98,0.002501,0.001635,0.008229,0.007635,0.027790784427112206,0.00027668287387128734,0.9864769975932953,0.000281283921823026,0.000868292061294373,0.004638430846029304,0.007734995577558053,0.548739788488142,0.15029713726610158,0.05268498466516136,0.2473011303327758,0.0009769592478193353,0.027414969582420158,7.817100834196398e-06,2.4130517495204818e-05,0.00012890563172206806,0.0002149615946405821,0.00015182690168642147,4.1584643873412344e-05,1.4577032967021548e-05,6.84239874520902e-05,2.703078923417849e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.657497716499172,-0.14218272421779332,-0.25662283538981967
200.0,4.7296725668,0.98,0.002501,0.001635,0.008229,0.007635,0.02779156131099852,0.00029490879538975143,0.9858747089937799,0.0003446806968940197,0.0009615894898891435,0.005098929450235259,0.007720091369201654,0.516327928231483,0.17269241539167268,0.05478514696121844,0.2552755001973181,0.0009190092183078174,0.02739899741996346,9.579214720447846e-06,2.6724073264265924e-05,0.00014170721043666918,0.00021455339261367828,0.00015226964734083267,5.092851219610476e-05,1.615662169558343e-05,7.528299025570734e-05,2.710239015232355e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.621153547835984,-0.1592270176653514,-0.28571460147373173
200.0,5.023249849,0.98,0.002501,0.001635,0.008229,0.007635,0.027792413902580707,0.00031311824021032367,0.9853252387408593,0.00041431919965515733,0.0010454037105338682,0.005506842573222493,0.007708195775729085,0.48767935176412597,0.19541555168098915,0.05614343456092407,0.25989364343998983,0.0008680185539709082,0.027384566863745113,1.1514930684602105e-05,2.9054292618450934e-05,0.00015304844809135214,0.0002142293674411869,0.00015270130041129454,6.118817365208089e-05,1.757953342908001e-05,8.137744027577895e-05,2.7179244208928065e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.58831529859019,-0.17573830442474403,-0.31315893548715223
