T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_oxygen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_oxygen,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_oxygen,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_oxygen,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_oxygen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.5486694967,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027775028336863673,0.0001594153070092804,0.9996530062454385,1.477384981539308e-05,0.0001556640662086286,7.619904839252833e-05,0.00010035679014502776,0.9409622530876519,0.013695443451682747,0.016193359948082617,0.019970110158943923,0.009178833353638803,0.02776539057549801,4.1034409726711093e-07,4.3235738499760825e-06,2.1164307283445208e-06,2.787412690074827e-06,0.00015000378646011224,2.1832633224782438e-06,2.5814694476353755e-06,3.183541241997195e-06,1.4632465370573526e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.89112228816306,-0.01630864990009684,-0.023213140920571362
200.0,4.1062464768,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027772878847026443,0.0002563153397706053,0.9963087468365814,0.00017175139878765466,0.0016300257777844482,0.0008535619036938284,0.0010359140831526473,0.5962479742454494,0.09880311744245393,0.10610747890776383,0.13953605223669005,0.059305377167642837,0.027670362120125115,4.7700307903368575e-06,4.5270508443937525e-05,2.370587133972595e-05,2.877031632732695e-05,0.00015282750210625747,2.5324754617657597e-05,2.7196974508445817e-05,3.5765230639296135e-05,1.520087789894827e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.684334488348817,-0.1756265890333637,-0.2485556506125306
200.0,5.6638234568,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027770830333604512,0.00035384714110832204,0.9931611195057964,0.0003475314252112128,0.0029690410407933296,0.001659688091593036,0.0018626199366059259,0.44019122892645113,0.1443672068184975,0.14075578199488242,0.19700006785771249,0.07768571440245652,0.027580908943728187,9.651236245136356e-06,8.245273499738011e-05,4.609091639833407e-05,5.172650223547236e-05,0.00015576040789658363,5.1083923402519195e-05,4.980603105335537e-05,6.9707910809597e-05,2.7488867946266835e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.490610214715232,-0.32939782547206775,-0.46360963803664745
200.0,7.2214004369,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027768939681116107,0.00045191303130949105,0.99020290790875,0.0005430299229029175,0.004177278425205553,0.0024863768605113273,0.0025904068826302423,0.3513258259466767,0.1760736902525906,0.1558834372733453,0.23164336102545224,0.08507368550193513,0.027496884821783845,1.5079365174132246e-05,0.00011599859262076067,6.904404906406188e-05,7.193285247330721e-05,0.00015876871898087331,7.95699950958966e-05,7.044575666914038e-05,0.00010468265346373093,3.8445907099849806e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.309414916265787,-0.4776369747522189,-0.6686848040929156
200.0,8.778977417,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027767262000080107,0.0005504445948477036,0.9874256155333488,0.0007588781374794572,0.005261444866679549,0.0033248552168223563,0.003229206245669942,0.29399839776944786,0.20141563432715995,0.16205265616835687,0.2549700973203258,0.08756321441470953,0.027418105772104868,2.10719680695249e-05,0.00014609591811206758,9.232212591783952e-05,8.966621587581232e-05,0.00016182982894607774,0.00011086814723320678,8.920100866858542e-05,0.00014034691191776628,4.819869808206739e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.140142828317735,-0.6203330305368517,-0.8640734307085509
200.0,10.336554397,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027765847215944852,0.0006493815616285664,0.9848194048105287,0.000995468949959442,0.006229966131960692,0.004166402718375868,0.003788757389175352,0.25397957761860906,0.22334144947224335,0.16352096494584548,0.2715767611207547,0.0875812468425475,0.027344345129266884,2.764003877279092e-05,0.00017298028778053152,0.00011568370131852166,0.00010519805880612493,0.00016492965473573605,0.00014503381923467294,0.00010618749957554321,0.00017635694123862382,5.6873646843990455e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.982113785238145,-0.7574958546884574,-1.0500975071402827
200.0,11.8941313771,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027764738297536812,0.0007486677101180378,0.9823735742533474,0.0012529696624293506,0.007092313248185178,0.0050028030936295044,0.004278339742408562,0.22447673238555033,0.24322211509185512,0.16234166934394031,0.2836830504456318,0.08627643273302242,0.027275345199560038,3.478837477210396e-05,0.00019691622126001473,0.00013890151864873074,0.00011878698329592477,0.00016805848120986954,0.00018209254395588502,0.00012153996584446745,0.00021238433977643095,6.459237933138482e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.834605164592197,-0.8891652980473985,-1.2271088035549944
200.0,13.4517083572,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027763970271304454,0.000848250107033184,0.9800770430480022,0.0015313325889651245,0.007858381778444314,0.005826671878323089,0.004706570706265253,0.2018379720716515,0.2617634800897916,0.1596252429437539,0.2925190416904527,0.08425426320435035,0.02721082988677271,4.25158724755074e-05,0.00021817987807728855,0.00016177154481040792,0.0001306730891685409,0.0001712090814131392,0.00022204090000354446,0.00013540212941223726,0.0002481293084231709,7.146868778109224e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.69688085353641,-1.01541757261327,-1.395486828417063
200.0,15.0092853373,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027763569825609773,0.0009480791967961465,0.9779187359433338,0.0018303081459993813,0.008538002562903319,0.0066316660145350195,0.005081287333228404,0.1839254219624265,0.2793523010397183,0.15601947506660024,0.29884602244335395,0.0818567794879009,0.027150515109134795,5.081588801383619e-05,0.00023704543032640148,0.00018411872245466628,0.0001410746756800733,0.00017437586632452966,0.0002648481051928915,0.00014791881860569877,0.0002833296969238182,7.760670974920837e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.56821286716598,-1.1363667457062583,-1.555634314994382
200.0,16.5668623173,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,0.027763555392858786,0.0010481090953039787,0.9758878549927501,0.0021494613495935022,0.009140596087730884,0.00741258681299224,0.005409500756933377,0.16940457507532802,0.2962078679764349,0.1519215221814026,0.3031802692214835,0.0792857655453511,0.02709411651930936,5.9676689244248205e-05,0.00025377544580546473,0.00020579976458688464,0.00015018697391283136,0.000177554475922557,0.0003104581605267015,0.0001592303291707532,0.00031776599768774575,8.310013199622131e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.447895919104994,-1.2521663682214559,-1.7079752392965233
