feature,importance_mean,importance_std
z_carbon dioxide,91.11953401167872,22.46599378228149
z_hydrogen,41.2323021730946,17.028149755139502
temperature,20.0332219094037,0.2107187090782474
z_hydrogen sulfide,4.285883102948491,0.5589783299772095
z_nitrogen,2.2614988839031227,0.02405116005018395
z_methane,2.1848400807015684,0.05186035855676108
pressure,1.41740215530563,0.05731967504335694
z_oxygen,0.9330480168291366,0.03579717314432441
z_carbon monoxide,0.8727232419559536,0.033329678496682814
z_argon,0.8624498053821025,0.02781353252654296
