temp_bin,Count,Temp_min,Temp_max,MAE,RMSE,MAPE_pct
Q1 (coldest),742,200.0,220.0,0.1320976645008574,0.21008296384527247,0.7654079750932481
Q2,738,225.0,245.0,0.07042928225914324,0.10613926091682473,0.5928441361669505
Q3,723,250.0,270.0,0.04051529083913613,0.06249134002230986,0.6362318741563948
Q4 (hottest),701,275.0,300.0,0.020110805509883183,0.031603470899748916,1.3517727459855673
