temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_methane,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_methane,y_carbon dioxide,y_hydrogen,y_argon,y_methane,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_methane,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.520698528625796,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.028569630835609157,38.563756161919535,2.495741117451283,1222.1667948453533,6.80252314657225,0.9995531878263388,1.577325239130874e-05,0.0002834939257373103,0.00014754499553241824,0.9508370278810152,0.014777522059618131,0.029804592975728184,0.0045808570836385005,19.87564372049878,0.6055478778480762,1.000000000827775,2.031360407731956,4.618498060227058,3.736726309073444,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.7502647379938834,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.0425055506969725,38.563756161919535,2.495741117451283,1220.5210819693439,8.801986527484893,0.9956369319168772,0.00018318728507713523,0.0029568212989034503,0.0012230594991422912,0.6490276389087801,0.11512472376683108,0.21007641428980786,0.025771223034580935,19.54765110179968,0.6160199979042218,1.0000000008192251,2.0006994600728243,4.52203990706379,3.65091409084481,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.979830947361972,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.05644147055833584,38.563756161919535,2.495741117451283,1219.3046125378346,10.698444255353198,0.9922284786387314,0.0003808072659363892,0.0054906850590621115,0.0019000290362700281,0.49540435444685366,0.17951405592955405,0.29470923517137176,0.03037235445222052,19.257470513729128,0.6254375669082699,1.0000000006792444,1.9747378673159093,4.438823965662803,3.57759031301033,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.209397156730059,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.07037739041969919,38.563756161919535,2.495741117451283,1218.337130786405,12.464615731664837,0.989211726246012,0.0006093893980242079,0.00782623979904108,0.0023526445569227793,0.40242138383796483,0.22943828603418587,0.3377785805631899,0.030361749564659493,18.997418680217407,0.6340112337492094,1.0000000008964494,1.9518686511016818,4.365889289690737,3.513972703881811,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.438963366098147,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.08431331028106252,38.563756161919535,2.495741117451283,1217.5278619744963,14.086236115363686,0.9865277302413101,0.0008691438027378045,0.009934116507270023,0.0026690094486821166,0.34011073166458905,0.2721257121621474,0.35882650907725056,0.028937047096013028,18.763320042240426,0.6418595535353987,1.0000000008402161,1.9311427451957104,4.302049415142082,3.458243440312739,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.668529575466234,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.09824923014242586,38.563756161919535,2.495741117451283,1216.8267093099248,15.55907321871144,0.984138189854228,0.0011593151276533234,0.011804906674174578,0.002897588343944137,0.29544685845022506,0.31048550878551173,0.3669353172990257,0.0271323154652377,18.552203283461186,0.6490262849516704,1.0000000008791956,1.9124005626912355,4.245680654523908,3.409314103299994,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.898095784834322,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.1121851500037892,38.563756161919535,2.495741117451283,1216.2034859541156,16.886998319156387,0.982010896875823,0.0014781346817838697,0.013443917274358173,0.0030670511680350528,0.2618608427806297,0.34576406137083265,0.3670615550947294,0.025313540753808154,18.361463196390833,0.6556462232980863,1.0000000009476069,1.8953036039425246,4.195801472690538,3.3662790198495913,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.127661994202409,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.12612106986515254,38.563756161919535,2.495741117451283,1215.6385314148818,18.079849708816337,0.9801148684890283,0.0018230352500829936,0.014866721803245287,0.003195374457643415,0.235682970711655,0.3784997019866669,0.3622068231312567,0.023610504170421494,18.188565711041328,0.6617380014477326,1.0000000009664467,1.8797347286871267,4.151527127030572,3.328304285680965,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,12.357228203570497,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.14005698972651587,38.563756161919535,2.495741117451283,1215.1182222574053,19.151094285687282,0.9784197320263418,0.002190990691596905,0.01609493671527207,0.0032943405667892564,0.21470327909247044,0.40893227778239627,0.3543019979939354,0.02206244513119774,18.03106890868119,0.6673839252032657,1.0000000009112628,1.8653153621075027,4.112035089991175,3.2946262793390595,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.586794412938584,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.15399290958787923,38.563756161919535,2.495741117451283,1214.6326958249103,20.11569835288157,0.9768966133968614,0.0025788518553676136,0.017152605480355226,0.0033719292674157498,0.19751190914819972,0.43719127818071984,0.34462411518926006,0.02067269748182048,17.886694706451834,0.6726545955800837,1.0000000008459105,1.8521106706828452,4.076577449697637,3.264558752329178,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,14.816360622306672,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.16792882944924256,38.563756161919535,2.495741117451283,1214.1746088158982,20.988524792836127,0.9755191579424277,0.0029836014595408353,0.01806356197529326,0.003433678622738246,0.18316727676565947,0.46337924427466765,0.33402274794483755,0.01943073101483547,17.753399340724023,0.6776102435718165,1.0000000007863272,1.8397467110396026,4.044496377930216,3.2375031576060325,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,16.04592683167476,0.96,0.012001,0.024252,0.003747,306.45,88.23,0.6526350138684941,0.1818647493106059,38.563756161919535,2.495741117451283,1213.7383984755013,21.783337303901543,0.9742641603473438,0.003402506813934764,0.018849826556090382,0.003483506282631163,0.171016599752354,0.48760336465031834,0.3230585941993612,0.018321441397966442,17.629409182511026,0.6822988411367832,1.0000000007348475,1.8280826436141966,4.015229833190924,3.212951199401079,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
