T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_methane,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_methane,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_methane,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_methane,rhoL6_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_methane,rhoV6_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4770437992,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.02777541133130115,0.00015491404816491195,0.9999283344039944,2.524425449903349e-05,1.7552913141485017e-05,2.438740037453497e-05,3.83625666565568e-06,6.447713249119749e-07,0.9671905222460289,0.02408807307749154,0.0018785222553123271,0.00657689454313178,0.00012120782016266041,0.00014478005787290756,0.027773420789893793,7.011695524627048e-07,4.875393825673478e-07,6.773700767038365e-07,1.0655360686103235e-07,1.7908788764058123e-08,0.00014983139914786765,3.731580912926443e-06,2.9100948713831286e-07,1.0188533580302631e-06,1.877679409064236e-08,2.242846485864234e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.908422310163093,-0.006125098287196096,-0.007551949493727506
200.0,4.1006875184,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.027779083397986414,0.00025441811935315915,0.9986579657830144,0.0005216955787476037,0.0002956902025796535,0.00046889742810035667,4.3583511730394834e-05,1.2167495827622489e-05,0.5969865762238921,0.3036670229167235,0.019403548109409162,0.07742245921294676,0.0008470441569279658,0.0016733493801004164,0.02774180291754982,1.4492224990390474e-05,8.214002797427693e-06,1.3025540760301146e-05,1.2107100071357572e-06,3.380018813401768e-07,0.000151884202001964,7.725839288004547e-05,4.936614218774426e-06,1.9697676468654585e-05,2.1550338141469526e-07,4.2573040230592264e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.8346875046493,-0.1200377666339918,-0.1466923673346301
200.0,5.7243312377,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.027783430319867606,0.00035407404198902403,0.997515456620829,0.0010390203690667928,0.0004937086136526853,0.0008705498389931039,5.904789914951216e-05,2.2216658308806005e-05,0.43501097069629563,0.43477875718429043,0.023415656560150627,0.10375599678914733,0.0008322556785114789,0.002206363091604642,0.027714401182015718,2.8867550024890362e-05,1.371691886573782e-05,2.4186860791636865e-05,1.6405531915550407e-06,6.172549780630193e-07,0.0001540260927040063,0.00015394387192720614,8.29087616407934e-06,3.6737305163733595e-05,2.946801320588771e-07,7.812158979398549e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.769588596323008,-0.22793446527868966,-0.27717520649218486
200.0,7.3479749569,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.027788251210217926,0.00045379511560900447,0.996456438211994,0.0015729621422205938,0.0006405626178485537,0.0012318675937057378,6.71930458065586e-05,3.0976388424376325e-05,0.34423995741320823,0.5137044085297312,0.02383711738962885,0.11506098375968131,0.000745606270371033,0.0024119266373794023,0.027689781825073888,4.37098671521884e-05,1.7800114940650435e-05,3.4231446151621715e-05,1.8671772364523305e-06,8.60779663121856e-07,0.0001562144112715656,0.00023311655145760463,1.0817167441612035e-05,5.2214112427310366e-05,3.3835248366182153e-07,1.0945205272500233e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.710200281075437,-0.33057995749472724,-0.40067264782375744
200.0,8.9716186762,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.02779345211076035,0.0005535478829202416,0.9954590144701017,0.002120392850334584,0.0007531283068382717,0.0015566483264748423,7.218246258759366e-05,3.863358366315042e-05,0.286201727707963,0.5678393613002057,0.02310151072024003,0.11971700398296017,0.0006624511467714369,0.002477945141859511,0.027667242446899463,5.89330371417729e-05,2.0932035529367533e-05,4.326463071517377e-05,2.0061998171650347e-06,1.0737606574088246e-06,0.00015842636046085838,0.00031432627628651106,1.2787792351448135e-05,6.626909410432175e-05,3.6669842983341513e-07,1.3716612872688303e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.655085323123153,-0.42865684591444264,-0.5183174514680857
200.0,10.5952623954,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.027798969527774244,0.0006533137473578534,0.9945095537400459,0.0026788985032081985,0.0008417592642136181,0.0018489018994740285,7.553128822505441e-05,4.535530483317778e-05,0.24590440959228402,0.6080248114756431,0.021995758585572157,0.12100585310631855,0.0005924675876485096,0.0024766996525337048,0.027646340779499897,7.447061785868474e-05,2.340004013559604e-05,5.139756756332243e-05,2.0996919797618212e-06,1.260830736980421e-06,0.00016065273132255555,0.00039723096807170477,1.4370131467518824e-05,7.905478734512292e-05,3.8706721987471526e-07,1.6180619310766881e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.603333837646666,-0.5227377412548755,-0.6309629971579191
200.0,12.2189061147,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.02780475492574654,0.0007530803044605115,0.9935986831260439,0.003246561961966268,0.0009131070202843869,0.0021124420262993077,7.792145061827533e-05,5.128441478791254e-05,0.2162984578322455,0.639453122961998,0.020810303714919508,0.12046213983507557,0.0005348295250245877,0.0024411461307369113,0.027626767878864145,9.026985970372295e-05,2.5388716919986052e-05,5.873593283609968e-05,2.1665868378998066e-06,1.4259505846882398e-06,0.00016289010847864656,0.00048155955252844634,1.5671829857547297e-05,9.071766494296342e-05,4.027695815399873e-07,1.8383790713679529e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.554308945490636,-0.6133032997591243,-0.7392830639608086
200.0,13.842549834,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.02781076935652496,0.0008528384266277376,0.9927195758322441,0.0038218320080093426,0.0009716158507723373,0.002350731009422313,7.970448716926269e-05,5.6540812382778457e-05,0.1936329231970055,0.6649470916525496,0.019657740041517723,0.11888708607130494,0.0004872132907560593,0.0023879457468661564,0.027608295159177832,0.00010628808849413248,2.702138432897325e-05,6.537563792227505e-05,2.2166431093444676e-06,1.5724434924080022e-06,0.00016513759756266373,0.0005670924314356504,1.676487608806505e-05,0.00010139147543140812,4.1551421632052006e-07,2.0365318936297303e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.507539466816418,-0.7007574668538545,-0.8438222005865406
200.0,15.4661935532,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.027816980847114856,0.0009525809845399513,0.991867064982306,0.004403437234633352,0.001020355878792219,0.0025668378780015935,8.10796731758392e-05,6.122435309092386e-05,0.17572829287944924,0.6861875147887946,0.018580093445005955,0.11673051516315174,0.00044749073028742584,0.0023260929933110273,0.027590747149496834,0.00012249032921726836,2.8383219937604203e-05,7.140168009001927e-05,2.255391715822651e-06,1.7030766573072262e-06,0.00016739543024263067,0.0006536491784165323,1.7699043706688067e-05,0.00011119526905997079,4.262711604296979e-07,2.215791953699701e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.46266409918925,-0.7854402850348272,-0.9450267739689409
200.0,17.0898372725,0.9764530235469765,0.01727998272001728,0.0013519986480013519,0.004722995277004723,8.7999912000088e-05,0.00010399989600010399,0.027823362816694692,0.0010523021736041883,0.9910371308765622,0.004990325585095542,0.001061509205366162,0.0027634480892992515,8.216821964331828e-05,6.541802403358437e-05,0.16123157206592242,0.7042464114030411,0.01758975799200841,0.11425763229700346,0.00041397945947862624,0.00226064678254601,0.02757398565719473,0.00013884763932754747,2.9534755754164e-05,7.68884188136748e-05,2.2861961871379042e-06,1.820149417437671e-06,0.00016966433373859048,0.0007410800294723696,1.8509740568162094e-05,0.00012023355481700485,4.356314850368454e-07,2.378883523024481e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.419398715065956,-0.8676386677454317,-1.0432663245871545
