temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_methane,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_methane,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_methane,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_nitrogen,E_methane,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.4770437991778502,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.028170633449082792,50.063345108614264,2.4525186130473764,1222.3378270796075,6.642631130265135,0.9999283344039908,2.5244254500278417e-05,1.7552913142342103e-05,2.4387400375735135e-05,3.836256665837554e-06,6.447713249436874e-07,0.9671905222444589,0.0240880730786459,0.0018785222554013028,0.006576894543445782,0.00012120782016822169,0.00014478005787981258,19.902297211875897,0.6047771065827611,1.0000000003521605,2.0335992606620112,4.626814833052792,6.160286115174159,3.744480515121616,6.79380141290102,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.100687518431307,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.04663581847414201,50.063345108614264,2.4525186130473764,1221.65539025283,7.604488042903984,0.9986579657830158,0.0005216955787470004,0.0002956902025793766,0.00046889742809984905,4.358351173036798e-05,1.2167495827609406e-05,0.5969865762241638,0.3036670229165104,0.01940354810939982,0.07742245921289871,0.0008470441569278323,0.0016733493800994159,19.714649738015307,0.6119425980161829,1.000000000355091,2.012516735619388,4.581925498046846,6.059138878348416,3.7047379529905196,6.68008856521028,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.7243312376847655,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.06510100349920124,50.063345108614264,2.4525186130473764,1221.0256459231,8.475902052263136,0.9975154566208251,0.001039020369068734,0.0004937086136533064,0.0008705498389945054,5.9047899149551214e-05,2.2216658308840547e-05,0.43501097069587114,0.43477875718464776,0.023415656560156182,0.10375599678920787,0.0008322556785112011,0.002206363091605805,19.541654131044318,0.6187131573466438,1.0000000003679683,1.9952314535574394,4.5407212557640575,5.970676928379789,3.6686647334983964,6.579536265007733,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.347974956938223,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.08356618852426045,50.063345108614264,2.4525186130473764,1220.4270348062164,9.275766438616907,0.9964564382119937,0.001572962142220859,0.000640562617848629,0.0012318675937059349,6.719304580656266e-05,3.0976388424381014e-05,0.34423995741315794,0.5137044085297757,0.023837117389628876,0.11506098375968687,0.0007456062703709752,0.002411926637379501,19.37962032358071,0.6251343007058012,1.000000000404994,1.9792650553731115,4.50228343769083,5.887869773371774,3.6353370356857253,6.485411063273296,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.971618676191682,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.1020313735493197,50.063345108614264,2.4525186130473764,1219.8521351590152,10.017490474338581,0.9954590144701007,0.0021203928503351456,0.000753128306838383,0.0015566483264751962,7.218246258759831e-05,3.8633583663158495e-05,0.2862017277079005,0.5678393613002654,0.023101510720239145,0.119717003982964,0.0006624511467713511,0.0024779451418595624,19.22642847720871,0.6312771465354609,1.0000000004595984,1.9639050921303456,4.466120788865796,5.8092026090005096,3.6043751264965866,6.396858894916047,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.59526239544514,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.12049655857437892,50.063345108614264,2.4525186130473764,1219.296746930156,10.711208712888396,0.9945095537400437,0.0026788985032095477,0.0008417592642138165,0.0018489018994746955,7.553128822506142e-05,4.5355304833192903e-05,0.2459044095921942,0.6080248114757343,0.021995758585569233,0.12100585310632021,0.0005924675876483514,0.0024766996525336783,19.08059609639179,0.6372100981613507,1.0000000005221625,1.9493039192985417,4.431889292768334,5.734223214465773,3.5754322077516907,6.312192432863864,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,12.218906114698594,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.1389617435994381,50.063345108614264,2.4525186130473764,1218.7579162460797,11.36481134300447,0.9935986831260403,0.003246561961968438,0.0009131070202846338,0.0021124420263002644,7.792145061828328e-05,5.128441478793419e-05,0.21629845783213608,0.6394531229621147,0.020810303714915202,0.12046213983507276,0.0005348295250243875,0.0024411461307367517,18.94100564573151,0.6429296684043607,1.0000000005851792,1.9350762262329473,4.399493491764669,5.662677263155538,3.548059677948544,6.230913248302981,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.842549833952052,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.15742692862449734,50.063345108614264,2.4525186130473764,1218.2333598919738,11.984576059955298,0.9927195758322376,0.003821832008013572,0.0009716158507727367,0.0023507310094239998,7.970448716927466e-05,5.654081238281503e-05,0.19363292319684366,0.6649470916527334,0.019657740041509452,0.11888708607129204,0.0004872132907557226,0.0023879457468657626,18.806781999962563,0.6484645479752928,1.0000000006451515,1.9212240426142315,4.368726383427011,5.593718393403005,3.5220462625431534,6.152640865085029,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,15.46619355320551,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.17589211364955656,50.063345108614264,2.4525186130473764,1217.721234941229,12.575579896277075,0.9918670649823019,0.0044034372346361825,0.001020355878792441,0.0025668378780026135,8.107967317584542e-05,6.122435309094557e-05,0.17572829287936245,0.6861875147888981,0.018580093445000875,0.11673051516314067,0.0004474907302872379,0.002326092993310733,18.677223814154424,0.6538371981677905,1.000000000699785,1.9078961615297414,4.3392075924078055,5.5270839346448435,3.497220708217414,6.077067366845382,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,17.08983727245897,0.9764530235469764,0.017279982720017278,0.0013519986480013517,0.004722995277004722,8.799991200008798e-05,0.00010399989600010398,307.73,87.93,0.6499203847528677,0.1943572986746158,50.063345108614264,2.4525186130473764,1217.2200208128345,13.14198086524726,0.9910371308765653,0.0049903255850932944,0.0010615092053660152,0.0027634480892985234,8.216821964331438e-05,6.54180240335689e-05,0.16123157206597605,0.7042464114029734,0.01758975799201205,0.11425763229701336,0.0004139794594787518,0.00226064678254627,18.551760047320524,0.6590654924944958,1.000000000823228,1.8948489068150218,4.310798473129682,5.462555955693112,3.47344226062414,6.004174084680454,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
