T,P,z_carbon dioxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.252328442,0.98,0.02,0.027880933333127297,0.00014065164554229157,0.9273661701089055,0.07263382989109445,0.9828954636253154,0.017104536374684565,0.025855834364203984,0.002025098968923313,0.0001382458643549542,2.4057811873373664e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.76498848695772,-0.061425326842805106,-0.061425326842805106
200.0,2.2550076689,0.98,0.02,0.027878986888361688,0.00014082500985832536,0.9287635121822764,0.07123648781772367,0.9832399489514975,0.016760051048502603,0.025892985778518434,0.0019860011098432554,0.00013846477550419396,2.3602343541314152e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.748503996433833,-0.06031917637961115,-0.06031917637961115
200.0,2.2576868959,0.98,0.02,0.027877037302766673,0.00014099838934594088,0.9301606696026727,0.06983933039732722,0.9835837194289202,0.01641628057107983,0.025930123684080136,0.0019469136186865373,0.00013868372022636757,2.314669119573319e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.732024961585577,-0.05920976207855588,-0.05920976207855588
200.0,2.2603661228,0.98,0.02,0.027875084582720654,0.00014117178400684986,0.9315576383840504,0.06844236161594966,0.983926778295259,0.016073221704740955,0.025967247963634903,0.0019078366190857503,0.00013890269862405395,2.269085382795901e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.715551435390577,-0.0580971108611088,-0.0580971108611088
200.0,2.2630453498,0.98,0.02,0.027873128734731637,0.00014134519384276302,0.9329544144901095,0.06704558550989047,0.9842691287717545,0.015730871228245437,0.026004358498719002,0.001868770236012635,0.00013912171079969113,2.223483043071895e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.699083471392424,-0.05698125251242914,-0.05698125251242914
200.0,2.2657245767,0.98,0.02,0.027871169765402153,0.0001415186188553792,0.9343509938598881,0.06564900614011186,0.9846107740695937,0.015389225930406262,0.026041455170341166,0.001829714595060986,0.0001393407568564547,2.177861998924482e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.682621123403223,-0.05586221508431066,-0.05586221508431066
200.0,2.2684038036,0.98,0.02,0.027869207681456117,0.00014169205904638138,0.9357473723887549,0.06425262761124513,0.9849517173853369,0.015048282614663072,0.026078537858479068,0.0017906698229770521,0.0001395598368975979,2.132222148783474e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.666164445723243,-0.05474002827363833,-0.05474002827363833
200.0,2.2710830306,0.98,0.02,0.02786724248972127,0.0001418655144174564,0.9371435459415199,0.06285645405848006,0.9852919619042174,0.014708038095782505,0.026115606442429582,0.0017516360472916886,0.00013977895102692666,2.086563390529731e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.64971349298851,-0.053614721097087426,-0.053614721097087426
200.0,2.2737622575,0.98,0.02,0.0278652741971424,0.0001420389849702707,0.9385395103433174,0.061460489656682604,0.9856315107979419,0.014368489202058235,0.026152660800568304,0.001712613396574095,0.00013999809934845406,2.0408856218166465e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.63326832027592,-0.05248632350319582,-0.05248632350319582
200.0,2.2764414845,0.98,0.02,0.027863302810787863,0.00014221247070648856,0.9399352613754621,0.060064738624537956,0.985970367223776,0.01402963277622407,0.02618970081024154,0.0016736020005463268,0.000140217281966277,1.9951887402115573e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.616828983150686,-0.051354899827444456,-0.051354899827444456
