CO2,H2,Ar,N2,CH4,O2,CO,H2S,feed_source,template_name,mixture_size,active_components
0.95,0.004756610165242623,0.0022854701588615,0.006029192920046005,0.03681885030632523,2.318676908362191e-06,3.341784111220534e-05,7.41399315041172e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0031423336755418627,0.023755566054003197,0.001944962581143721,0.021052556030710823,3.0386708357498575e-07,2.784781875695413e-05,7.642997275991195e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.007844303715071294,0.0008128906208280527,0.013307333854746797,0.027989683307541206,6.900408962029181e-07,1.206379850097767e-05,3.303466241551292e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.03255122264421567,8.611686676591639e-05,0.0048134889835777465,0.01250117791465294,9.827792313143494e-06,2.3808990228248055e-05,1.4356808246377918e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.029894061652734637,0.005380279643475697,0.014562372803292103,8.335684469557882e-05,5.527114319721484e-06,1.0012487938682436e-05,6.438945354362474e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.011540292757943757,0.029275011840803288,0.0010288788033584275,0.008028096128548875,9.024552271742735e-06,3.058305361167959e-05,8.81128634622769e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.012210047909158788,0.021710297524663368,0.004577928622946479,0.01141350122125103,8.345773460996497e-06,3.133260929242283e-05,4.8546339226961394e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.009144448030496641,0.005282033654633953,0.027585305859969166,0.007959363604350855,6.906081005218951e-06,1.6539384654584062e-05,5.4033848896314355e-06,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.0006292208757808114,0.02722992693255299,0.014393323419361215,0.0076831685867556595,2.1211778671712235e-06,1.4348305960702488e-05,4.7890701721492807e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
0.95,0.03657938336487465,0.0011796316123951734,0.003197467000330936,0.009022934177304874,5.889488827676855e-06,3.5328318676452595e-06,1.1161524399084822e-05,industrial_bound,netl_limits,8,"CO2,O2,H2S,N2,CO,H2,Ar,CH4"
