temperature,pressure,z_carbon dioxide,z_hydrogen,z_oxygen,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_oxygen,y_carbon dioxide,y_hydrogen,y_oxygen,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_oxygen,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.548224924648124,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.028715629081002076,31.825738707160653,2.5229949748991327,1222.1936297717232,6.856785086729033,0.9994487242944982,1.0363099426056217e-05,0.000540912606075768,0.9409326806674335,0.009603498722452352,0.04946382061011402,19.868827174419838,0.6057179647284883,1.0000000008448788,2.030881634019457,3.993389761447044,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.5468199727667766,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.03996867221959406,31.825738707160653,2.5229949748991327,1221.0357182792645,8.553658376934186,0.995963736242224,8.205186184663486e-05,0.003954211895929335,0.6846426172094684,0.0545042823036386,0.2608531004868929,19.59352150667046,0.6142812739678327,1.0000000011629668,2.0062148521672207,3.928693060539554,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.545415020885429,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.05122171535818604,31.825738707160653,2.5229949748991327,1219.8987839284919,10.218677550769875,0.9925641875300386,0.00016410392007332604,0.007271708549888197,0.5402397909746309,0.08467855442337527,0.37508165460199383,19.327527684425633,0.6226019555768524,1.0000000015328203,1.9833589914640113,3.866664168566157,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.544010069004081,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.06247475849677801,31.825738707160653,2.5229949748991327,1218.787131959501,11.843588428498416,0.9892641234931129,0.0002581952875283067,0.010477681219358796,0.4476576342892816,0.10866198100827429,0.4436803847024441,19.07151094478176,0.6306498714753538,1.0000000016578796,1.961733144660561,3.8074286552407677,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.542605117122734,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.07372780163537,31.825738707160653,2.5229949748991327,1217.7057970008038,13.419600654431997,0.9860796656801235,0.0003661363958962322,0.013554197923980238,0.38327665309955333,0.12986411933393685,0.4868592275665098,18.826233752827537,0.638409444962202,1.0000000011689822,1.940959994590543,3.751233945567289,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.541200165241387,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.08498084477396199,31.825738707160653,2.5229949748991327,1216.6602334847214,14.93751275052797,0.9830280643186105,0.0004898183177052378,0.016482117363684316,0.33593078725287606,0.14992420389620087,0.5141450088509231,18.59249231499563,0.645876663741727,1.0000000011777292,1.9213216687071526,3.69829073030543,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.539795213360039,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.09623388791255397,31.825738707160653,2.5229949748991327,1215.655984169612,16.388114847434718,0.9801266184403626,0.0006311067256022857,0.01924227483403515,0.2996577207598002,0.169714721425588,0.5306275578146118,18.371044890469996,0.6529861092691818,1.0000000010981072,1.9026131454504591,3.648768027989926,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.53839026147869,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.10748693105114594,31.825738707160653,2.5229949748991327,1214.6982510705889,17.762832395371266,0.9773912738211463,0.0007916909268539567,0.02181703525199978,0.2709843489162124,0.18970766066698486,0.5393079904168027,18.162534669455773,0.6597721613987049,1.0000000009550816,1.8850548126238897,3.6028458696108103,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.536985309597343,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.11873997418973793,31.825738707160653,2.5229949748991327,1213.7913922582645,19.05452320162035,0.9748349957929214,0.0009729060652657255,0.02419209814181293,0.24775072769724224,0.21012769526090497,0.5421215770418529,17.967400085690493,0.6661813843036228,1.0000000009968288,1.86852290022713,3.5606436727986632,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.535580357715997,0.95,0.008117,0.041883,305.62,88.74,0.654407434068451,0.12999301732832994,31.825738707160653,2.5229949748991327,1212.938429614791,20.25826903273765,0.9724662047872616,0.0011755633902170287,0.02635823182252132,0.22854324060796166,0.23102720710622157,0.5404295522858168,17.78579430480507,0.6722104550140074,1.0000000009131778,1.8531815150232167,3.521976230475456,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
