T_K,P_bubble_bar,P_dew_bar
200.0,10.402440688953922,2.4690171789046667
203.4034827586207,11.020140398715819,2.9324265363992694
206.8069655172414,11.694409195800917,3.4594795525070507
210.21044827586206,12.431691065486472,4.057120068138576
213.61393103448276,13.237520212342371,4.731279067048287
217.01741379310346,14.116497237879218,5.486872454170522
220.42089655172416,15.077032668252604,6.3330800710254005
223.82437931034482,16.122450770588333,7.2734659192528985
227.22786206896552,17.260622648534675,8.316685746136525
230.63134482758622,18.49747410947751,9.46928979763666
234.03482758620692,19.838120328652955,10.736992736828526
237.43831034482758,21.292287498194504,12.130702757613289
240.84179310344828,22.863018346134076,13.653999722997927
244.24527586206898,24.559601560656702,15.317515399122938
247.64875862068968,26.388000260492355,17.12831623272494
251.05224137931037,28.353871406495696,19.093274167450254
254.45572413793104,30.468029622335894,21.225263882874664
257.85920689655177,32.733141311189875,23.528218056851095
261.26268965517244,35.15997363144512,26.01554244594978
264.6661724137931,37.75418806175477,28.695233702213184
268.06965517241383,40.52202592406234,31.57640788307059
271.4731379310345,43.47502222779822,34.67505748038163
274.87662068965517,46.61517678390943,37.99683093704709
278.2801034482759,49.954336323415994,41.5603529825205
281.68358620689656,53.49671949183482,45.37684017375464
285.08706896551723,57.24784577743869,49.46161109962335
288.49055172413796,61.21699003582859,53.839417241954955
291.8940344827586,65.40092310151763,58.5252380284329
295.29751724137935,69.80300776827573,63.55774571615582
298.701,74.40635758423898,69.36237853814043
