T,P,z_carbon dioxide,z_hydrogen,z_nitrogen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_nitrogen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_nitrogen,rhoL4_carbon monoxide,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_nitrogen,rhoV4_carbon monoxide,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4312204698,0.99,0.004023,0.003136,0.001925,0.000916,0.02777759179085301,0.00015211602003619915,0.9983622273951389,7.5589199461446435e-06,2.0792655792744117e-05,1.532045005441517e-05,0.00159410057906777,0.9830666032905293,0.007352333759531893,0.005718920474298631,0.003508377882719733,0.0003537645929203438,0.027732098411988936,2.0996859264374252e-07,5.775699048585612e-07,4.255652076636963e-07,4.428027515890692e-05,0.0001495401791230604,1.1184077494777768e-06,8.699394214538401e-07,5.336804803023529e-07,5.381326190476885e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.928412777122237,-0.006236296383580253,-0.00710664855044385
200.0,2.8839196424,0.99,0.004023,0.003136,0.001925,0.000916,0.02777591497294373,0.000180027226960642,0.9985390611648811,9.155464156655552e-05,0.0002390794099730546,0.00017371914070034872,0.0009565856428788879,0.8352779859641558,0.07525813137842244,0.05562624213976495,0.03365702492185652,0.0001806155958002871,0.0277353360600788,2.5430139395309862e-06,6.64064936319312e-06,4.8252080812657345e-06,2.6570041480942706e-05,0.00015037277955439702,1.3548512698297069e-05,1.0014238118663092e-05,6.059180864427048e-06,3.251572485776986e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.89128140883011,-0.056264832046498015,-0.06630212566386362
200.0,3.3366188151,0.99,0.004023,0.003136,0.001925,0.000916,0.02777533843261632,0.00020796270140393134,0.9981098249541808,0.00018097002603607658,0.00044829160233877106,0.00032147049237564646,0.0009394429250687571,0.7265921164610346,0.12881249788101035,0.09043302362230166,0.05400779046489963,0.00015457157075374754,0.027722838181021805,5.026503719311414e-06,1.245145097145922e-05,8.928951721833385e-06,2.6093345181911746e-05,0.00015110405935803666,2.6788195033923092e-05,1.880669588861939e-05,1.1231606001938012e-05,3.214512141419825e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.862509803782814,-0.10503422344569557,-0.12393612015521782
200.0,3.7893179877,0.99,0.004023,0.003136,0.001925,0.000916,0.027774939203099817,0.00023591789246504713,0.9976849465253856,0.00027560357815664736,0.0006475296259020318,0.0004586226481403029,0.0009332976224154867,0.6435740826988299,0.17295003659549274,0.11531252968384545,0.06802710201848762,0.00013624900334441626,0.02771063873359048,7.654872627457649e-06,1.79850959916349e-05,1.2738216169261552e-05,2.592228472098775e-05,0.0001518306412354339,4.0802008135361423e-05,2.7204288977826005e-05,1.6048810538706353e-05,3.214357771947784e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.835047691307707,-0.15190544750218393,-0.17935056317749343
200.0,4.2420171604,0.99,0.004023,0.003136,0.001925,0.000916,0.027774702592643575,0.00026388669588330087,0.9972723118706793,0.0003754035408438951,0.0008365902832655129,0.0005856786095912624,0.0009300156956200075,0.5781011584697177,0.21062040432116716,0.133373016146825,0.0777832606131486,0.0001221604491416156,0.027698941866086207,1.0426721699164512e-05,2.3236046309595064e-05,1.626704919627032e-05,2.583090935233624e-05,0.0001525532045948823,5.5579922581917706e-05,3.519536455097579e-05,2.0525967638233477e-05,3.223651729160095e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.808779324337475,-0.1969277969596419,-0.23260162335057188
200.0,4.6947163331,0.99,0.004023,0.003136,0.001925,0.000916,0.027774622382299788,0.00029186442564017824,0.996873244831532,0.0004802687196666489,0.0010154063330211258,0.00070317602899932,0.0009279040867809122,0.5251449006240766,0.24362696315672644,0.14655716481535228,0.08456007519094297,0.00011089621290164746,0.027687777938213684,1.333928233077177e-05,2.8202527464257512e-05,1.9530448673741197e-05,2.577218561733257e-05,0.0001532711147985146,7.110604367219883e-05,4.277482273228573e-05,2.4680077777694855e-05,3.236665948421026e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.783655666746945,-0.24016601182150055,-0.2837631881824514
200.0,5.1474155057,0.99,0.004023,0.003136,0.001925,0.000916,0.02777469287768428,0.00031984738427228663,0.9964878454644434,0.0005900532849516478,0.0011840365786675514,0.0008116760888737414,0.0009263885830636553,0.4814286446400329,0.27312595156058694,0.15614714803684482,0.08919659941450854,0.00010165634802675987,0.027677143864120228,1.6388548771000744e-05,3.28862523284353e-05,2.2544054084628137e-05,2.5730158379986137e-05,0.0001539836927018667,8.7358621183533e-05,4.994325686116233e-05,2.8529299008713528e-05,3.251451701103237e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.75963285516479,-0.28169496484795076,-0.3329212097986627
200.0,5.6001146784,0.99,0.004023,0.003136,0.001925,0.000916,0.027774907874675646,0.0003478326170479818,0.9961157984350546,0.0007045737506649766,0.0013426537046415232,0.0009117537441817032,0.0009252203654571153,0.44472667858061987,0.29988777090034857,0.1630274518373126,0.09226416947932468,9.392920239418957e-05,0.027667024534042618,1.9569471015634412e-05,3.7292082954010273e-05,2.532387624903739e-05,2.5697910414345113e-05,0.00015469044448175365,0.00010431074817295384,5.6706265223236245e-05,3.209248752975203e-05,3.2671640286000517e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.736663946305526,-0.3215971308190717,-0.38017086696083524
200.0,6.052813851,0.99,0.004023,0.003136,0.001925,0.000916,0.027775260555248996,0.00037581776104335894,0.9957565931907827,0.0008236166814278333,0.0014915283827723555,0.001003987856002078,0.0009242738890150641,0.4134745838929312,0.3244426888498648,0.16783057750053915,0.09416478349004587,8.736626661905922e-05,0.02765739882548107,2.2876167924307576e-05,4.142758945705133e-05,2.7886024294763528e-05,2.5671948091806698e-05,0.0001553910923669759,0.00012193132491044335,6.307371187086656e-05,3.538879810036169e-05,3.283379471149198e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.71469793869584,-0.35996040864979406,-0.42561402466822074
200.0,6.5055130237,0.99,0.004023,0.003136,0.001925,0.000916,0.027775743600225434,0.00040380094100052083,0.9954096116800635,0.0009469465913641856,0.0016310111564098965,0.0010889518055354017,0.0009234787666271527,0.3865408315564556,0.34716641617244437,0.17102223098711172,0.09518880118367826,8.172010031006543e-05,0.027648242151225407,2.630214572483907e-05,4.5302547689548466e-05,3.0246446143553865e-05,2.5650309442088215e-05,0.0001560855515176206,0.00014018612553421146,6.905893780460414e-05,3.843732749068077e-05,3.2998653403861374e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.693680506699295,-0.39687599012556873,-0.4693567155800089
