temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,y_carbon dioxide,y_hydrogen,y_argon,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.523697991157118,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6539419116682931,0.02743263722009274,77.57699188160993,2.523597991157118,1222.3368243434606,6.7937973260934355,0.9997818508336258,1.700335372423611e-05,0.00020114581264996762,0.9499638731466602,0.02001450172657386,0.030021625126765955,19.887815720703408,0.6052265043108193,1.0000000006167837,1.8994704380627263,5.678839029183898,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
201.0,2.656278696170218,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6572116212266345,0.028873791587910307,76.88470478747271,2.6561786961702176,1219.244469578609,7.126341368439151,0.9997704364227721,1.8148456028639624e-05,0.00021141512119931825,0.9499657336225564,0.020013757276733723,0.0300205091007098,19.650665909860443,0.6096466525168125,1.0000000008237775,1.8787790809522107,5.541748668714871,19.67631149464653,1219.2863467039988,6.911550054479794,309.1473760575555,2.5177145594904573
202.0,2.79421677795278,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.660481330784976,0.03037318072624438,76.21440047840468,2.79411677795278,1216.1391413378724,7.471374418364029,0.999758537436447,1.935956855471271e-05,0.00022210299499827847,0.9499674811311428,0.020013058016962435,0.030019460851894664,19.41402482921451,0.6140905993196902,1.0000000008759216,1.8584529047214218,5.409409099644624,19.440515430094564,1216.1837123074072,7.245770566711654,309.1473760575555,2.648218623874262
203.0,2.9376579057564887,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6637510403433174,0.03193238806217284,75.56555785169103,2.9375579057564885,1213.0204741302643,7.829226627021046,0.9997461375262661,2.0639934536162133e-05,0.00023322253919778082,0.9499691235614401,0.020012400791583118,0.03001847564697682,19.177896901774844,0.6186235328529776,1.000000000649131,1.8384823586385466,5.281361296913637,19.205250500053978,1213.0678918685637,7.592369865688004,309.1473760575555,2.7839063321115076
204.0,3.0867494912383346,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6670207499016589,0.0335530159627469,74.93768739829086,3.0866494912383344,1209.8880965833337,8.200234337719104,0.9997332198617175,2.199293878124217e-05,0.00024478719950129087,0.9499706681958354,0.0200117826875547,0.03001754911660996,18.94228671427976,0.623187087031981,1.0000000005481098,1.8191038111281217,5.157434537302795,18.970521356658203,1209.9385217936926,7.951669601577564,309.1473760575555,2.9249146337522567
205.0,3.241640674985887,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6702904594600003,0.0352366855885206,74.33032935954228,3.241540674985887,1206.7416311806235,8.58474028821797,0.9997197671116704,2.342211403030269e-05,0.00025681077429918966,0.9499721217519084,0.020011201017757742,0.030016677230333976,18.707198984675404,0.627827524896086,1.0000000004933651,1.8000532791682669,5.0374661771925,18.736332948920182,1206.7952327215985,8.323997326113064,309.1473760575555,3.0713819419222324
206.0,3.402482313924691,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6735601690183418,0.03698503675666901,73.74305201312728,3.402382313924691,1203.5806939882063,8.98309382567424,0.9997057614248389,2.4931147663488275e-05,0.0002693074274975411,0.9499734904209286,0.020010653305613225,0.03001585627345813,18.47263856591649,0.6325125964242346,1.0000000004849348,1.7813324258392127,4.921301136713812,18.502690211980752,1203.6376492697202,8.70968668358065,309.1473760575555,3.2234481128052623
207.0,3.5694269696712975,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6768298785766833,0.03879972781438551,73.17545007762813,3.5693269696712973,1200.4048943696703,9.395651134907796,0.9996911844092544,2.652388877148056e-05,0.0002822917019741869,0.9499747799212432,0.020010137263713087,0.030015082815043708,18.23861045041414,0.6372695583277903,1.0000000004997045,1.7631465838622966,4.808791504159034,18.26959823556576,1200.4653897698147,9.109077613559938,309.1473760575555,3.381254425637722
208.0,3.742628897892932,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6800995881350248,0.0406824355232212,72.6271432266213,3.7425288978929316,1197.2138346889992,9.822775480543049,0.9996760171106039,2.820435561980659e-05,0.00029577853377619573,0.9499759955495276,0.020009650773296136,0.030014353677176215,18.005119771098776,0.64207823041828,1.000000000522439,1.7452543967790566,4.699796160447139,18.037062373613775,1197.2780659927698,9.522516565933442,309.1473760575555,3.5449435632858424
209.0,3.9222440387375928,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6833692976933662,0.04263485495505989,72.09777470338553,3.9221440387375925,1194.0071100004477,10.264837463444938,0.9996602399890507,2.997674356062835e-05,0.0003097832673886055,0.9499771421853758,0.020009191882474575,0.030013665932149717,17.772171810254516,0.6469609214052496,1.0000000005334857,1.7277045835622438,4.594180427669205,17.805087951366463,1194.075282861887,9.95035672871567,309.1473760575555,3.7146595934361217
210.0,4.108430008394875,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6866390072517077,0.044658699400384194,71.58701002863779,4.1083300083948755,1190.7843077250034,10.722215292698086,0.9996438328951717,3.184543335848495e-05,0.0003243216714698827,0.9499782243589038,0.020008758779123968,0.03001301686197219,17.539771993749433,0.6519030943398058,1.0000000005330825,1.7106012141903941,4.4918157467866,17.57368055944734,1190.8566381540581,10.392958269289368,309.1473760575555,3.8905479503367095
211.0,4.301346091853447,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6899087168100492,0.04675570028954909,71.0945357939165,4.301246091853447,1187.5450073123188,11.195295073287918,0.9996267750441543,3.3815000027921886e-05,0.00033940995581771294,0.9499792462615528,0.020008349786600245,0.030012403951846914,17.307925898834664,0.6569215799220253,1.0000000005911718,1.6937616282146477,4.392615382337588,17.342845906767632,1187.6217221881068,10.850688589678377,309.1473760575555,4.072755417350158
212.0,4.501153236915483,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6931784263683907,0.048927607127718785,70.62005853449665,4.501053236915483,1184.2887798875006,11.684471110645724,0.999609044988637,3.5890222175203965e-05,0.00035506478918788116,0.9499802117742941,0.020007963352457036,0.030011824873248886,17.07663926169087,0.6620049088415492,1.0000000005603953,1.6773070381275674,4.296637882080657,17.112589847091293,1184.370117499621,11.323922596524703,309.1473760575555,4.261430110066607
213.0,4.7080140495346665,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.696448135926732,0.05117618744419072,70.16330367558464,4.707914049534667,1181.0151878817874,12.19014623285829,0.9995906205900068,3.807609188662343e-05,0.00037130331810648345,0.9499811244972153,0.020007598036601158,0.030011277466183615,16.84591787125162,0.6671528418632513,1.0000000001461498,1.661187379029254,4.203540018468774,16.88291838511455,1181.10139850147,11.813042986490817,309.1473760575555,4.456721460223794
214.0,4.922092790542755,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.6997178454850735,0.05350322675681323,69.72401454642981,4.921992790542755,1177.7237846461614,12.712732131441834,0.9995714789880227,4.037782520482815e-05,0.0003881431867724471,0.9499819877755317,0.020007252500878637,0.030010759723589714,16.61576792579807,0.67238684253929,1.0000000000490163,1.645317334614791,4.113217387935306,16.65383765961848,1177.8151311292202,12.318440547853507,309.1473760575555,4.658780200429112
215.0,5.143555373830249,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.702987555043415,0.05591052855220946,69.3019514576199,5.143455373830249,1174.4141140468569,13.252649721605891,0.9995515965685674,4.28008732419551e-05,0.0004056025581905277,0.9499828047138051,0.020006925503402453,0.03001026978279241,16.386195583657855,0.6776670461585518,1.0000000000455949,1.6298734711810174,4.02556573380275,16.425354043281228,1174.5108724705306,12.840514479112926,309.1473760575555,4.867758349563256
216.0,5.372569366052841,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7062572646017565,0.05839991428258641,68.89689083665847,5.372469366052841,1171.0857100416613,13.81032952315863,0.9995309489295094,4.535093396592283e-05,0.0004237001365245726,0.9499835781909832,0.02000661589254888,0.03000980591646802,16.157207196170265,0.6830615797849191,1.0000000000490803,1.6146478075344004,3.940489416283782,16.197474007035687,1171.1881703776212,13.379672725501841,309.1473760575555,5.083809199153408
217.0,5.609303987930992,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7095269741600979,0.06097322337986137,68.50862441791907,5.609203987930992,1167.7380962359227,14.38621206330877,0.9995095108446869,4.803396469338937e-05,0.0004424551906197658,0.9499843108895273,0.020006322595273823,0.030009366515198893,15.928809280807712,0.6885035204217808,1.0000000000663405,1.5997675270716654,3.85789559667388,15.970204176135178,1167.8465630617957,13.936332334341627,309.1473760575555,5.3070873004450645
218.0,5.853930117218851,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7127966837184394,0.0636323132879341,68.13695848298765,5.853830117218851,1164.3707854168442,14.980748302357817,0.9994872562255587,5.085619537225656e-05,0.0004618875790689424,0.949985005304475,0.020006044613505556,0.030008950082019398,15.70100852190206,0.6940426023292687,1.0000000000822475,1.585159189170817,3.7776954401323892,15.743551394685394,1164.4855786689436,14.510919830264918,309.1473760575555,5.53774845253788
219.0,6.106620293416208,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7160663932767809,0.06637905951390591,67.78171314782053,6.106520293416208,1160.9832790648345,15.594400083769381,0.9994641580805754,5.382414269110274e-05,0.00048201777673338703,0.94998566375542,0.020005781019360697,0.030008555225219214,15.473811782629712,0.6996610723123908,1.000000000074967,1.5708174734634701,3.6998039131699474,15.517522658159093,1161.1047348348748,15.103871611398837,309.1473760575555,5.775949691212326
220.0,6.367548724303864,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7193361028351223,0.06921535569911909,67.44272169359863,6.367448724303864,1157.5750668404014,16.227640610116122,0.9994401884721786,5.6944625068804444e-05,0.00050286690275266,0.9499862884065693,0.020005530947100298,0.030008180646330467,15.247226120404465,0.7053558410269908,1.0000000000349472,1.5567886533650883,3.624193011569041,15.292125087998587,1157.7035382192419,15.715634367687219,309.1473760575555,6.021849278923348
221.0,6.636891294385376,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7226058123934638,0.07214311371091897,67.11982993804142,6.636791294385376,1154.145626045025,16.880954946280617,0.9994153184710428,6.0224778612011106e-05,0.0005244567503452501,0.9499868812745054,0.020005293590037436,0.030007825135457245,15.021258832690611,0.7111466815829709,1.0000000003684986,1.542971000799637,3.5508577359605864,15.067366084369395,1154.2814840167314,16.34666552261792,309.1473760575555,6.275606695584804
222.0,6.9148255753213315,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7258755219518053,0.07516426375607456,66.81289564452067,6.914725575321332,1150.6944210542858,17.55484055165413,0.9993895181074557,6.367207410455135e-05,0.0005468098184398613,0.9499874442334323,0.020005068198460842,0.030007487568106825,14.79591719775703,0.7170375102057399,1.0000000004059761,1.5294871443768105,3.4795872557703493,14.843253161087114,1150.8380554440992,16.9974336997232,309.1473760575555,6.537382630419433
223.0,7.201530838447752,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7291452315101468,0.07828075451685382,66.5217879662516,7.201430838447752,1147.2209027215902,18.249807843410938,0.9993627563199639,6.729433507120879e-05,0.0005699493449649608,0.9499879790432023,0.020004854068360885,0.030007166888436788,14.571208802750725,0.722986425532904,1.0,1.5161801035286926,3.4103052827337708,14.619794008363321,1147.3727232015165,17.668419215321787,309.1473760575555,6.807338974776044
224.0,7.497188069476427,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7324149410684881,0.0814945533108165,66.24638692321255,7.497088069476427,1143.7245077502,18.966380792172295,0.9993350009002704,7.109975708421877e-05,0.000593899342645319,0.9499884873363607,0.020004650546691257,0.030006862116948144,14.347141619443555,0.7290737101078094,1.0,1.5032058666899446,3.342944082624707,14.396996712382517,1143.8849449065945,18.36011459908871,309.1473760575555,7.085638816079348
225.0,7.8019799854782805,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7356846506268296,0.08480764627542364,65.98658290948472,7.801879985478281,1140.204658031868,19.705097553008518,0.999306218435168,7.509692829685437e-05,0.0006186846365351687,0.9499889706457417,0.020004457020260595,0.03000657233399764,14.12372354988205,0.7352378336262667,1.0,1.490394352645514,3.2774384151844167,14.174868895867752,1140.374164499297,19.07302514416849,309.1473760575555,7.3724464327452335
226.0,8.116091054259906,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7389543601851711,0.08822203857866079,65.74227622879468,8.115991054259906,1136.660759949407,20.46651113331115,0.9992763742443124,7.929485140347782e-05,0.0006443309042841209,0.9499894303995836,0.02000427291773516,0.030006296682681198,13.900962808397862,0.7415046458245854,1.0,1.4778977905974557,3.2137258096617862,13.953419458019006,1136.8398116158564,19.807669488678027,309.1473760575555,7.667927290226594
227.0,8.439707516248125,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7422240697435126,0.09173975465692352,65.51337665647216,8.439607516248126,1133.092203640986,21.251190100564383,0.9992454323142238,8.370296706431724e-05,0.0006708647187118802,0.9499898679349889,0.020004097704230353,0.030006034360780816,13.678867800513077,0.7478724539415822,1.0,1.465565374022465,3.1517463046885266,13.732656608261081,1133.2813009296292,20.56458023059629,309.1473760575555,7.9722480382356045
228.0,8.773017409007709,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.745493779301854,0.09536283848152544,65.29980302573063,8.772917409007709,1129.4983622233415,22.05971933241123,0.9992133552278385,8.833117895385405e-05,0.0006983135932076375,0.9499902845023566,0.02000393087954705,0.030005784618096335,13.457447147865532,0.7543597893013705,1.0,1.4535163206987232,3.091479643607656,13.512589192806566,1129.6980314566647,21.34430457820633,309.1473760575555,8.285576508992538
229.0,9.116210594523972,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.7487634888601955,0.09909335385526037,65.10148283659973,9.116110594523972,1125.8785909710589,22.89270081210902,0.9991801040894801,9.318988054108885e-05,0.0007267060299788218,0.9499906812746782,0.020003771974439054,0.030005546750882704,13.236709704504525,0.7609582702683,1.0,1.441646160275275,3.0329342676981863,13.293226126124953,1126.0893858236302,22.14740503842103,309.1473760575555,8.60808171679087
230.0,9.469478789394426,0.95,0.02,0.03,305.8375620699602,91.9961858172594,0.752033198418537,0.10293338474058625,64.91835188582651,9.469378789394426,1122.2322264487198,23.750754472346415,0.9991456384446417,9.828998377190807e-05,0.0007560715715862915,0.9499910593466975,0.020003620550978946,0.03000532010232353,13.016664565058237,0.7676499581798346,1.0,1.4300161381060588,2.975944395492162,13.074576632454441,1122.454729495443,22.974460145533122,309.1473760575555,8.939933858638554
