temperature,pressure,z_carbon dioxide,z_hydrogen,z_methane,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_methane,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_methane,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_methane,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.4935232905469196,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.028897013449379064,28.40028921535082,2.468834941135564,1221.9054966196434,6.708684660002758,0.999530720921883,9.914085907178193e-06,0.00037845317988469617,8.091181232511104e-05,0.9607175381776726,0.009383845547430159,0.011871694223415507,0.018026922051481795,19.872722286875923,0.6056490082023835,1.0000000013872312,2.031004554720378,3.73497194435905,6.779049029340903,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.377066843396933,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.03913624804029357,28.40028921535082,2.468834941135564,1218.5432087660847,7.751096490805845,0.9960960455697678,0.00010808947359272294,0.0029535127539101922,0.0008423522027292049,0.7174060397667381,0.0752260057180911,0.06883991043886721,0.13852804407630367,19.564044599726596,0.6156343814408259,1.000000001470699,2.000381284863326,3.647011264042085,6.612981996141144,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.260610396246946,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.049375482631208084,28.40028921535082,2.468834941135564,1216.1475264842431,8.784685621804005,0.9935231063339712,0.0002245063826970318,0.0045906636053244625,0.0016617236780072718,0.574701365351068,0.12338837253641677,0.08528753214758884,0.21662272996492637,19.30762410917265,0.6242271317902841,1.0000000014863348,1.9752861997574727,3.5773372806473507,6.476635269212035,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.14415394909696,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.05961471722212261,28.40028921535082,2.468834941135564,1214.335339091658,9.797503277412156,0.9914765526730177,0.0003562714729625796,0.005670935050295507,0.002496240803724214,0.4809355429678503,0.16166673626330905,0.08773348725888092,0.2696642335099597,19.084672887959844,0.6319011414246049,1.0000000014781105,1.9536715774711404,3.5194756934542775,6.358878921425962,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.027697501946973,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.06985395181303711,28.40028921535082,2.468834941135564,1212.8829386219509,10.782281886824862,0.9897603609721446,0.0005017181411241878,0.006417085777937747,0.003320835108793496,0.4146255552126711,0.1937703139160837,0.08517402006174857,0.30643011080949656,18.884485764961003,0.6389416649908363,1.0000000014170825,1.9341443276396661,3.4692390922912577,6.253226086489167,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.911241054796987,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.08009318640395163,28.40028921535082,2.468834941135564,1211.6646659062187,11.734605958827292,0.9882643955407887,0.0006599389140238009,0.00695439965572465,0.004121265889462847,0.36525179128226426,0.22176803685891108,0.08092702826342597,0.3320531435953987,18.70108989860292,0.6455029807747622,1.0000000012843808,1.9163584509214655,3.4244865058439453,6.156552508125892,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.794784607647,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.09033242099486614,28.40028921535082,2.468834941135564,1210.6081539311454,12.651776266020754,0.9869251956412588,0.0008303962334095264,0.007355055524411554,0.0048893526009202385,0.32705830192648644,0.24690249253851235,0.076282355042468,0.3497568504925333,18.5310044461665,0.6516879886101556,1.0000000011651375,1.8997599610229077,3.383989353120466,6.067816842459015,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.678328160497013,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.10057165558578066,28.40028921535082,2.468834941135564,1209.6698111906462,13.532231954805493,0.9857044497124362,0.001012700073122923,0.007662431884656305,0.005620418329784662,0.2966312136831671,0.26995154304720026,0.07174862504073153,0.3616686182289012,18.372072589171434,0.6575272548774912,1.0000000010452674,1.8843627077231586,3.3469807927065625,5.985080424565518,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.561871713347028,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.11081089017669518,28.40028921535082,2.468834941135564,1208.8220482744405,14.375255264315927,0.9845777710476521,0.0012064919601347628,0.007903775711768089,0.006311961280445153,0.2718177635896172,0.29141497039847475,0.06751606554212351,0.36925120046978455,18.22283481835629,0.66306540075188,1.0000000009662329,1.8697834923954701,3.312944044163191,5.907524552820089,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.44541526619704,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.12105012476760968,28.40028921535082,2.468834941135564,1208.046520973122,15.180800326890354,0.9835287626525803,0.0014113883407730855,0.008096914398454263,0.006962934608192443,0.25119334591137016,0.3116193493653223,0.06364070993372722,0.3735465947895802,18.082228629598834,0.668334881091932,1.0000000008539294,1.8561929284774998,3.281503313569979,5.834587111181969,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.328958819047054,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.1312893593585242,28.40028921535082,2.468834941135564,1207.3304369248908,15.949373710866972,0.9825457813050695,0.0016269568292238393,0.008253940973101751,0.007573320892604894,0.23377776576441436,0.33078046510331277,0.06012186271786762,0.37531990641440516,17.949418892403198,0.6733591617728037,1.000000000791764,1.8432945708810975,3.2523662536136806,5.765818504860574,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,12.212502371897067,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.1415285939494387,28.40028921535082,2.468834941135564,1206.6644635326115,16.681934334604065,0.981620115129103,0.0018527113058336587,0.008383320308647454,0.008143853256416006,0.21887457169755115,0.3490421612015628,0.05693597076672741,0.3751472963341586,17.823707542764538,0.6781578475438735,1.0000000007576657,1.831065654893309,3.2252926465897525,5.70125968542771,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.09604592474708,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.15176782854035323,28.40028921535082,2.468834941135564,1206.0415038963165,17.37980091409868,0.9807449284173752,0.002088117740129386,0.00849114061436438,0.008675813228131112,0.20597538030557427,0.3665013481120022,0.0540517429435049,0.3734715286389187,17.70448428370751,0.6827477245675923,1.0000000007296785,1.8195719672679513,3.2000770215131826,5.640199131427962,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.979589477597093,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.16200706313126773,28.40028921535082,2.468834941135564,1205.4559600865339,18.044564283493155,0.9799146369035935,0.002332605668233219,0.00858188434343204,0.009170873084741233,0.19470045611815714,0.38322447967358764,0.05143687652455606,0.3706381876836994,17.591199844961157,0.6871435017492878,1.000000000700179,1.8085943284319574,3.1765388553089275,5.5822450084150645,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,14.863133030447107,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.17224629772218225,28.40028921535082,2.468834941135564,1204.9032784860212,18.67800576641138,0.979124531000452,0.002585581976803128,0.008658918903285974,0.009630968119458691,0.18476046967187337,0.39925854257478055,0.04906092364778239,0.36692006410556355,17.483351741870738,0.6913583248569857,1.0000000006713743,1.7981178002653437,3.154516962265376,5.527128348875295,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,15.74667658329712,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.18248553231309675,28.40028921535082,2.468834941135564,1204.3796624251652,19.28202381608423,0.9783705444837459,0.0028464447778222173,0.008724818432069566,0.010058192306362311,0.17593112156270646,0.4146383969385333,0.04689636010517512,0.3625341213935852,17.38047684804996,0.6954040697342861,1.000000000646016,1.7882352960889065,3.133866186298792,5.474602537043558,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,16.630220136147134,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.19272476690401127,28.40028921535082,2.468834941135564,1203.8818859171352,19.858570804607808,0.9776491093343633,0.0031145959904398586,0.008781580547515756,0.010454714127680929,0.16803585154934755,0.4293916353246886,0.044918822560143915,0.3576536905658199,17.282147529995893,0.6992921652014631,1.0000000006273575,1.7787494688937973,3.114462206051405,5.424441383342992,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,17.513763688997148,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.2029640014949258,28.40028921535082,2.468834941135564,1203.4071693910826,20.40960095795639,0.9769570617855593,0.003389451876810518,0.008830775937564034,0.010822710400066169,0.16093378018230278,0.44354173573539835,0.043106975537717855,0.35241750854458104,17.187969491415227,0.7030364355960167,1.0000000006172327,1.7696296069327626,3.096244818205458,5.376437872339773,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,18.39730724184716,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.21320323608584027,28.40028921535082,2.468834941135564,1202.9530939347076,20.93702948588686,0.9762915787845234,0.00367045124396298,0.008873653884847808,0.011164316086665836,0.15451112555885987,0.45711004213787415,0.04144223015760748,0.3469366021456585,17.09758028906747,0.7066739038562062,1.000000000616247,1.7609148144987061,3.079034394837273,5.3304992104299815,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,19.280850794697173,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.2234424706767548,28.40028921535082,2.468834941135564,1202.5175397892488,21.442702183342835,0.9756501325120385,0.003957061342013607,0.008911218182307924,0.01148158796364,0.14867498143582872,0.47011694737033366,0.0399084205148088,0.3412996506790287,17.01064799779281,0.7101831711052115,1.0000000006241758,1.752577216275378,3.062735226615886,5.286547926126613,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,20.164394347547187,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.23368170526766932,28.40028921535082,2.468834941135564,1202.098640393284,21.928374274634695,0.9750304556843001,0.004248781684325215,0.008944282715012755,0.011776479916361875,0.14334873289724068,0.48258254390973254,0.03849148654664653,0.33557723664638023,16.926869783797237,0.7135712034607075,1.0000000006409808,1.7445162647320096,3.0472611688700724,5.244217018564459,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,21.0479379003972,0.97,0.007142,0.009123,0.013735,306.98,86.29,0.6515082415792559,0.24392093985858385,28.40028921535082,2.468834941135564,1201.6947466448391,22.395697021605432,0.9744305134228719,0.004545146113273163,0.00897351279566799,0.01205082766818698,0.13846862854100336,0.4945269298731809,0.037179184051281816,0.32982525753453384,16.845970313289264,0.7168768117335631,1.000000000667383,1.7367098639637484,3.032534845913963,5.2033682557033325,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
