feature,importance_mean,importance_std
temperature,6.924379897977124,0.07973554138981882
pressure,2.4862171920394744,0.033861396704170044
z_hydrogen,0.7500432260945631,0.018128819157007637
z_methane,0.23137186570135845,0.004048529080430972
z_nitrogen,0.18335850459926167,0.006811560281513856
z_carbon dioxide,0.18034713933984484,0.005079790816968782
z_argon,0.14953280304320063,0.005019201420867701
z_carbon monoxide,0.12884896497833878,0.0033052330196844393
z_hydrogen sulfide,0.08485298977179993,0.002392437894542019
z_oxygen,0.07866491645410564,0.00255967888009231
